AppTimestamp(s),SensorTimestamp(s),PitchX,RollY,YawZ,Quat_x,Quat_y,Quat_z
0.0458,73772.653,55.472515,31.286764,-164.235794,0.29787016,-0.4111996,-0.82705188
0.0528,73772.673,54.831676,30.93762,-164.132614,0.29574412,-0.40683925,-0.83039308
0.0605,73772.693,54.329227,30.62999,-164.140121,0.29349458,-0.403705,-0.83326191
0.0761,73772.7129,53.944527,30.169987,-164.206299,0.28991076,-0.40191022,-0.83613765
0.1019,73772.734,53.500629,29.543322,-164.288773,0.28502899,-0.40002424,-0.83967495
0.1135,73772.754,52.906841,28.691147,-164.25,0.27886721,-0.39711666,-0.844078
0.1449,73772.7739,52.065605,27.950016,-164.198105,0.27348089,-0.39202356,-0.84910047
0.1542,73772.794,50.887199,27.5086,-163.856186,0.27116698,-0.38302124,-0.85408139
0.1726,73772.814,49.232624,27.574001,-163.080719,0.27381018,-0.36826423,-0.85871458
0.194,73772.8339,47.172329,27.129747,-162.214584,0.27249643,-0.3510623,-0.86567831
0.2138,73772.854,45.312603,25.640574,-161.577942,0.26225293,-0.33797851,-0.87454194
0.2311,73772.874,44.079708,23.718424,-161.17952,0.24797113,-0.33115441,-0.88232219
0.2553,73772.8939,42.570076,21.420792,-159.819321,0.23298055,-0.32082796,-0.8895728
0.2765,73772.914,40.312069,20.219467,-156.96814,0.22919023,-0.29950136,-0.89350218
0.291,73772.934,38.287006,18.425816,-154.265015,0.21953978,-0.28189307,-0.8974039
0.3104,73772.954,38.161121,17.785582,-154.045837,0.21488795,-0.28191227,-0.89850497
0.3323,73772.9739,39.683163,17.574926,-154.892563,0.21317366,-0.29618305,-0.89609873
0.3545,73772.9938,41.025616,17.576099,-155.901337,0.21223202,-0.30880216,-0.89403003
0.3704,73773.014,41.772072,17.033253,-156.404358,0.20753017,-0.31684083,-0.89367485
0.3952,73773.034,43.047157,15.916556,-155.938263,0.20170462,-0.32852349,-0.89048356
0.4127,73773.054,44.835873,14.24199,-154.598145,0.19499235,-0.34396321,-0.88445687
0.4381,73773.074,46.031708,13.697255,-153.819519,0.19482294,-0.35325083,-0.87952352
0.455,73773.095,46.704166,14.425141,-153.492249,0.20235386,-0.35634249,-0.87515122
0.4722,73773.115,47.704746,15.462674,-153.236649,0.21243569,-0.36135077,-0.86908084
0.4934,73773.135,48.783051,16.454576,-152.72142,0.22303207,-0.36646101,-0.86201715
0.5247,73773.155,49.755096,16.906715,-151.898087,0.23039852,-0.37128139,-0.85549009
0.5396,73773.175,51.023624,17.670502,-151.331711,0.23966765,-0.37801886,-0.84764695
0.5564,73773.195,52.496414,18.560377,-150.250168,0.25183395,-0.38471621,-0.83717674
0.5724,73773.215,53.864624,18.874514,-148.029648,0.26357704,-0.38927323,-0.82501704
0.5925,73773.235,55.378464,18.57094,-144.669022,0.27530053,-0.39360499,-0.80991757
0.6127,73773.255,56.997387,17.514746,-140.100327,0.28667334,-0.39762476,-0.79167432
0.6397,73773.275,59.136284,13.412183,-133.724213,0.28597403,-0.41074991,-0.77169162
0.6606,73773.295,61.620735,6.055037,-124.887711,0.27683687,-0.43247458,-0.74785811
0.6734,73773.316,61.724449,-4.083777,-113.40641,0.25586829,-0.44528252,-0.72706443
0.6933,73773.336,61.219471,-12.415492,-103.268234,0.24122034,-0.45465857,-0.70502645
0.7165,73773.356,60.331558,-19.847878,-93.800858,0.22941153,-0.46322975,-0.68101114
0.7388,73773.376,58.756256,-27.908581,-84.323853,0.21185538,-0.47533122,-0.65533739
0.7611,73773.396,56.247147,-35.484535,-76.023163,0.18821941,-0.48822525,-0.63045627
0.7753,73773.416,53.155914,-40.782246,-70.510048,0.16259557,-0.49652779,-0.61117125
0.7953,73773.436,49.755188,-43.502861,-67.638313,0.13750024,-0.49677858,-0.59849578
0.8136,73773.456,46.807194,-46.793419,-64.771469,0.11265266,-0.50300062,-0.58433008
0.8372,73773.476,44.558479,-50.374626,-62.407669,0.089416,-0.51457739,-0.57183021
0.8561,73773.496,42.790016,-52.948864,-61.54364,0.06820561,-0.52370423,-0.56613833
0.8764,73773.516,41.166145,-54.466904,-61.737659,0.04850979,-0.52810234,-0.56516981
0.9023,73773.536,39.448071,-55.187908,-62.580517,0.02913585,-0.52795023,-0.5668785
0.922,73773.556,37.872345,-55.755409,-63.736801,0.01010369,-0.52706271,-0.57030636
0.9363,73773.576,36.455498,-56.170238,-65.706955,-0.01075479,-0.52534872,-0.5783031
0.966,73773.596,35.245773,-56.397797,-68.230156,-0.03168425,-0.52250355,-0.58953416
0.9738,73773.616,34.1091,-56.582184,-70.911354,-0.05247562,-0.51889086,-0.60154825
0.9927,73773.636,33.095436,-56.723961,-73.355629,-0.07099286,-0.51490891,-0.61235589
1.0227,73773.656,32.577908,-57.162239,-75.72525,-0.08739096,-0.51370376,-0.62327737
1.0359,73773.676,32.827858,-57.81908,-78.145218,-0.10025037,-0.51592582,-0.6353246
1.0549,73773.696,33.73547,-58.732342,-80.260178,-0.10912355,-0.52179867,-0.64633459
1.0739,73773.716,35.190765,-59.767506,-81.96843,-0.1136279,-0.53041959,-0.65574151
1.0926,73773.736,37.039322,-60.497627,-83.543045,-0.1135677,-0.5390327,-0.66499597
1.115,73773.756,39.12048,-61.062275,-85.057983,-0.11105964,-0.54769689,-0.67397934
1.1329,73773.776,41.250259,-61.143112,-86.76886,-0.10655215,-0.5542739,-0.6837092
1.1528,73773.796,43.291092,-60.586025,-88.710373,-0.10004441,-0.5579018,-0.69411826
1.1752,73773.817,45.211723,-59.463203,-90.842674,-0.09182865,-0.559102,-0.70480347
1.1934,73773.8369,47.102413,-57.821461,-93.152496,-0.08144559,-0.55867046,-0.71560007
1.2156,73773.857,48.770859,-55.606831,-95.628777,-0.06953626,-0.55589581,-0.72628272
1.2334,73773.877,50.516666,-52.436409,-98.565483,-0.05312505,-0.55077791,-0.73792249
1.2545,73773.898,52.394379,-48.165657,-102.13784,-0.03156063,-0.5435999,-0.75043857
1.2749,73773.9179,54.212502,-43.173512,-106.070564,-0.00690303,-0.53545904,-0.76216286
1.2952,73773.938,56.100079,-38.037144,-109.902908,0.01985991,-0.52911502,-0.77106506
1.3171,73773.958,58.197598,-32.099396,-114.349152,0.05034561,-0.52368957,-0.7785266
1.3364,73773.978,60.03455,-25.557629,-119.334747,0.0810805,-0.51780647,-0.78471386
1.3539,73773.998,61.357658,-18.782087,-124.566605,0.10989334,-0.5108968,-0.78987581
1.3777,73774.018,62.117847,-11.309595,-130.561066,0.1380212,-0.50166065,-0.79561186
1.3965,73774.039,62.041763,-2.124617,-138.441116,0.16794555,-0.48738217,-0.80448771
1.42,73774.059,60.717831,8.082787,-147.264236,0.20042211,-0.46658838,-0.81580931
1.4355,73774.079,58.834904,18.511881,-155.605118,0.23936693,-0.44422835,-0.82362336
1.4571,73774.099,56.503471,28.575573,-163.473694,0.28106174,-0.42269909,-0.82797837
1.4863,73774.119,53.762314,35.203407,-168.787781,0.31053418,-0.4025625,-0.83276385
1.4973,73774.139,50.850105,37.783478,-170.171143,0.32614556,-0.37965846,-0.83944708
1.5242,73774.159,48.201187,38.36768,-168.685623,0.33651254,-0.35421756,-0.84471363
1.5364,73774.179,46.406956,37.556011,-165.835297,0.33959922,-0.33370131,-0.84791273
1.5604,73774.199,45.279091,36.406792,-162.701706,0.34003139,-0.31815091,-0.84870046
1.5824,73774.219,44.638142,35.306404,-159.347427,0.34086058,-0.30573225,-0.84659892
1.5986,73774.239,44.267277,34.23032,-155.874374,0.34183824,-0.29516175,-0.84256607
1.6175,73774.259,44.124218,32.305706,-152.320328,0.33664739,-0.28863403,-0.83935076
1.6382,73774.279,44.008591,30.187275,-148.768967,0.32989383,-0.28341004,-0.83586687
1.66,73774.299,44.016838,29.486378,-145.819809,0.33202568,-0.27706489,-0.8289876
1.6756,73774.319,44.673939,29.949392,-143.757248,0.34134319,-0.2745983,-0.81868833
1.6955,73774.339,45.888119,29.865627,-141.828781,0.34741828,-0.27836967,-0.80802917
1.7157,73774.359,47.293537,28.226139,-139.386292,0.3444784,-0.28729603,-0.79922897
1.7377,73774.379,48.926998,25.822269,-136.601059,0.33821046,-0.29984236,-0.79012984
1.7602,73774.4,51.01812,23.882042,-134.045258,0.33639479,-0.31501049,-0.77814734
1.7997,73774.42,52.630421,22.205973,-131.595566,0.33578083,-0.32601023,-0.76728106
1.8116,73774.44,54.11573,20.711576,-128.981827,0.33718866,-0.33491722,-0.75542676
1.8205,73774.4599,55.69051,18.864119,-126.103241,0.33798406,-0.34506956,-0.74285519
1.8419,73774.48,57.248493,17.054613,-123.158432,0.33995721,-0.35471919,-0.72964364
1.8607,73774.5,58.688702,14.958533,-119.534454,0.34268436,-0.36266911,-0.71460247
1.8804,73774.52,59.74762,11.589654,-114.586006,0.34143385,-0.36966732,-0.6987347
1.8987,73774.541,60.21349,6.913225,-108.617722,0.33447817,-0.37622523,-0.68368256
1.9243,73774.561,60.946587,1.179218,-101.849472,0.3265371,-0.3880882,-0.66575742
1.9458,73774.582,61.859131,-5.138151,-94.59008,0.31999046,-0.40340209,-0.64535105
1.9669,73774.602,62.052856,-11.339272,-87.550713,0.31178281,-0.41597718,-0.62671959
1.9906,73774.622,61.376427,-17.262674,-80.645737,0.30118805,-0.42491037,-0.60856676
1.9987,73774.642,59.886944,-22.709242,-74.091553,0.28781843,-0.43099159,-0.5902552
2.0182,73774.6619,57.723568,-27.589987,-68.342041,0.27055532,-0.43607315,-0.57293862
2.0383,73774.682,54.179451,-34.743477,-61.436646,0.23784977,-0.4505271,-0.55092192
2.0616,73774.7019,50.331604,-40.495052,-56.936554,0.20141326,-0.46552631,-0.53413767
2.0794,73774.722,46.752056,-44.641075,-54.58844,0.16631046,-0.47810939,-0.52329272
2.1049,73774.742,43.525951,-47.480042,-53.71405,0.13387378,-0.48689026,-0.51722932
2.1243,73774.762,40.307312,-50.326786,-53.308231,0.09963506,-0.49664113,-0.51210016
2.1398,73774.782,36.938663,-53.845036,-52.910675,0.06155742,-0.51032811,-0.50517744
2.1596,73774.802,33.606949,-57.950283,-52.655941,0.02099527,-0.52780688,-0.49694526
2.2586,73774.822,30.533268,-61.609177,-52.64043,-0.01633426,-0.54310048,-0.48826
2.2611,73774.8429,27.86231,-64.854927,-52.857159,-0.04966974,-0.55651271,-0.48023885
2.2623,73774.863,25.751173,-67.795509,-53.188187,-0.07800014,-0.56896812,-0.47336513
2.2644,73774.883,24.021223,-70.381401,-53.746044,-0.10309682,-0.57968229,-0.46829051
2.2655,73774.903,22.838486,-72.244598,-54.618259,-0.12300737,-0.58680999,-0.46696398
2.2957,73774.923,22.491737,-73.522102,-55.849518,-0.13684745,-0.59180897,-0.47110397
2.3008,73774.943,22.962858,-74.660767,-57.166191,-0.14533545,-0.59757167,-0.47880915
2.321,73774.9629,23.92927,-75.875542,-58.068478,-0.14895016,-0.60521638,-0.48589268
2.3433,73774.9829,24.819391,-76.921974,-58.413143,-0.14953029,-0.61233312,-0.48983186
2.3611,73775.003,26.101372,-78.234497,-58.606064,-0.14802872,-0.62171668,-0.49415612
2.379,73775.023,27.670488,-79.08757,-59.130093,-0.1446321,-0.6286912,-0.50187314
2.4052,73775.0429,29.709934,-79.57888,-59.871162,-0.13797152,-0.63435942,-0.51281804
2.4201,73775.063,32.171654,-79.533714,-60.710419,-0.12682526,-0.63799137,-0.52617669
2.4441,73775.083,34.992634,-79.119858,-61.660446,-0.11226942,-0.64037418,-0.54125226
2.4618,73775.103,38.140625,-78.439827,-62.818474,-0.09540268,-0.64194435,-0.55790496
2.4813,73775.123,41.605606,-77.352882,-64.262589,-0.07590843,-0.6421693,-0.57609665
2.5019,73775.143,45.442558,-75.843781,-66.061386,-0.05355852,-0.64135373,-0.59563982
2.5209,73775.163,49.512039,-74.045204,-68.285362,-0.03018264,-0.6401962,-0.61561012
2.5401,73775.183,54.064461,-72.327652,-70.498703,-0.00370968,-0.64101988,-0.63405722
2.5653,73775.203,58.959789,-70.115349,-72.764175,0.02771155,-0.64151418,-0.65026051
2.5817,73775.223,63.948177,-66.486099,-75.903145,0.06323571,-0.63905424,-0.66521955
2.6,73775.2429,69.368393,-60.926735,-80.75782,0.10356739,-0.63534522,-0.67895365
2.6273,73775.263,75.530952,-50.730602,-90.101692,0.15128326,-0.63090217,-0.69089442
2.6399,73775.283,81.171783,-25.509106,-114.506798,0.20221825,-0.62438112,-0.70066983
2.6592,73775.3029,82.178154,26.718863,-166.046463,0.25052869,-0.61355859,-0.70941848
2.6918,73775.3229,77.035576,61.572456,159.458511,0.29866087,-0.59783107,-0.7182219
2.7032,73775.343,69.942154,73.264198,147.977585,0.34310594,-0.57697302,-0.72640878
2.7212,73775.3629,63.723877,76.34716,144.912628,0.37541509,-0.55391037,-0.73497486
2.743,73775.383,58.992489,76.414024,144.953751,0.39686787,-0.53102767,-0.74388832
2.7623,73775.403,55.141621,75.542343,146.208237,0.41318396,-0.50786918,-0.7528457
2.7814,73775.4229,51.852097,73.960899,148.507324,0.42591792,-0.48297164,-0.76285636
2.8006,73775.443,49.580833,71.941154,151.248383,0.43229187,-0.46111575,-0.77287978
2.8408,73775.463,48.017628,70.860718,153.273239,0.4385938,-0.44494998,-0.77868748
2.8511,73775.4829,47.148598,70.645233,155.062088,0.4469724,-0.43303308,-0.78010321
2.8644,73775.503,46.749752,70.654137,157.13063,0.45607874,-0.42249435,-0.77952242
2.8832,73775.523,46.696415,70.586678,159.563705,0.46465474,-0.41244647,-0.77810293
2.9035,73775.5429,47.01873,70.52375,162.118881,0.4723438,-0.40402547,-0.77543867
2.9223,73775.563,47.718063,70.543457,164.548691,0.47892076,-0.39822891,-0.77127594
2.9493,73775.583,48.859402,70.606491,166.74028,0.48367661,-0.39601284,-0.76566428
2.963,73775.603,50.257233,70.989464,168.491623,0.48836285,-0.39670071,-0.75812018
2.9839,73775.623,51.806286,71.569992,169.937515,0.49289268,-0.39914507,-0.74930793
2.9995,73775.643,53.62817,71.743271,171.493576,0.49441445,-0.40331692,-0.74081326
3.0228,73775.6629,55.619003,71.625259,173.195068,0.49418947,-0.40837783,-0.73221201
3.0389,73775.6829,57.603065,71.493332,174.924118,0.4941164,-0.41329944,-0.72297257
3.0609,73775.7029,59.542065,71.460411,176.80101,0.49544656,-0.41706699,-0.7124539
3.0861,73775.723,61.386364,70.767517,179.372406,0.49564606,-0.41887891,-0.70268846
3.1,73775.743,63.206249,69.901039,-178.010529,0.4952946,-0.42098644,-0.69277537
3.1224,73775.763,65.112976,69.258728,-175.656509,0.49540484,-0.42432979,-0.68145806
3.1473,73775.783,67.102997,68.834938,-173.658951,0.49554282,-0.42918319,-0.66916752
3.1626,73775.8029,69.218491,67.775566,-171.393539,0.49298841,-0.43573201,-0.65754664
3.1821,73775.823,73.065308,62.911266,-165.28215,0.480894,-0.44991168,-0.64000243
3.2055,73775.843,73.898109,59.771416,-161.627991,0.47629657,-0.45091724,-0.63619709
3.2236,73775.8629,75.892593,53.645668,-154.822876,0.46688414,-0.45801446,-0.62634778
3.2418,73775.883,77.537651,45.060482,-145.589371,0.4564667,-0.46413636,-0.61697316
3.2596,73775.903,78.883331,32.192574,-132.074295,0.44356468,-0.47081599,-0.60650617
3.28,73775.9229,79.718643,15.012923,-114.490891,0.42811978,-0.48012313,-0.59473383
3.3019,73775.943,79.741684,-5.080737,-94.446396,0.40997458,-0.49318096,-0.58208597
3.3222,73775.963,78.490318,-24.470095,-75.412437,0.38876954,-0.50798887,-0.56897366
3.3526,73775.9829,75.799553,-39.166824,-61.218487,0.36343518,-0.52231914,-0.55575073
3.3704,73776.0029,71.84996,-49.362206,-51.541344,0.33308861,-0.53629643,-0.54053801
3.3805,73776.023,67.614136,-56.01289,-45.704006,0.30115914,-0.55032402,-0.52566117
3.4062,73776.0429,63.149113,-60.788048,-42.105362,0.26665708,-0.56451488,-0.51121813
3.4246,73776.063,58.774418,-64.126266,-40.157471,0.2317863,-0.57720101,-0.49816823
3.4406,73776.083,54.890141,-66.603554,-39.257359,0.19914888,-0.58834261,-0.48751268
3.4606,73776.103,51.527779,-68.412415,-38.981663,0.1699492,-0.59721714,-0.47886294
3.4821,73776.123,48.686604,-69.463013,-39.312099,0.14441745,-0.60278064,-0.47302413
3.5043,73776.143,46.453068,-69.960052,-40.203434,0.12237812,-0.60578936,-0.47109321
3.523,73776.1629,44.672653,-70.51519,-41.405399,0.10153236,-0.60917085,-0.4722268
3.5435,73776.183,43.089901,-71.369011,-42.798817,0.07975259,-0.61399275,-0.47509924
3.566,73776.203,41.620586,-72.411911,-44.374588,0.05693119,-0.61952662,-0.47915283
3.5847,73776.223,40.491848,-73.345688,-46.223721,0.03532567,-0.62431878,-0.48546764
3.6084,73776.2429,39.848064,-74.154472,-48.208824,0.01668683,-0.62841624,-0.49386406
3.625,73776.263,39.635105,-75.089981,-50.100536,0.00078008,-0.63318437,-0.50299579
3.6432,73776.283,39.742714,-76.318947,-51.79282,-0.01334614,-0.63944525,-0.51188844
3.6638,73776.3029,40.213966,-77.622742,-53.326969,-0.02472842,-0.64617831,-0.5209105
3.6808,73776.323,41.103271,-78.625069,-54.805054,-0.03189368,-0.65167046,-0.53087813
3.7027,73776.343,42.445694,-79.32354,-56.102264,-0.03385134,-0.65612477,-0.5413698
3.7236,73776.3629,44.198967,-79.829849,-57.190853,-0.03118576,-0.66010088,-0.55208492
3.7412,73776.383,46.277138,-80.015869,-58.305813,-0.02512861,-0.66291213,-0.56374019
3.7614,73776.403,48.597778,-79.880737,-59.559284,-0.01677179,-0.66454542,-0.57635546
3.7846,73776.4229,51.061859,-79.546448,-60.932705,-0.00717986,-0.66553223,-0.58930373
3.8137,73776.4439,53.591412,-79.139305,-62.32127,0.0031467,-0.66638744,-0.60177785
3.825,73776.465,56.396046,-78.604164,-63.83057,0.01525061,-0.66715103,-0.61459285
3.8454,73776.486,59.315922,-77.726547,-65.551674,0.02877014,-0.66703272,-0.62735307
3.8682,73776.5059,62.38084,-76.557838,-67.464714,0.04381115,-0.6664806,-0.63972193
3.8847,73776.526,65.737495,-75.027908,-69.646294,0.0613206,-0.66570246,-0.65175009
3.9134,73776.5459,69.501984,-72.917809,-72.265099,0.08236782,-0.66466892,-0.66323566
3.9339,73776.5659,73.64164,-69.424957,-76.159744,0.10663366,-0.66267604,-0.67449415
3.9488,73776.586,78.049782,-62.779163,-83.153389,0.1335638,-0.65939623,-0.68543315
3.9677,73776.606,82.302902,-47.587906,-98.572006,0.1624902,-0.65454525,-0.69539827
3.9907,73776.6259,85.076378,-4.056772,-142.197083,0.1942004,-0.64767253,-0.70441014
4.0142,73776.646,82.793259,52.689857,161.176453,0.23151065,-0.63904852,-0.71117771
4.0235,73776.666,77.490974,71.34613,143.047256,0.27025521,-0.62635726,-0.71659297
4.0419,73776.6859,71.646812,77.67128,137.738876,0.30991775,-0.60855156,-0.72143483
4.0644,73776.7059,65.577988,79.478653,136.930969,0.34706727,-0.58463281,-0.72839898
4.0847,73776.726,60.33506,79.353989,138.188065,0.37763193,-0.55828089,-0.73609644
4.1141,73776.747,56.60479,78.543564,140.859207,0.40218565,-0.53252661,-0.74276197
