AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:03:25
0.651,-60.0,,-63.0,,-65.0,,-63.0,-65.0,,,,-64.0,,,2437.0,,2452.0,,2457.0,,2412.0,2427.0,,,,2462.0,,
4.9166,-64.0,,-62.0,,-63.0,-63.0,-65.0,,,,,-64.0,,,2437.0,,2452.0,,2457.0,2462.0,2412.0,,,,,2462.0,,
8.8927,-62.0,,-60.0,,-66.0,-66.0,-66.0,,,,,-65.0,,,2437.0,,2452.0,,2457.0,2462.0,2412.0,,,,,2462.0,,
12.8931,-56.0,,-67.0,,,-66.0,-62.0,-65.0,,,,-69.0,,,2437.0,,2452.0,,,2462.0,2412.0,2427.0,,,,2462.0,,
16.9371,-63.0,,-61.0,,-62.0,-65.0,-66.0,-64.0,,,,,,,2437.0,,2452.0,,2457.0,2462.0,2412.0,2427.0,,,,,,
20.9467,-60.0,,-63.0,,-66.0,-66.0,,-66.0,,,,-65.0,,,2437.0,,2452.0,,2457.0,2462.0,,2427.0,,,,2462.0,,
24.9173,-64.0,,-56.0,,-67.0,-61.0,,-66.0,,,,-61.0,,,2437.0,,2452.0,,2457.0,2462.0,,2427.0,,,,2462.0,,
28.9398,,-65.0,-64.0,,,-66.0,-64.0,-66.0,,,,-66.0,,,,5200.0,2452.0,,,2462.0,2412.0,2427.0,,,,2462.0,,
32.94,-60.0,,-61.0,,-70.0,-66.0,-64.0,-70.0,,,,,,,2437.0,,2452.0,,2457.0,2462.0,2412.0,2427.0,,,,,,
36.9543,-59.0,,-66.0,,-66.0,-68.0,-66.0,,,,,-68.0,,,2437.0,,2452.0,,2457.0,2462.0,2412.0,,,,,2462.0,,
40.9448,-58.0,,,,-64.0,-68.0,-68.0,-68.0,,,,-68.0,,,2437.0,,,,2457.0,2462.0,2412.0,2427.0,,,,2462.0,,
44.8972,-53.0,,-66.0,,-64.0,-62.0,,,,-69.0,,-68.0,,,2437.0,,2452.0,,2457.0,2462.0,,,,5200.0,,2462.0,,
48.9168,-53.0,,-62.0,,-63.0,-67.0,,-66.0,,,,-61.0,,,2437.0,,2452.0,,2457.0,2462.0,,2427.0,,,,2462.0,,
52.9019,-58.0,,-63.0,,-63.0,-66.0,,-66.0,,,,-65.0,,,2437.0,,2452.0,,2457.0,2462.0,,2427.0,,,,2462.0,,
56.949,-58.0,,,-67.0,-63.0,-66.0,,-65.0,,,,-65.0,,,2437.0,,,2412.0,2457.0,2462.0,,2427.0,,,,2462.0,,
60.9104,-54.0,-68.0,-64.0,,-61.0,,,-66.0,,,,-69.0,,,2437.0,5200.0,2452.0,,2457.0,,,2427.0,,,,2462.0,,
64.8729,-55.0,-67.0,-58.0,,-58.0,,,-68.0,,,-71.0,,,,2437.0,5200.0,2452.0,,2457.0,,,2427.0,,,5200.0,,,
68.9159,-52.0,,-62.0,,-66.0,,-60.0,-61.0,,,-67.0,,,,2437.0,,2452.0,,2457.0,,2412.0,2427.0,,,5200.0,,,
72.956,-47.0,,-62.0,,,-58.0,-61.0,-63.0,,,,-57.0,,,2437.0,,2452.0,,,2462.0,2412.0,2427.0,,,,2462.0,,
