AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82
1.2121,-53.0,-63.0,,,,,,,,-63.0,-62.0,-68.0,-68.0,,2437.0,5200.0,,,,,,,,2412.0,2427.0,5200.0,5200.0,
5.0425,-52.0,,,-61.0,,,,,-63.0,-63.0,-62.0,,,-63.0,2437.0,,,2452.0,,,,,2462.0,2412.0,2427.0,,,2462.0
9.0206,-60.0,,,-64.0,,,,,-66.0,,-62.0,,-70.0,-65.0,2437.0,,,2452.0,,,,,2462.0,,2427.0,,5200.0,2462.0
13.0561,-65.0,,,-54.0,,,,,-69.0,-68.0,-66.0,,,-66.0,2437.0,,,2452.0,,,,,2462.0,2412.0,2427.0,,,2462.0
17.0264,-57.0,,,-56.0,,,,,-72.0,-64.0,-66.0,,,-72.0,2437.0,,,2452.0,,,,,2462.0,2412.0,2427.0,,,2462.0
21.04,-52.0,-61.0,,-64.0,,,,,-66.0,-61.0,-57.0,,,,2437.0,5200.0,,2452.0,,,,,2462.0,2412.0,2427.0,,,
25.0169,-60.0,-61.0,,-61.0,,,,,-67.0,-65.0,-63.0,,,,2437.0,5200.0,,2452.0,,,,,2462.0,2412.0,2427.0,,,
29.0236,-54.0,-67.0,,-63.0,,,,,,-63.0,-59.0,,-70.0,,2437.0,5200.0,,2452.0,,,,,,2412.0,2427.0,,5200.0,
33.0549,-50.0,,,-62.0,,,,,-64.0,-65.0,-62.0,,,-64.0,2437.0,,,2452.0,,,,,2462.0,2412.0,2427.0,,,2462.0
37.0424,-54.0,-67.0,,-62.0,,,,,,-64.0,-62.0,,-68.0,,2437.0,5200.0,,2452.0,,,,,,2412.0,2427.0,,5200.0,
41.0211,-54.0,,,-62.0,,,,,,-64.0,-62.0,-68.0,-68.0,,2437.0,,,2452.0,,,,,,2412.0,2427.0,5200.0,5200.0,
45.0396,-49.0,,,-61.0,,,,,-64.0,-60.0,-65.0,,,-64.0,2437.0,,,2452.0,,,,,2462.0,2412.0,2427.0,,,2462.0
49.0638,-51.0,,,-63.0,,,,,-62.0,-64.0,-63.0,,,-63.0,2437.0,,,2452.0,,,,,2462.0,2412.0,2427.0,,,2462.0
53.0115,-51.0,-63.0,,-61.0,,,,,-62.0,,-63.0,,,-64.0,2437.0,5200.0,,2452.0,,,,,2462.0,,2427.0,,,2462.0
57.0539,-55.0,,,-61.0,,,,,-62.0,-61.0,-66.0,,,-64.0,2437.0,,,2452.0,,,,,2462.0,2412.0,2427.0,,,2462.0
61.037,-51.0,,,-60.0,,,,,-63.0,-61.0,-66.0,,,-64.0,2437.0,,,2452.0,,,,,2462.0,2412.0,2427.0,,,2462.0
65.0282,-57.0,-66.0,,-60.0,,,,,-66.0,,-62.0,,,-62.0,2437.0,5200.0,,2452.0,,,,,2462.0,,2427.0,,,2462.0
69.0458,-61.0,,,-68.0,,,,,-70.0,-72.0,-69.0,,,-69.0,2437.0,,,2452.0,,,,,2462.0,2412.0,2427.0,,,2462.0
73.0086,-59.0,,,-70.0,,,,,-74.0,-72.0,-76.0,,,-74.0,2437.0,,,2452.0,,,,,2462.0,2412.0,2427.0,,,2462.0
77.0453,-59.0,,-61.0,-68.0,,-73.0,,,-73.0,-64.0,,,,,2437.0,,2417.0,2452.0,,2412.0,,,2462.0,2412.0,,,,
81.0227,-58.0,,,-70.0,,,-71.0,-71.0,-73.0,,-72.0,,,,2437.0,,,2452.0,,,2412.0,2412.0,2462.0,,2427.0,,,
85.0384,-66.0,,-77.0,-75.0,-75.0,,,,-73.0,-78.0,,,,,2437.0,,2417.0,2452.0,2462.0,,,,2462.0,2412.0,,,,
89.0272,-66.0,-78.0,,-77.0,,-75.0,,,-76.0,-81.0,,,,,2437.0,5200.0,,2452.0,,2412.0,,,2462.0,2412.0,,,,
93.0538,-66.0,,,-80.0,,-71.0,,,-74.0,,-77.0,,,-75.0,2437.0,,,2452.0,,2412.0,,,2462.0,,2427.0,,,2462.0
97.0439,-62.0,,,,,-71.0,,,-75.0,-75.0,-69.0,,,-75.0,2437.0,,,,,2412.0,,,2462.0,2412.0,2427.0,,,2462.0
101.0951,-67.0,,-77.0,,-73.0,-71.0,,,-79.0,,-77.0,,,,2437.0,,2417.0,,2462.0,2412.0,,,2462.0,,2427.0,,,
105.0273,-72.0,,-74.0,-81.0,,-77.0,,,-80.0,,-80.0,,,,2437.0,,2417.0,2452.0,,2412.0,,,2462.0,,2427.0,,,
109.022,-65.0,,-74.0,-77.0,,-77.0,,,-76.0,,-77.0,,,,2437.0,,2417.0,2452.0,,2412.0,,,2462.0,,2427.0,,,
113.0268,-73.0,-77.0,-71.0,-76.0,-77.0,,,,,,-78.0,,,,2437.0,5200.0,2417.0,2452.0,2462.0,,,,,,2427.0,,,
117.056,-70.0,-76.0,-71.0,-76.0,-77.0,,,,,,,,,-78.0,2437.0,5200.0,2417.0,2452.0,2462.0,,,,,,,,,2462.0
121.0231,-68.0,,-73.0,-75.0,,-76.0,,,-79.0,,,,,-79.0,2437.0,,2417.0,2452.0,,2412.0,,,2462.0,,,,,2462.0
125.023,-66.0,-79.0,-76.0,-75.0,,-76.0,,,,,-79.0,,,,2437.0,5200.0,2417.0,2452.0,,2412.0,,,,,2427.0,,,
129.0385,-67.0,-77.0,-71.0,-76.0,,-77.0,,,,,-77.0,,,,2437.0,5200.0,2417.0,2452.0,,2412.0,,,,,2427.0,,,
133.0443,-65.0,-75.0,-68.0,-76.0,,-75.0,,-79.0,,,,,,,2437.0,5200.0,2417.0,2452.0,,2412.0,,2412.0,,,,,,
137.0458,-64.0,-75.0,-72.0,-76.0,,-76.0,,,-76.0,,,,,,2437.0,5200.0,2417.0,2452.0,,2412.0,,,2462.0,,,,,
141.0345,-71.0,-78.0,-71.0,-77.0,,,,,-78.0,,-77.0,,,,2437.0,5200.0,2417.0,2452.0,,,,,2462.0,,2427.0,,,
145.0597,-62.0,,-71.0,-71.0,-73.0,,,,-77.0,,-80.0,,,,2437.0,,2417.0,2452.0,2462.0,,,,2462.0,,2427.0,,,
149.0454,-58.0,,,-68.0,,,-75.0,,-71.0,,-77.0,,,-71.0,2437.0,,,2452.0,,,2412.0,,2462.0,,2427.0,,,2462.0
152.998,-63.0,,,,,,-79.0,,-75.0,-75.0,-73.0,,,-75.0,2437.0,,,,,,2412.0,,2462.0,2412.0,2427.0,,,2462.0
157.0337,-63.0,,-71.0,-76.0,,-73.0,,,-79.0,,-77.0,,,,2437.0,,2417.0,2452.0,,2412.0,,,2462.0,,2427.0,,,
160.9993,-67.0,-76.0,,-72.0,,-64.0,,,-79.0,,-77.0,,,,2437.0,5200.0,,2452.0,,2412.0,,,2462.0,,2427.0,,,
165.0185,-65.0,-76.0,,-70.0,,-67.0,,,-73.0,,-72.0,,,,2437.0,5200.0,,2452.0,,2412.0,,,2462.0,,2427.0,,,
169.0215,-65.0,,,-69.0,,-70.0,,,-73.0,-73.0,-69.0,,,,2437.0,,,2452.0,,2412.0,,,2462.0,2412.0,2427.0,,,
173.0398,-67.0,-64.0,,,,,,,-72.0,-73.0,-70.0,,,-72.0,2437.0,5200.0,,,,,,,2462.0,2412.0,2427.0,,,2462.0
177.0399,-59.0,-68.0,,,,-70.0,,,-68.0,,-70.0,,,-68.0,2437.0,5200.0,,,,2412.0,,,2462.0,,2427.0,,,2462.0
181.0308,-51.0,-58.0,,-72.0,,,,,-71.0,,-67.0,,,-69.0,2437.0,5200.0,,2452.0,,,,,2462.0,,2427.0,,,2462.0
