AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,PitchX,RollY,YawZ,Quat_w,Quat_x,Quat_y,Quat_z
0.0516,68347.4405,-1.95846,7.69496,5.05895,-0.07941,-0.09835,-0.18326,-9.96,-23.7,-29.64,51.352474,18.287813,-70.198212,0.7675921452571297,0.43234345,-0.12879078,-0.45529592
0.0593,68347.4604,-2.1476,7.64947,5.60483,-0.25045,-0.24618,-0.20708,-10.44,-23.52,-29.46,51.209564,18.344881,-70.594437,0.766409318102615,0.43126735,-0.12919189,-0.4581863
0.0719,68347.4804,-2.27928,7.5968,7.9703,-0.2193,-0.03176,-0.11118,-10.02,-23.22,-29.94,50.783928,18.213209,-70.883255,0.7660804573886579,0.42786121,-0.12903191,-0.46195918
0.0816,68347.5005,-2.33914,7.11317,7.64229,0.08735,0.22419,-0.01405,-10.02,-23.04,-30.66,50.310425,18.269297,-70.987091,0.7667985586081248,0.42512944,-0.12667474,-0.46393797
0.0919,68347.5205,-2.20027,7.86974,5.66708,0.25168,0.12584,0.0452,-9.9,-23.46,-30.78,50.364342,18.560448,-71.1203,0.7664586149141045,0.42648464,-0.12549222,-0.46357712
0.1003,68347.5415,-1.64242,8.05888,4.2521,0.11545,-0.01772,-0.03604,-9.72,-24.24,-31.14,50.645702,18.736155,-71.282104,0.7653664288333447,0.42870033,-0.12633526,-0.46310869
0.119,68347.5614,-1.17555,8.03015,3.52905,-0.20769,-0.22174,-0.21075,-9.72,-24.3,-30.66,50.767002,18.792141,-71.516144,0.7642094558702366,0.42939097,-0.12744856,-0.46407345
0.1351,68347.5815,-1.95846,7.59441,4.72615,-0.52351,-0.37385,-0.35613,-9.54,-24.6,-30.06,50.463913,18.72246,-71.903931,0.7632308098496732,0.42687154,-0.1278307,-0.46788752
0.1619,68347.6015,-2.20267,7.4316,7.28795,-0.48808,-0.37263,-0.28894,-9.24,-24.18,-30.24,49.774364,18.495277,-72.301315,0.7628603929883873,0.42138925,-0.12731528,-0.47356725
0.1724,68347.6214,-1.89142,7.42442,6.87854,-0.20831,-0.34697,-0.27061,-9.48,-23.64,-30.24,49.226475,18.265377,-72.632126,0.7624150000511979,0.41679847,-0.12726378,-0.47833705
0.1958,68347.6415,-1.97282,8.09001,5.04698,-0.11362,-0.62614,-0.40317,-9.48,-23.7,-30.42,48.984482,18.105755,-73.129898,0.760665387009669,0.41412911,-0.1288912,-0.48298272
0.2387,68347.6615,-2.33435,9.18416,3.71341,-0.35491,-1.00915,-0.63469,-9.06,-23.34,-31.02,48.877846,17.898748,-73.956314,0.7571478236654849,0.41167343,-0.13269092,-0.48953578
0.2429,68347.6814,-2.03028,9.09557,4.51068,-0.64752,-1.44958,-0.92974,-9.78,-23.16,-30.78,48.516167,17.42997,-75.023499,0.7527462855627872,0.40625045,-0.1377092,-0.49936938
0.2589,68347.7015,-1.04866,7.29753,4.49392,-1.01404,-2.00242,-1.20585,-9.96,-23.1,-30.6,47.809902,16.688711,-76.401039,0.7472014038498879,0.39711934,-0.14368021,-0.51316887
0.2733,68347.7215,-0.98641,5.91607,5.93044,-1.50639,-2.01586,-1.34207,-10.62,-22.92,-30.42,46.445602,15.46235,-77.937141,0.7413621794208041,0.38153157,-0.14960559,-0.53144515
0.2962,68347.7414,-3.1364,4.10366,7.39569,-2.25776,-1.06291,-1.19058,-11.52,-22.62,-29.4,44.313492,14.373104,-79.466942,0.7368013034722508,0.36181465,-0.1500804,-0.55108064
