AppTimestamp(s),SensorTimestamp(s),gyro_x,gyro_y,gyro_z
0.0418,613.6548,-0.08308,-0.2755,-0.16188
0.0444,613.6648,-0.04643,-0.36835,-0.21075
0.0476,613.6748,-0.03054,-0.39218,-0.23518
0.0493,613.6848,-0.05009,-0.32009,-0.22419
0.0522,613.6948,-0.06964,-0.21869,-0.18815
0.0545,613.7048,-0.06781,-0.11484,-0.13867
0.0567,613.7148,-0.03726,-0.03238,-0.1014
0.0691,613.7247,0.00061,0.0336,-0.04887
0.0774,613.7348,0.03665,0.02566,-0.00305
0.0922,613.7448,0.07086,-0.07636,0.011
0.0947,613.7548,0.08491,-0.18998,-0.01772
0.1247,613.7648,0.08369,-0.31276,-0.04459
0.1267,613.7748,0.06536,-0.36163,-0.04154
0.1283,613.7848,0.05803,-0.37202,-0.02382
0.1352,613.7948,0.05559,-0.39034,0.01222
0.1452,613.8048,0.0507,-0.43982,0.06536
0.1583,613.8148,0.02138,-0.50152,0.09896
0.1657,613.8248,-0.05498,-0.58582,0.07636
0.1734,613.8348,-0.15272,-0.6243,0.0452
0.1866,613.8448,-0.27428,-0.57971,0.04093
0.1936,613.8548,-0.33109,-0.52107,0.06231
0.206,613.8648,-0.28711,-0.37141,0.09957
0.2186,613.8748,-0.20464,-0.35125,0.07636
0.2277,613.8848,-0.17776,-0.46548,-0.00611
0.2419,613.8948,-0.22663,-0.5901,-0.07819
0.2508,613.9048,-0.31032,-0.70616,-0.13561
0.2659,613.9148,-0.37385,-0.78985,-0.16921
0.2701,613.9248,-0.43921,-0.85338,-0.18998
0.282,613.9348,-0.49175,-0.85827,-0.20586
0.2908,613.9448,-0.58093,-0.79107,-0.32681
0.2985,613.9548,-0.77702,-0.67195,-0.5791
0.3094,613.9648,-1.04886,-0.61697,-0.91752
0.3135,613.9748,-1.25472,-0.46487,-0.99693
0.3291,613.9848,-1.46485,-0.27978,-0.85949
0.3337,613.9948,-1.54793,-0.33903,-0.58154
0.3476,614.0048,-1.48135,-0.70127,-0.20159
0.3674,614.0148,-1.27976,-0.95417,0.15027
0.371,614.0247,-0.89125,-1.10078,0.42638
0.3765,614.0348,-0.5174,-1.10994,0.55711
0.3872,614.0448,-0.14416,-1.12094,0.5339
0.3954,614.0548,0.09896,-1.13804,0.42822
0.4055,614.0647,0.26878,-1.0122,0.2865
0.4132,614.0748,0.38607,-0.7196,0.12767
0.4253,614.0848,0.44104,-0.34758,0.01038
0.4333,614.0948,0.41539,-0.04581,-0.04704
0.4455,614.1048,0.35064,0.17776,-0.04276
0.459,614.1146,0.24801,0.25229,0.03054
0.4694,614.1248,0.1405,0.19181,0.11545
0.4733,614.1348,-0.04459,0.146,0.22785
0.4851,614.1448,-0.17654,0.22663,0.43616
0.4966,614.1548,-0.26512,0.30543,0.52779
0.5051,614.1648,-0.32803,0.32254,0.60964
0.5172,614.1748,-0.32498,0.29199,0.61087
0.5311,614.1848,-0.2474,0.25962,0.58154
0.5342,614.1948,-0.11484,0.23213,0.53329
0.5466,614.2048,0.06536,0.25534,0.48197
0.5534,614.2148,0.22113,0.26756,0.49297
0.5656,614.2248,0.35675,0.3262,0.58277
0.5734,614.2348,0.40256,0.46792,0.66706
0.5851,614.2448,0.39279,0.57116,0.68845
0.5933,614.2548,0.36346,0.52779,0.67073
0.6052,614.2648,0.39095,0.38423,0.64691
0.6153,614.2748,0.4893,0.31765,0.63469
0.63,614.2858,0.61881,0.43738,0.63469
0.6367,614.2958,0.66279,0.58277,0.66157
0.6494,614.3058,0.6524,0.80084,0.76786
0.6568,614.3158,0.6017,1.12582,0.91508
0.6927,614.3258,0.48747,1.4844,1.0684
0.697,614.3358,0.33598,1.71836,1.18752
0.6987,614.3468,0.09285,1.81793,1.30359
0.701,614.3567,-0.07086,1.81122,1.35368
0.7121,614.3668,-0.25229,1.67255,1.40866
0.7263,614.3768,-0.35064,1.45997,1.46669
0.732,614.3868,-0.35797,1.26632,1.56381
0.7371,614.3968,-0.27061,1.25594,1.64567
0.7544,614.4068,-0.11729,1.40255,1.7202
0.7564,614.4168,0.04581,1.66033,1.78373
0.7733,614.4268,0.19853,1.85581,1.85581
0.7768,614.4368,0.31521,1.91873,1.96271
0.7909,614.4468,0.38118,1.9566,2.10321
0.8014,614.4578,0.35797,1.94561,2.17773
0.8108,614.4678,0.22052,1.88574,2.1362
0.8165,614.4778,0.0281,1.83137,2.04334
0.8313,614.4878,-0.2022,1.78556,1.92423
0.8387,614.4978,-0.44838,1.69637,1.80083
0.8502,614.5086,-0.69883,1.49906,1.69943
0.8575,614.5187,-0.86071,1.37872,1.67744
0.8702,614.5288,-1.01037,1.29565,1.64567
0.887,614.5388,-1.1472,1.1918,1.57909
0.8914,614.5498,-1.32497,1.00304,1.40316
0.905,614.5598,-1.41537,0.7086,1.15759
0.9158,614.5698,-1.46547,0.35064,0.81428
0.9192,614.5798,-1.44042,0.07575,0.44043
0.936,614.5897,-1.32741,-0.19303,0.04398
0.9449,614.5998,-1.16431,-0.46059,-0.23274
0.9545,614.6098,-0.98349,-0.70738,-0.43677
0.9645,614.6198,-0.832,-0.86865,-0.53634
0.9727,614.6298,-0.70372,-0.88575,-0.60415
