AppTimestamp(s),ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06
0.1439,-99.0,,,
0.1516,,,-92.0,
0.2714,,,,-98.0
0.2864,,,-97.0,
0.3918,,-99.0,,
0.4541,,,,-95.0
0.47,-98.0,,,
0.4872,,,-91.0,
0.6862,,,-88.0,
0.8105,,-98.0,,
0.8745,,,,-100.0
0.8889,-95.0,,,
0.8959,,,-95.0,
1.2285,,-92.0,,
1.494,,,-92.0,
2.9534,,,-95.0,
2.9644,-94.0,,,
3.0812,,-98.0,,
3.1194,,,,-98.0
3.1493,-98.0,,,
3.3144,,-102.0,,
3.3598,,,,-95.0
3.3903,,,-87.0,
3.3985,-99.0,,,
5.0089,,,-87.0,
5.1397,,-100.0,,
5.1728,,,-93.0,
5.3512,,-93.0,,
5.3693,,,-89.0,
6.6484,-99.0,,,
6.7874,,-96.0,,
6.815,,,-92.0,
6.8575,-92.0,,,
6.9649,,-100.0,,
7.0181,,,,-91.0
7.0297,,,-95.0,
7.1796,,-97.0,,
7.2576,-97.0,,,
7.4327,,,-93.0,
8.6798,-97.0,,,
8.836,,,-92.0,
9.0273,,,-91.0,
9.0533,,,,-93.0
9.0934,-98.0,,,
9.2791,,,-90.0,
10.8658,,-95.0,,
10.8728,,,-100.0,
10.9349,-103.0,,,
11.1284,-95.0,,,
11.261,,-96.0,,
11.2896,,,-92.0,
11.6856,,,-86.0,
11.7609,-94.0,,,
11.8867,,-98.0,,
11.9092,,,-95.0,
11.9275,,,,-100.0
12.1043,,,-99.0,
12.292,,-99.0,,
12.2987,,,-92.0,
12.6231,-95.0,,,
12.7535,,-99.0,,
12.7934,,,-90.0,
12.987,,-94.0,,
12.9918,,,-89.0,
13.1139,,-103.0,,
13.1382,,,-86.0,
13.341,,,-96.0,
13.3951,-95.0,,,
13.5238,,-97.0,,
13.5342,,,-95.0,
14.7638,,,,-95.0
14.7707,,,-96.0,
14.9502,,-97.0,,
15.2249,-101.0,,,
15.3525,,-91.0,,
15.3828,,,-93.0,
16.6154,,,-90.0,
16.8137,,,-95.0,
16.8788,-99.0,,,
17.0078,,-97.0,,
17.0328,,,-90.0,
17.0742,-97.0,,,
17.2001,,-99.0,,
17.2521,,,-95.0,
18.7236,-91.0,,,
18.8368,,-97.0,,
19.0491,,-91.0,,
19.1401,-97.0,,,
19.252,,-93.0,,
19.2637,,,-99.0,
19.2797,,,,-99.0
19.4106,-97.0,,,
20.6978,,,-96.0,
20.9456,,,-93.0,
21.0928,,-100.0,,
21.126,,,-99.0,
21.1393,,,,-99.0
