AppTimestamp(s),Latitude_degrees,Longitude_degrees
63.1909,49.46113158,11.11100646
72.0336,49.46110526,11.11090302
77.8806,49.46108781,11.11083248
84.2649,49.46113507,11.11080444
91.669,49.46119645,11.11079252
102.5771,49.4611165,11.1107271
108.6837,49.46107372,11.11077433
113.4888,49.46104115,11.11080777
120.6638,49.46098005,11.11077927
126.0134,49.46099411,11.11083582
129.2258,49.46100479,11.11087916
134.6926,49.4610523,11.11085287
139.4452,49.46108781,11.11083248
178.211,49.46108781,11.11083248
183.3698,49.4610523,11.11085287
188.3664,49.46100479,11.11087916
192.1765,49.46099411,11.11083582
196.6457,49.46098005,11.11077927
204.1508,49.46104115,11.11080777
209.1058,49.46107372,11.11077433
214.52,49.4611165,11.1107271
224.8774,49.46119645,11.11079252
232.6219,49.46113507,11.11080444
237.8234,49.46108781,11.11083248
243.8484,49.46110526,11.11090302
251.7958,49.46113158,11.11100646
