AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:03:11
1.9135,-86.0,,,-82.0,,-82.0,,-83.0,-60.0,-53.0,-73.0,,,-82.0,-85.0,-84.0,,,,,,,,2437.0,,,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,,,,,
3.9161,-78.0,,,-80.0,,-80.0,,,-56.0,-54.0,-73.0,,-86.0,-83.0,,-77.0,,,,,,-85.0,,2437.0,,,2452.0,,2462.0,,,2437.0,2422.0,2437.0,,5200.0,2462.0,,2437.0,,,,,,5500.0,
6.0769,-79.0,,-72.0,,,,,-81.0,-60.0,-51.0,-70.0,,,,-80.0,-76.0,,-82.0,,,,-82.0,,2437.0,,2417.0,,,,,2427.0,2437.0,2422.0,2437.0,,,,2462.0,2437.0,,5500.0,,,,5500.0,
7.9189,-85.0,,-63.0,-79.0,,-79.0,,-84.0,-58.0,-49.0,-69.0,,,-84.0,,-69.0,,,,,,,,2437.0,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,,,,,
10.0473,-82.0,,-67.0,-81.0,,-82.0,-83.0,,-56.0,-48.0,-73.0,,,,-82.0,,-82.0,,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,,2437.0,2422.0,2437.0,,,,2462.0,,5500.0,,,,,,
12.1046,,,-65.0,-83.0,,-78.0,,-82.0,-65.0,-48.0,-72.0,,,-82.0,,-82.0,,-83.0,,,,,,,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,5500.0,,,,,
15.9855,,,-69.0,-76.0,,-84.0,,-83.0,-61.0,-58.0,-71.0,,,,,-75.0,-83.0,-84.0,,,,,,,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,,,2437.0,5500.0,5500.0,,,,,
17.9078,,,-69.0,-80.0,,-81.0,,,-55.0,-48.0,-76.0,,,-81.0,,,,-83.0,,,,-81.0,-83.0,,,2417.0,2452.0,,2462.0,,,2437.0,2422.0,2437.0,,,2462.0,,,,5500.0,,,,5500.0,2462.0
19.8853,,,-73.0,-82.0,,,,-79.0,-56.0,-49.0,-67.0,,,,,,-81.0,-82.0,-80.0,,-80.0,,,,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,2437.0,,,,,,5500.0,5500.0,5500.0,,5500.0,,
21.9213,,,-71.0,-80.0,,,-83.0,-77.0,-57.0,-50.0,-69.0,,,-84.0,,-73.0,,-84.0,,,,,,,,2417.0,2452.0,,,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,5500.0,,,,,
