AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z
0.0534,82715.4278,-3.41653,8.24802,2.63123
0.0614,82715.4479,-2.9329,8.66222,4.01986
0.0683,82715.4679,-1.87705,10.62307,7.9679
0.0743,82715.4878,-1.83635,7.15148,9.72046
0.0788,82715.5079,-1.87466,5.04698,8.4659
0.1029,82715.5279,-3.05261,8.837,4.99191
0.1116,82715.5479,-3.82354,8.54012,5.07092
0.1375,82715.5679,-3.06697,8.78672,6.12676
0.154,82715.5879,-1.59933,7.88889,5.68623
0.1714,82715.6079,-0.92416,6.99586,5.16429
0.1914,82715.6278,-0.78051,7.57047,3.89297
0.2128,82715.6478,-1.42694,8.4635,4.98712
0.2314,82715.6679,-1.14443,8.22408,6.49547
0.2629,82715.6879,-2.19788,7.24007,9.92636
0.2756,82715.7079,-2.39181,7.11557,6.29436
0.2966,82715.7279,-4.57771,9.50019,7.38372
0.3161,82715.7479,-6.03099,9.44752,10.45069
0.3355,82715.7679,-5.77481,9.32542,10.45787
0.3536,82715.7879,-3.77326,11.20008,9.40442
0.3853,82715.8079,-2.99993,10.60631,11.315
0.3934,82715.8279,-3.1388,8.30549,13.31176
0.4274,82715.8479,-3.44047,5.96874,10.30225
0.4329,82715.8679,-2.43969,5.21457,5.49469
0.453,82715.8879,-1.39582,4.3359,3.63679
0.4773,82715.9079,-0.38547,3.5506,2.02549
0.5057,82715.9289,0.36392,2.81558,1.12767
0.5207,82715.9488,2.49715,4.11324,1.97761
0.5335,82715.9689,2.92093,3.61046,1.98719
0.5523,82715.9889,1.2809,2.18112,3.24893
0.5722,82716.0088,-0.34237,0.4956,8.65265
0.5924,82716.0289,2.44687,1.07021,7.10599
0.6134,82716.0489,4.52265,2.37505,6.33506
0.6336,82716.0689,5.76045,4.0462,4.94881
0.6528,82716.0889,6.86178,5.85861,3.94804
0.688,82716.1089,7.18261,6.7301,4.06296
0.7024,82716.1299,6.79235,6.90967,5.284
0.7191,82716.1499,6.63673,8.02536,6.09803
0.7456,82716.1699,6.60081,8.6718,5.782
0.7661,82716.1899,5.31752,9.38048,6.47632
0.7779,82716.2099,3.82354,10.67814,8.08761
0.7995,82716.2299,4.14197,12.48097,11.50414
0.8141,82716.2499,6.11719,13.86961,12.58871
0.8338,82716.2699,6.83784,15.24149,12.12424
0.8547,82716.2898,5.57849,14.00847,12.87602
0.8779,82716.3099,3.64637,11.69089,12.67012
0.8974,82716.3299,2.03747,9.93354,10.12029
0.9155,82716.3498,1.22104,8.9591,8.04452
0.9376,82716.3699,1.1564,8.20972,7.86495
0.9684,82716.3899,1.50356,7.39329,7.60877
0.976,82716.4099,1.28329,6.16746,6.42843
1.0075,82716.4299,1.01754,5.24809,5.27203
1.0337,82716.4499,0.40223,4.34308,5.20021
1.0493,82716.4699,-0.16281,3.52187,5.43005
1.0614,82716.4899,-0.60094,2.83952,4.27365
1.0769,82716.5099,-1.63524,2.30322,2.61447
1.0993,82716.5299,-3.41413,2.18351,2.41336
1.1199,82716.5499,-5.09965,1.61609,3.68707
1.1346,82716.5699,-5.11162,1.76213,3.93367
1.154,82716.5899,-5.05655,2.73657,2.08296
1.1753,82716.6099,-6.2752,2.86825,2.19069
1.194,82716.6299,-7.57765,3.08852,4.11084
1.2167,82716.6499,-7.60877,4.54898,7.22091
1.2375,82716.6699,-7.35738,5.05416,8.7939
1.2628,82716.6899,-10.02692,5.3247,9.47864
1.2887,82716.7099,-10.94868,6.84263,10.3214
1.2975,82716.7298,-9.98382,9.23204,11.66934
1.3148,82716.7499,-8.837,11.4371,13.42429
1.3366,82716.7699,-6.23211,13.25191,14.55435
1.3538,82716.7898,-3.48835,14.43943,14.02284
1.3738,82716.8099,-2.24816,15.01883,12.39718
1.3963,82716.8299,-2.51391,13.84806,12.1793
1.4186,82716.8498,-2.61447,11.69089,11.48977
1.4354,82716.8699,-2.43251,9.72525,9.59357
1.4543,82716.8899,-2.7246,7.77158,7.07965
1.4733,82716.9098,-1.9824,7.04614,4.83868
1.4935,82716.9298,-0.83318,6.33027,4.35505
1.5131,82716.9499,0.06464,5.31034,5.58567
1.5354,82716.9699,0.15562,4.04141,5.91847
1.5534,82716.9899,-0.826,2.62883,4.458
1.5741,82717.0099,-1.31202,1.58975,1.74058
1.5946,82717.0299,-1.21147,1.43892,0.27773
1.6143,82717.0499,-0.45011,1.22344,1.98479
1.6336,82717.0699,1.47243,1.67115,6.79714
1.6542,82717.0899,3.39498,2.42054,9.40682
1.6744,82717.1099,4.25928,3.22738,7.07965
1.7093,82717.1299,4.45082,3.32315,3.85466
1.7227,82717.1518,5.16908,3.91691,5.26006
1.7377,82717.1719,6.02142,5.0781,6.57687
1.7689,82717.1919,6.21774,5.97114,7.75243
1.7799,82717.2118,6.5649,6.83066,7.56807
1.8109,82717.2319,6.92164,7.78594,6.69658
1.8247,82717.2519,7.25922,8.6718,5.93283
1.8418,82717.2719,6.42364,8.70532,6.38534
1.8587,82717.2919,4.88178,8.84418,8.92798
1.8755,82717.3119,4.43885,10.06044,10.33337
1.8951,82717.3319,4.17549,11.48738,10.22085
1.9152,82717.3518,4.17309,12.52407,9.89763
1.9355,82717.3719,5.35104,13.94623,11.03009
1.9555,82717.3919,5.73172,14.06115,11.96861
1.9755,82717.4119,4.51786,13.11304,12.94545
1.9954,82717.4319,2.63362,11.21684,12.78504
2.0178,82717.4519,1.47962,9.96467,11.47301
2.0354,82717.4719,1.66397,9.27993,9.39964
2.0708,82717.4919,1.77171,8.36534,6.83784
2.0751,82717.5119,1.16837,7.28316,5.60722
2.0967,82717.5319,0.1245,5.50188,5.44441
2.1203,82717.5518,-0.98162,3.87382,4.80037
2.1362,82717.5719,-1.47962,3.14598,3.632
2.1554,82717.5918,-1.92973,2.78924,2.56419
2.1755,82717.6119,-2.50673,2.44687,1.66158
2.1961,82717.6319,-2.86825,2.29365,0.89304
2.2273,82717.6518,-2.87783,2.42054,0.48123
2.2366,82717.6719,-3.70622,2.03268,-0.08859
2.2633,82717.6919,-4.707,2.24576,-0.79966
2.2763,82717.7118,-5.35104,2.37505,-0.64883
2.3043,82717.7319,-5.26006,3.04064,-0.69192
2.3162,82717.7519,-5.48751,3.96719,0.06225
2.3403,82717.7728,-6.23211,4.04141,4.40533
2.3583,82717.7929,-6.70616,3.881,6.01423
