AppTimestamp(s),ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04
0.5654,-65.0,
0.6213,,-92.0
0.8042,-63.0,
1.1802,-63.0,
1.2311,,-87.0
1.3872,-66.0,
1.4397,,-88.0
1.5867,-69.0,
1.6401,,-91.0
1.798,-63.0,
1.8554,,-93.0
2.0042,-68.0,
2.078,,-90.0
2.4615,,-90.0
2.6894,,-88.0
2.8314,-73.0,
2.9175,,-90.0
3.0372,-68.0,
3.2545,-72.0,
3.6934,,-84.0
3.8927,,-91.0
4.2575,-65.0,
4.4791,-66.0,
4.6822,-59.0,
5.1139,-65.0,
5.3112,-61.0,
5.5237,,-89.0
5.7696,,-90.0
5.9141,-62.0,
5.9916,,-91.0
6.115,-60.0,
6.3167,-68.0,
6.7224,-68.0,
6.9778,-68.0,
7.1444,-74.0,
7.3488,-61.0,
7.4035,,-92.0
7.9335,-67.0,
8.1558,-63.0,
8.8145,,-95.0
8.9766,-66.0,
9.221,,-89.0
9.359,-61.0,
9.4262,,-86.0
9.5955,-64.0,
9.9743,-69.0,
10.0909,,-95.0
10.205,-67.0,
10.2589,,-90.0
10.402,-63.0,
10.5017,,-90.0
10.5908,-69.0,
10.6939,,-93.0
11.2483,-69.0,
11.4165,-67.0,
12.4504,-63.0,
12.5249,,-91.0
12.6453,-69.0,
12.8559,-66.0,
13.0665,-61.0,
13.1214,,-86.0
13.2685,-61.0,
13.3473,,-96.0
13.467,-67.0,
13.5569,,-89.0
13.7517,,-93.0
13.9141,-66.0,
13.9496,,-90.0
14.1137,-74.0,
14.3076,-61.0,
14.3781,,-89.0
14.4975,-65.0,
14.6063,,-89.0
14.7097,-69.0,
14.9472,-74.0,
14.9914,,-90.0
15.1965,,-89.0
15.3372,-59.0,
16.4323,,-93.0
16.554,-58.0,
17.0958,,-87.0
17.1599,-61.0,
17.2683,,-87.0
17.5894,-69.0,
17.6626,,-94.0
17.7762,-67.0,
17.9767,-63.0,
18.1908,-65.0,
18.2944,,-87.0
18.6087,-65.0,
19.0191,-67.0,
19.2059,-63.0,
19.4161,-60.0,
19.6331,-60.0,
19.8408,-77.0,
20.3383,,-87.0
20.528,,-86.0
20.6329,-68.0,
20.7515,,-95.0
20.854,-57.0,
20.9531,,-90.0
21.0459,-65.0,
21.1648,,-96.0
