AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:35,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:51,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:64,wifi_rssi_20:23:00:00:01:66,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:77,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:02:09,wifi_rssi_20:23:00:00:02:11,wifi_rssi_20:23:00:00:02:54,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:35,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:51,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:64,wifi_freq_20:23:00:00:01:66,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:77,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:02:09,wifi_freq_20:23:00:00:02:11,wifi_freq_20:23:00:00:02:54,wifi_freq_20:23:00:00:03:11
1.8581,-90.0,,,-85.0,,,,-90.0,,-79.0,-54.0,-50.0,-77.0,-88.0,,-83.0,-87.0,-76.0,-91.0,-91.0,-92.0,-87.0,,,-88.0,-84.0,-87.0,-86.0,,,,,,,,,-92.0,,,,,,,,-85.0,2437.0,,,2452.0,,,,2412.0,,2427.0,2437.0,2422.0,2437.0,5200.0,,2462.0,2462.0,2437.0,2462.0,5240.0,5240.0,5500.0,,,5500.0,5500.0,5500.0,5500.0,,,,,,,,,5240.0,,,,,,,,2462.0
3.7991,,,-72.0,-83.0,,,-80.0,-87.0,,-79.0,-56.0,-54.0,-67.0,-91.0,,-83.0,-81.0,-84.0,,,,-90.0,-86.0,,-87.0,-88.0,-86.0,-85.0,,-92.0,,,,,,,,,-92.0,,,,,,-81.0,,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5200.0,,2462.0,2462.0,2437.0,,,,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,2437.0,,,,,,,,,5180.0,,,,,,2462.0
5.9454,-90.0,-93.0,-72.0,-76.0,,,-79.0,-91.0,,-82.0,-55.0,-51.0,-78.0,,-90.0,,-83.0,-84.0,-88.0,-92.0,-93.0,-84.0,-85.0,,-84.0,-85.0,-85.0,-84.0,,,,,,,,,-91.0,-91.0,,,,,,-92.0,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,5200.0,,2462.0,2437.0,2462.0,5240.0,5240.0,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,,,,,,5240.0,5500.0,,,,,,5500.0,
7.7928,-85.0,,-69.0,-82.0,,,-80.0,-92.0,,-76.0,-59.0,-48.0,-74.0,-91.0,-86.0,,-87.0,-84.0,-91.0,,-91.0,,,,,-88.0,,-88.0,,,,,,-84.0,,,-91.0,,,,,,,,-84.0,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,,2462.0,2437.0,2462.0,,5240.0,,,,,5500.0,,5500.0,,,,,,2462.0,,,5240.0,,,,,,,,2462.0
9.7632,-85.0,,-72.0,-82.0,,,-81.0,,,-87.0,-58.0,-50.0,-76.0,-88.0,-89.0,-78.0,-91.0,-82.0,-86.0,-93.0,,-84.0,,-94.0,,-85.0,,-86.0,,,-95.0,,,,,,-92.0,,,,,,,,,2437.0,,2417.0,2452.0,,,2462.0,,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,2462.0,5240.0,,5500.0,,2462.0,,5500.0,,5500.0,,,2462.0,,,,,,5240.0,,,,,,,,
11.8004,-83.0,,-65.0,-77.0,,,-86.0,-89.0,,-86.0,-61.0,-52.0,-75.0,-91.0,-91.0,-86.0,-84.0,-82.0,,-91.0,-90.0,-86.0,-86.0,,-86.0,-85.0,-86.0,-87.0,,,,,,,,,-89.0,,,,,,,,-91.0,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,,5240.0,5240.0,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,,,,,,5240.0,,,,,,,,2462.0
13.9172,-84.0,-92.0,-68.0,-87.0,,,-84.0,-89.0,,-82.0,-53.0,-51.0,-71.0,-90.0,-89.0,-88.0,-88.0,-79.0,,-93.0,-92.0,-82.0,-83.0,,-82.0,-82.0,-83.0,-84.0,,,,,,,,,,,,,,,,-93.0,-87.0,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,,5240.0,5240.0,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,,,,,,,,,,,,,5500.0,2462.0
15.998,-87.0,,-79.0,-83.0,,,-85.0,-86.0,,-82.0,-60.0,-54.0,-70.0,-88.0,-88.0,-79.0,-85.0,-80.0,,-93.0,-91.0,-84.0,-86.0,,-84.0,-83.0,-85.0,-84.0,,,,-95.0,,,,,-93.0,,,,,,,-89.0,-87.0,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,,5240.0,5240.0,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,2462.0,,,,,5240.0,,,,,,,5500.0,2462.0
19.8872,-85.0,,-75.0,-78.0,,,,-89.0,,-86.0,-54.0,-59.0,-75.0,-81.0,-81.0,-84.0,-84.0,-76.0,-91.0,-94.0,-93.0,-85.0,-85.0,,-85.0,-85.0,-85.0,-85.0,,-90.0,,,,-87.0,,,-94.0,,,,,,,,,2437.0,,2417.0,2452.0,,,,2412.0,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,2462.0,5240.0,5240.0,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,2437.0,,,,2462.0,,,5240.0,,,,,,,,
21.8163,-83.0,,-73.0,-82.0,,,-86.0,,,-87.0,-54.0,-58.0,-73.0,-88.0,,-86.0,-89.0,-75.0,-85.0,-88.0,-88.0,-87.0,-86.0,,-86.0,-87.0,-86.0,-86.0,,-91.0,,,,,,,-91.0,,,,,,,,-92.0,2437.0,,2417.0,2452.0,,,2462.0,,,2427.0,2437.0,2422.0,2437.0,5200.0,,2462.0,2462.0,2437.0,2462.0,5240.0,5240.0,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,2437.0,,,,,,,5240.0,,,,,,,,2462.0
