AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:66,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:66,wifi_freq_20:23:00:00:03:11
1.8581,,,,-85.0,,,,,,-79.0,-54.0,-50.0,-77.0,,,-83.0,,-76.0,,,,,-84.0,,-86.0,,,-85.0,,,,2452.0,,,,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,,,5500.0,,5500.0,,,2462.0
3.7991,,,-72.0,-83.0,,,-80.0,,,-79.0,-56.0,-54.0,-67.0,,,-83.0,-81.0,,,,,,,,,,,-81.0,,,2417.0,2452.0,,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,,,,,,,,,,,2462.0
5.9454,,,-72.0,-76.0,,,-79.0,,,-82.0,-55.0,-51.0,-78.0,,,,-83.0,-84.0,,,,,,,-84.0,,,,,,2417.0,2452.0,,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,,2462.0,2437.0,,,,,,,5500.0,,,
7.7928,,,-69.0,-82.0,,,-80.0,,,-76.0,-59.0,-48.0,-74.0,,,,,-84.0,,,,,,,,-84.0,,-84.0,,,2417.0,2452.0,,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,,,2437.0,,,,,,,,2462.0,,2462.0
9.7632,-85.0,,-72.0,-82.0,,,-81.0,,,,-58.0,-50.0,-76.0,,,-78.0,,-82.0,,-84.0,,,,,,,,,2437.0,,2417.0,2452.0,,,2462.0,,,,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,5500.0,,,,,,,,
11.8004,-83.0,,-65.0,-77.0,,,,,,-86.0,-61.0,-52.0,-75.0,,,,-84.0,-82.0,,,,,-85.0,,,,,,2437.0,,2417.0,2452.0,,,,,,2427.0,2437.0,2422.0,2437.0,,,,2462.0,2437.0,,,,,5500.0,,,,,
13.9172,,,-68.0,,,,,,,-82.0,-53.0,-51.0,-71.0,,,,,-79.0,,-82.0,-83.0,-82.0,-82.0,,,,,,,,2417.0,,,,,,,2427.0,2437.0,2422.0,2437.0,,,,,2437.0,,5500.0,5500.0,5500.0,5500.0,,,,,
15.998,,,-79.0,-83.0,,,,,,-82.0,-60.0,-54.0,-70.0,,,-79.0,,-80.0,,,,,-83.0,,-84.0,,,,,,2417.0,2452.0,,,,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,,,5500.0,,5500.0,,,
19.8872,,,-75.0,-78.0,,,,,,,-54.0,-59.0,-75.0,-81.0,-81.0,-84.0,-84.0,-76.0,,,,,,,,,,,,,2417.0,2452.0,,,,,,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,,,,,,,,,,
21.8163,-83.0,,-73.0,-82.0,,,-86.0,,,,-54.0,-58.0,-73.0,,,-86.0,,-75.0,-85.0,,,,,,,,,,2437.0,,2417.0,2452.0,,,2462.0,,,,2437.0,2422.0,2437.0,,,2462.0,,2437.0,2462.0,,,,,,,,,
