wifi_rssi_columns,wifi_freq_columns
wifi_rssi_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:01
wifi_rssi_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:09
wifi_rssi_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:12
wifi_rssi_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:15
wifi_rssi_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:25
wifi_rssi_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:38
wifi_rssi_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:44
wifi_rssi_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:45
wifi_rssi_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:46
wifi_rssi_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:55
wifi_rssi_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:65
wifi_rssi_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:69
wifi_rssi_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:73
wifi_rssi_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:79
wifi_rssi_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:80
wifi_rssi_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:82
wifi_rssi_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:88
wifi_rssi_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:90
wifi_rssi_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:01
wifi_rssi_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:11
wifi_rssi_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:12
wifi_rssi_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:15
wifi_rssi_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:16
wifi_rssi_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:18
wifi_rssi_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:19
wifi_rssi_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:20
wifi_rssi_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:21
wifi_rssi_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:27
wifi_rssi_20:23:00:00:01:35,wifi_freq_20:23:00:00:01:35
wifi_rssi_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:38
wifi_rssi_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:45
wifi_rssi_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:47
wifi_rssi_20:23:00:00:01:51,wifi_freq_20:23:00:00:01:51
wifi_rssi_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:58
wifi_rssi_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:59
wifi_rssi_20:23:00:00:01:64,wifi_freq_20:23:00:00:01:64
wifi_rssi_20:23:00:00:01:66,wifi_freq_20:23:00:00:01:66
wifi_rssi_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:74
wifi_rssi_20:23:00:00:01:77,wifi_freq_20:23:00:00:01:77
wifi_rssi_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:81
wifi_rssi_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:82
wifi_rssi_20:23:00:00:02:09,wifi_freq_20:23:00:00:02:09
wifi_rssi_20:23:00:00:02:11,wifi_freq_20:23:00:00:02:11
wifi_rssi_20:23:00:00:02:54,wifi_freq_20:23:00:00:02:54
wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:11
