AppTimestamp(s),ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06
0.3112,-86.0,,,,
0.3694,,,,-83.0,
0.4944,,,-83.0,,
0.5224,,-99.0,,,
0.5383,,,,-82.0,
0.5834,,,,,-91.0
0.6956,,,-85.0,,
0.8809,-90.0,,,,
1.1366,,,,-75.0,
1.1967,,,,,-85.0
1.3775,,,,-81.0,
1.4016,,,,,-87.0
1.4944,-84.0,,,,
1.5237,,,-84.0,,
1.546,,-95.0,,,
1.5654,,,,-80.0,
1.6115,,,,,-86.0
1.7314,,,-90.0,,
1.8465,,,,,-92.0
1.8959,-86.0,,,,
1.9464,,,-87.0,,
1.9635,,,,-81.0,
2.0237,,,,,-87.0
2.124,-90.0,,,,
2.177,,,,-73.0,
2.3564,,,-90.0,,
2.3959,,,,-78.0,
2.5598,,,-93.0,,
2.6105,,,,-84.0,
2.6502,,,,,-84.0
2.7417,-84.0,,,,
2.797,,,,-79.0,
2.8303,,,,,-90.0
2.9648,,,-94.0,,
3.0055,,,,-82.0,
3.7866,,,-92.0,,
3.8677,,,,,-92.0
4.3869,-76.0,,,,
4.4656,,,-80.0,,
4.6503,,,,-72.0,
4.7841,-86.0,,,,
4.8422,,,-81.0,,
4.847,,,,-81.0,
4.88,,,,,-93.0
4.9908,-89.0,,,,
5.0305,,,-87.0,,
5.0396,,,,-93.0,
5.0834,,,,,-87.0
5.1983,-86.0,,,,
5.2469,,,-90.0,,
5.2506,,,,-87.0,
5.2859,,,,,-90.0
5.3887,-88.0,,,,
5.5114,,,,,-89.0
5.6648,,,,-74.0,
5.7276,,,,,-87.0
5.8404,,,,-76.0,
5.857,,,-81.0,,
6.0256,-89.0,,,,
6.227,-91.0,,,,
6.3272,,,,,-81.0
6.4393,-88.0,,,,
6.4493,,,,-82.0,
6.4577,,,-89.0,,
6.5463,,,,,-89.0
6.6272,-82.0,,,,
6.6487,,,,-74.0,
6.662,,,-84.0,,
6.7592,,,,,-90.0
6.844,-87.0,,,,
6.8559,,,,-80.0,
7.0731,-81.0,,,,
7.0857,,,,-87.0,
7.2543,-89.0,,,,
8.1697,,,,,-87.0
8.2882,-87.0,,,,
8.3046,,,-81.0,,
8.3174,,-98.0,,,
8.8977,,,,-87.0,
8.906,-87.0,,,,
9.0038,,,,,-89.0
9.0962,,,,-89.0,
9.1022,-87.0,,,,
9.2918,,,,-92.0,
9.3342,,,-88.0,,
9.4015,,,,,-87.0
9.5123,,,,-91.0,
9.7259,-91.0,,,,
9.735,,,-83.0,,
9.8386,,,,,-90.0
9.927,,,,-88.0,
10.1404,-86.0,,,,
10.1506,,,-88.0,,
10.222,,,,,-90.0
10.353,,,,-81.0,
10.3765,-84.0,,,,
10.3842,,,-86.0,,
10.4432,,,,,-88.0
10.5439,-91.0,,,,
10.5521,,,-93.0,,
10.6632,,,,,-83.0
10.7393,,,,-85.0,
10.7459,-87.0,,,,
10.7557,,,-91.0,,
10.8349,,,,,-87.0
10.9524,-81.0,,,,
10.9677,,,-90.0,,
11.0519,,,,,-82.0
11.1794,,-94.0,,,
11.8814,,,,,-93.0
12.3967,-82.0,,,,
12.4034,,,-93.0,,
12.5756,,,,-79.0,
12.6037,,,-91.0,,
