AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82
2.5673,,,,-60.0,,,-59.0,,-58.0,,,-49.0,-61.0,-60.0,,,,,,,2452.0,,,2412.0,,2427.0,,,2437.0,2462.0,2437.0,,,
6.5599,,,-57.0,-55.0,,-54.0,,,-54.0,,,-51.0,-54.0,,,,,,,2417.0,2452.0,,2462.0,,,2427.0,,,2437.0,2462.0,,,,
10.6153,,,,-56.0,,-54.0,,,-54.0,,,-47.0,-54.0,-61.0,,,,,,,2452.0,,2462.0,,,2427.0,,,2437.0,2462.0,2437.0,,,
14.577,-63.0,,,-60.0,,-62.0,,,-58.0,,,-52.0,-62.0,,,,,2437.0,,,2452.0,,2462.0,,,2427.0,,,2437.0,2462.0,,,,
18.6059,,,,-59.0,,-57.0,,,-60.0,,,-48.0,-57.0,-62.0,,,,,,,2452.0,,2462.0,,,2427.0,,,2437.0,2462.0,2437.0,,,
22.5747,,,-61.0,-55.0,,,,,-56.0,,,-48.0,-59.0,-58.0,,,,,,2417.0,2452.0,,,,,2427.0,,,2437.0,2462.0,2437.0,,,
26.5703,,,,-52.0,,,,,-56.0,-60.0,,-52.0,-59.0,-60.0,,,,,,,2452.0,,,,,2427.0,2437.0,,2437.0,2462.0,2437.0,,,
30.6032,,,,-56.0,,,,,-58.0,-60.0,,-44.0,-61.0,-57.0,,,,,,,2452.0,,,,,2427.0,2437.0,,2437.0,2462.0,2437.0,,,
34.5676,,,-58.0,-60.0,,,,,-60.0,-60.0,,-44.0,,-59.0,,,,,,2417.0,2452.0,,,,,2427.0,2437.0,,2437.0,,2437.0,,,
38.5556,-58.0,,,-56.0,,,,,-60.0,,,-44.0,-60.0,-59.0,,,,2437.0,,,2452.0,,,,,2427.0,,,2437.0,2462.0,2437.0,,,
42.5821,,,-58.0,-56.0,,,,,-60.0,,,-43.0,-61.0,-57.0,,,,,,2417.0,2452.0,,,,,2427.0,,,2437.0,2462.0,2437.0,,,
46.5807,-55.0,,-59.0,-56.0,,,,,-56.0,,,-46.0,,-55.0,,,,2437.0,,2417.0,2452.0,,,,,2427.0,,,2437.0,,2437.0,,,
50.5642,,,-59.0,-56.0,,,,,-54.0,-60.0,,-47.0,,-57.0,,,,,,2417.0,2452.0,,,,,2427.0,2437.0,,2437.0,,2437.0,,,
54.5575,-60.0,,-59.0,-60.0,,,,,-57.0,,,-46.0,,-58.0,,,,2437.0,,2417.0,2452.0,,,,,2427.0,,,2437.0,,2437.0,,,
