AppTimestamp(s),MAC,RSSI
0.3112,BE:AC:20:23:00:02,-86
0.3694,BE:AC:20:23:00:05,-83
0.4944,BE:AC:20:23:00:04,-83
0.5224,BE:AC:20:23:00:03,-99
0.5383,BE:AC:20:23:00:05,-82
0.5834,BE:AC:20:23:00:06,-91
0.6956,BE:AC:20:23:00:04,-85
0.8809,BE:AC:20:23:00:02,-90
1.1366,BE:AC:20:23:00:05,-75
1.1967,BE:AC:20:23:00:06,-85
1.3775,BE:AC:20:23:00:05,-81
1.4016,BE:AC:20:23:00:06,-87
1.4944,BE:AC:20:23:00:02,-84
1.5237,BE:AC:20:23:00:04,-84
1.546,BE:AC:20:23:00:03,-95
1.5654,BE:AC:20:23:00:05,-80
1.6115,BE:AC:20:23:00:06,-86
1.7314,BE:AC:20:23:00:04,-90
1.8465,BE:AC:20:23:00:06,-92
1.8959,BE:AC:20:23:00:02,-86
1.9464,BE:AC:20:23:00:04,-87
1.9635,BE:AC:20:23:00:05,-81
2.0237,BE:AC:20:23:00:06,-87
2.124,BE:AC:20:23:00:02,-90
2.177,BE:AC:20:23:00:05,-73
2.3564,BE:AC:20:23:00:04,-90
2.3959,BE:AC:20:23:00:05,-78
2.5598,BE:AC:20:23:00:04,-93
2.6105,BE:AC:20:23:00:05,-84
2.6502,BE:AC:20:23:00:06,-84
2.7417,BE:AC:20:23:00:02,-84
2.797,BE:AC:20:23:00:05,-79
2.8303,BE:AC:20:23:00:06,-90
2.9648,BE:AC:20:23:00:04,-94
3.0055,BE:AC:20:23:00:05,-82
3.7866,BE:AC:20:23:00:04,-92
3.8677,BE:AC:20:23:00:06,-92
4.3869,BE:AC:20:23:00:02,-76
4.4656,BE:AC:20:23:00:04,-80
4.6503,BE:AC:20:23:00:05,-72
4.7841,BE:AC:20:23:00:02,-86
4.8422,BE:AC:20:23:00:04,-81
4.847,BE:AC:20:23:00:05,-81
4.88,BE:AC:20:23:00:06,-93
4.9908,BE:AC:20:23:00:02,-89
5.0305,BE:AC:20:23:00:04,-87
5.0396,BE:AC:20:23:00:05,-93
5.0834,BE:AC:20:23:00:06,-87
5.1983,BE:AC:20:23:00:02,-86
5.2469,BE:AC:20:23:00:04,-90
5.2506,BE:AC:20:23:00:05,-87
5.2859,BE:AC:20:23:00:06,-90
5.3887,BE:AC:20:23:00:02,-88
5.5114,BE:AC:20:23:00:06,-89
5.6648,BE:AC:20:23:00:05,-74
5.7276,BE:AC:20:23:00:06,-87
5.8404,BE:AC:20:23:00:05,-76
5.857,BE:AC:20:23:00:04,-81
6.0256,BE:AC:20:23:00:02,-89
6.227,BE:AC:20:23:00:02,-91
6.3272,BE:AC:20:23:00:06,-81
6.4393,BE:AC:20:23:00:02,-88
6.4493,BE:AC:20:23:00:05,-82
6.4577,BE:AC:20:23:00:04,-89
6.5463,BE:AC:20:23:00:06,-89
6.6272,BE:AC:20:23:00:02,-82
6.6487,BE:AC:20:23:00:05,-74
6.662,BE:AC:20:23:00:04,-84
6.7592,BE:AC:20:23:00:06,-90
6.844,BE:AC:20:23:00:02,-87
6.8559,BE:AC:20:23:00:05,-80
7.0731,BE:AC:20:23:00:02,-81
7.0857,BE:AC:20:23:00:05,-87
7.2543,BE:AC:20:23:00:02,-89
8.1697,BE:AC:20:23:00:06,-87
8.2882,BE:AC:20:23:00:02,-87
8.3046,BE:AC:20:23:00:04,-81
8.3174,BE:AC:20:23:00:03,-98
8.8977,BE:AC:20:23:00:05,-87
8.906,BE:AC:20:23:00:02,-87
9.0038,BE:AC:20:23:00:06,-89
9.0962,BE:AC:20:23:00:05,-89
9.1022,BE:AC:20:23:00:02,-87
9.2918,BE:AC:20:23:00:05,-92
9.3342,BE:AC:20:23:00:04,-88
9.4015,BE:AC:20:23:00:06,-87
9.5123,BE:AC:20:23:00:05,-91
9.7259,BE:AC:20:23:00:02,-91
9.735,BE:AC:20:23:00:04,-83
9.8386,BE:AC:20:23:00:06,-90
9.927,BE:AC:20:23:00:05,-88
10.1404,BE:AC:20:23:00:02,-86
10.1506,BE:AC:20:23:00:04,-88
10.222,BE:AC:20:23:00:06,-90
10.353,BE:AC:20:23:00:05,-81
10.3765,BE:AC:20:23:00:02,-84
10.3842,BE:AC:20:23:00:04,-86
10.4432,BE:AC:20:23:00:06,-88
10.5439,BE:AC:20:23:00:02,-91
10.5521,BE:AC:20:23:00:04,-93
10.6632,BE:AC:20:23:00:06,-83
10.7393,BE:AC:20:23:00:05,-85
10.7459,BE:AC:20:23:00:02,-87
10.7557,BE:AC:20:23:00:04,-91
10.8349,BE:AC:20:23:00:06,-87
10.9524,BE:AC:20:23:00:02,-81
10.9677,BE:AC:20:23:00:04,-90
11.0519,BE:AC:20:23:00:06,-82
11.1794,BE:AC:20:23:00:03,-94
11.8814,BE:AC:20:23:00:06,-93
12.3967,BE:AC:20:23:00:02,-82
12.4034,BE:AC:20:23:00:04,-93
12.5756,BE:AC:20:23:00:05,-79
