AppTimestamp(s),Latitude_degrees,Longitude_degrees
61.4743,49.46113158,11.11100646
70.9925,49.46110526,11.11090302
77.0499,49.46108781,11.11083248
83.1904,49.46113507,11.11080444
90.504,49.46119645,11.11079252
101.3556,49.4611165,11.1107271
107.817,49.46107372,11.11077433
112.275,49.46104115,11.11080777
119.1,49.46098005,11.11077927
124.5274,49.46099411,11.11083582
127.6707,49.46100479,11.11087916
133.4978,49.4610523,11.11085287
138.2405,49.46108781,11.11083248
172.4963,49.46108781,11.11083248
177.5459,49.4610523,11.11085287
182.6577,49.46100479,11.11087916
186.3693,49.46099411,11.11083582
190.849,49.46098005,11.11077927
198.2416,49.46104115,11.11080777
203.1975,49.46107372,11.11077433
208.6711,49.4611165,11.1107271
218.3991,49.46119645,11.11079252
226.621,49.46113507,11.11080444
232.1197,49.46108781,11.11083248
238.4507,49.46110526,11.11090302
246.1818,49.46113158,11.11100646
