AppTimestamp(s),SensorTimestamp(s),mag_x,mag_y,mag_z
0.0566,88966.0164,18.36,-22.38,-13.2
0.0617,88966.0364,18.18,-22.68,-13.2
0.0644,88966.0564,17.22,-22.44,-14.16
0.067,88966.0764,16.92,-22.68,-14.58
0.0711,88966.0964,16.68,-22.8,-15.12
0.0955,88966.1164,16.14,-23.34,-14.94
0.1264,88966.1364,15.72,-24.36,-14.58
0.1292,88966.1564,14.94,-25.26,-14.28
0.149,88966.1764,14.4,-25.44,-13.92
0.1689,88966.1964,13.86,-25.5,-13.86
0.1897,88966.2164,13.38,-25.32,-13.44
0.2092,88966.2364,13.02,-24.9,-13.92
0.2291,88966.2564,13.14,-25.08,-14.28
0.2497,88966.2764,13.08,-25.2,-14.28
0.2769,88966.2964,13.38,-25.32,-14.16
0.302,88966.3164,13.56,-25.8,-13.08
0.321,88966.3364,13.38,-26.28,-12
0.3346,88966.3564,13.44,-26.52,-11.16
0.3533,88966.3764,13.02,-27.06,-10.08
0.3768,88966.3964,12.48,-27.42,-9.18
0.392,88966.4164,11.52,-27.78,-8.4
0.4125,88966.4363,10.32,-28.44,-7.8
0.4303,88966.4564,9.42,-29.16,-7.38
0.4495,88966.4764,8.22,-29.88,-7.38
0.4713,88966.4963,7.68,-29.88,-7.62
0.4895,88966.5164,7.56,-29.58,-8.1
0.5116,88966.5364,7.26,-29.16,-8.76
0.5295,88966.5564,7.26,-28.68,-10.26
0.5494,88966.5764,6.9,-28.2,-11.58
0.5714,88966.5964,6.3,-28.32,-12.3
0.5926,88966.6164,6,-28.62,-12.9
0.6118,88966.6364,5.7,-28.26,-13.08
0.6293,88966.6564,6.06,-28.5,-13.26
0.649,88966.6763,6.78,-28.14,-13.2
0.6734,88966.6964,7.14,-27.3,-12.48
0.6889,88966.7164,8.16,-27.42,-11.82
0.7094,88966.7364,9.24,-27.12,-10.68
0.7298,88966.7564,10.32,-27.24,-10.2
0.7495,88966.7764,11.82,-27.3,-10.56
0.769,88966.7964,13.02,-26.82,-10.56
0.7903,88966.8164,13.74,-26.82,-11.16
0.8108,88966.8364,14.76,-26.22,-11.64
0.8293,88966.8564,15.84,-25.38,-12.36
0.8527,88966.8764,16.14,-25.08,-13.68
0.8733,88966.8964,16.74,-23.82,-14.34
0.895,88966.9174,17.04,-22.62,-15.36
0.9108,88966.9374,17.4,-21.78,-16.14
0.9304,88966.9574,18.06,-20.88,-16.62
0.9503,88966.9774,18.54,-20.16,-17.58
0.9775,88966.9974,18.84,-19.2,-18.24
0.9915,88967.0174,19.08,-18.78,-19.14
1.0107,88967.0374,19.02,-17.94,-19.74
1.0371,88967.0574,19.2,-17.34,-20.22
1.058,88967.0774,19.56,-17.22,-20.82
1.0751,88967.0974,19.44,-16.44,-20.64
1.0945,88967.1174,20.22,-15.96,-19.98
1.1103,88967.1374,20.7,-15.18,-19.5
1.1303,88967.1574,21.3,-14.76,-18.66
1.1499,88967.1774,21.78,-14.64,-17.7
1.1728,88967.1973,21.66,-14.64,-17.46
1.1898,88967.2174,21.42,-15.66,-17.22
1.21,88967.2374,20.16,-16.44,-16.5
1.2298,88967.2573,19.68,-17.58,-16.14
1.2497,88967.2773,19.02,-19.02,-14.76
1.2709,88967.2974,18.36,-20.64,-13.14
1.2911,88967.3174,17.94,-22.2,-12.18
1.3173,88967.3374,17.22,-23.82,-11.22
1.3424,88967.3574,16.14,-25.26,-11.04
1.3559,88967.3773,14.34,-26.4,-10.56
1.3732,88967.3984,12.36,-27.54,-10.02
1.3911,88967.4184,9.9,-28.56,-9.96
1.4109,88967.4384,7.44,-29.28,-9.78
1.433,88967.4584,5.46,-29.58,-10.26
1.4529,88967.4784,3.72,-29.94,-10.92
1.4721,88967.4994,1.86,-29.94,-11.4
1.4973,88967.5194,0.66,-30.06,-12.12
1.5122,88967.5394,-0.42,-30.24,-12.48
1.5321,88967.5593,-1.44,-30,-13.14
1.5542,88967.5794,-2.04,-29.7,-13.8
1.5746,88967.5994,-3.36,-29.52,-14.4
1.5932,88967.6194,-4.56,-28.86,-15.06
1.6137,88967.6394,-5.82,-28.44,-15.06
1.6327,88967.6594,-6.42,-28.38,-15.18
1.656,88967.6804,-6.54,-28.14,-15.18
1.6734,88967.7004,-6.36,-28.02,-15.3
1.6936,88967.7204,-5.52,-28.2,-15.78
1.7137,88967.7404,-5.16,-28.38,-15.96
1.7386,88967.7604,-4.2,-28.44,-16.2
1.76,88967.7804,-3.06,-28.86,-15.78
1.774,88967.8004,-2.16,-29.52,-15
1.7955,88967.8204,-1.2,-30,-14.04
1.8201,88967.8404,-0.12,-30.42,-12.72
1.8366,88967.8604,1.2,-31.08,-11.46
1.8564,88967.8814,3,-30.66,-10.38
1.8749,88967.9014,5.04,-30.12,-9.3
1.8976,88967.9214,7.98,-29.58,-8.4
1.9145,88967.9414,10.56,-28.2,-7.92
1.9348,88967.9614,13.08,-27.6,-7.74
1.9569,88967.9814,15.54,-26.52,-8.04
1.9749,88968.0014,16.68,-25.56,-8.64
1.9946,88968.0214,18.42,-24.42,-9.6
2.0141,88968.0414,19.14,-22.62,-10.86
2.0342,88968.0614,19.8,-21.3,-12.18
2.0747,88968.0814,20.4,-20.22,-13.74
2.0811,88968.1014,19.68,-19.62,-14.88
2.0987,88968.1214,20.04,-19.2,-16.2
2.1141,88968.1414,19.8,-18.72,-17.58
2.1345,88968.1614,19.74,-17.58,-18.66
2.1594,88968.1814,20.28,-15.84,-20.22
2.1791,88968.2024,20.34,-14.28,-21.66
2.1951,88968.2224,20.46,-12.78,-22.38
2.2153,88968.2424,20.1,-12.3,-22.68
2.2381,88968.2624,19.62,-12.66,-22.68
2.262,88968.2824,19.02,-13.08,-21.96
2.2765,88968.3024,19.14,-14.22,-21.6
2.2981,88968.3224,19.56,-14.7,-21.12
2.3154,88968.3424,20.22,-15.24,-20.1
2.337,88968.3624,20.46,-16.44,-19.38
2.358,88968.3824,20.04,-17.46,-18.42
2.3778,88968.4024,19.08,-18.9,-17.22
2.3976,88968.4224,17.64,-20.64,-16.26
2.4189,88968.4424,16.14,-22.08,-14.88
2.435,88968.4623,14.58,-23.4,-13.2
2.457,88968.4824,13.32,-24.96,-11.82
2.4767,88968.5024,11.88,-26.28,-10.8
2.4948,88968.5223,10.14,-27.66,-10.02
2.5154,88968.5424,8.16,-28.56,-9.54
2.537,88968.5624,6.24,-29.1,-9.36
2.5548,88968.5824,3.96,-29.58,-8.94
2.5909,88968.6024,2.22,-29.7,-8.88
2.5954,88968.6224,0.66,-30,-9.06
2.6177,88968.6423,-1.2,-30.24,-9.18
2.6399,88968.6634,-2.76,-29.94,-9.96
2.6561,88968.6834,-4.2,-29.76,-11.1
2.6789,88968.7044,-5.52,-29.4,-12.78
2.6973,88968.7244,-6.66,-28.02,-14.88
2.718,88968.7444,-7.26,-27.42,-16.56
2.7434,88968.7644,-8.22,-26.46,-17.88
2.7573,88968.7844,-8.88,-25.5,-18.66
2.7818,88968.8044,-9.48,-24.96,-19.2
2.7992,88968.8244,-9.96,-24.24,-19.68
2.817,88968.8444,-10.14,-23.64,-20.46
2.8385,88968.8644,-10.26,-23.34,-20.7
2.8572,88968.8844,-9.54,-23.64,-21.3
2.8792,88968.9044,-8.58,-23.88,-21.12
2.901,88968.9254,-7.08,-23.82,-20.64
2.918,88968.9454,-5.16,-24.24,-20.28
2.9381,88968.9654,-3.24,-24.9,-19.26
2.9606,88968.9854,-1.8,-25.68,-18.36
2.9787,88969.0054,0.18,-26.82,-17.7
3.0003,88969.0264,1.92,-27.12,-17.7
3.019,88969.0464,3.96,-26.94,-17.22
3.0394,88969.0664,6.42,-26.34,-17.1
3.0592,88969.0864,8.58,-25.8,-16.92
3.0794,88969.1064,10.8,-25.5,-16.56
3.0992,88969.1264,12.72,-25.08,-16.44
3.1213,88969.1464,14.52,-24.18,-16.5
3.1454,88969.1664,16.62,-22.92,-15.84
3.1618,88969.1864,18.24,-21.06,-14.94
3.1801,88969.2074,20.04,-19.32,-14.34
3.2001,88969.2274,21.54,-18.24,-13.68
3.2248,88969.2474,22.68,-17.16,-13.68
3.2416,88969.2674,23.82,-16.74,-13.2
3.2622,88969.2884,24.6,-16.26,-13.38
3.2829,88969.3094,24.54,-14.94,-14.22
3.3026,88969.3294,24.06,-13.08,-15.54
3.3237,88969.3494,23.82,-11.34,-17.52
3.345,88969.3694,23.46,-9.48,-19.44
3.365,88969.3894,23.52,-8.28,-20.46
3.384,88969.4094,23.58,-7.38,-21.06
3.4085,88969.4304,23.22,-6.78,-21.3
3.4296,88969.4504,22.5,-6.3,-21.48
3.4436,88969.4704,21.96,-6.42,-21.78
3.4631,88969.4904,21.12,-7.32,-22.08
3.4832,88969.5104,21,-7.92,-22.14
3.5034,88969.5304,21.06,-9.3,-21.72
3.5245,88969.5504,21.3,-10.92,-21.6
3.5487,88969.5704,21.42,-12.42,-20.7
3.5655,88969.5904,21.12,-14.1,-20.4
3.5867,88969.6104,20.82,-15.6,-20.28
3.6036,88969.6304,20.22,-16.68,-19.26
3.6284,88969.6504,19.44,-17.94,-18.78
3.6453,88969.6713,18.42,-19.62,-17.88
3.6664,88969.6914,17.22,-20.82,-16.8
3.6883,88969.7114,15.72,-22.32,-16.14
3.7075,88969.7324,14.46,-23.88,-15.3
3.7268,88969.7524,12.96,-25.08,-13.92
3.7458,88969.7724,10.86,-27.06,-12.24
3.767,88969.7924,8.82,-28.62,-10.32
3.7904,88969.8124,6.36,-29.88,-8.4
3.8096,88969.8324,3.9,-30.9,-7.14
3.8252,88969.8524,1.56,-31.56,-6.3
3.8469,88969.8724,-0.78,-31.68,-5.7
3.869,88969.8924,-3.48,-31.62,-5.4
3.885,88969.9124,-6.18,-31.38,-5.64
3.9051,88969.9324,-8.58,-30.36,-6.12
3.9253,88969.9524,-10.98,-29.4,-7.14
3.9492,88969.9724,-13.02,-28.38,-8.46
3.9661,88969.9924,-14.88,-26.88,-9.6
3.986,88970.0124,-16.02,-25.86,-10.68
4.0057,88970.0324,-16.86,-24.78,-11.46
4.0257,88970.0524,-17.22,-24.42,-12.36
4.0465,88970.0724,-16.92,-24.48,-13.08
4.0667,88970.0924,-16.8,-24.6,-13.5
4.0866,88970.1124,-16.38,-25.62,-14.1
4.1061,88970.1324,-15,-26.22,-14.28
4.1291,88970.1524,-14.22,-26.82,-14.22
4.147,88970.1724,-12.66,-27.78,-14.46
4.1663,88970.1924,-10.26,-28.38,-14.1
4.187,88970.2134,-8.04,-28.8,-13.8
4.2072,88970.2334,-4.74,-29.82,-13.74
4.2276,88970.2534,-1.38,-29.82,-13.38
4.2465,88970.2734,1.74,-29.58,-13.5
4.2666,88970.2934,4.74,-29.4,-14.04
4.2878,88970.3134,7.5,-27.72,-14.34
4.3088,88970.3344,10.44,-26.82,-15
4.3344,88970.3554,13.08,-25.68,-14.94
4.3584,88970.3753,15.6,-24.24,-14.7
4.3707,88970.3954,17.58,-23.52,-14.88
4.394,88970.4154,19.02,-21.9,-14.34
4.4236,88970.4354,20.22,-20.76,-14.58
4.4314,88970.4554,21,-19.44,-14.82
4.4531,88970.4754,21.12,-17.88,-15.48
4.4684,88970.4954,20.88,-16.86,-17.1
4.4894,88970.5154,20.1,-16.32,-18.9
4.5079,88970.5354,18.48,-16.08,-20.58
4.5285,88970.5554,16.86,-16.08,-21.78
4.5481,88970.5754,15.72,-16.68,-22.26
4.5689,88970.5954,14.46,-16.8,-22.86
4.5893,88970.6154,13.74,-17.16,-23.46
4.6122,88970.6354,13.44,-17.82,-23.82
4.6379,88970.6554,12.72,-18.12,-24.12
4.6533,88970.6754,12.72,-18.72,-24.24
4.6682,88970.6954,13.14,-19.86,-23.7
4.6883,88970.7154,13.2,-20.7,-22.5
4.7088,88970.7354,13.08,-21.66,-21.24
4.7287,88970.7554,12.96,-22.14,-19.08
4.7487,88970.7754,12.66,-22.86,-17.4
4.7685,88970.7954,12.66,-23.64,-16.14
4.796,88970.8154,12.96,-24.42,-14.28
4.8123,88970.8354,12.9,-25.5,-12.84
4.8297,88970.8554,13.08,-26.64,-10.68
4.8483,88970.8754,12.78,-27.84,-8.46
4.8689,88970.8954,11.82,-28.98,-7.14
4.8898,88970.9154,10.8,-30.12,-6.06
4.9109,88970.9354,8.52,-30.6,-5.7
4.9297,88970.9554,6.3,-31.08,-5.22
4.9482,88970.9754,4.02,-31.56,-4.86
4.969,88970.9954,1.02,-31.56,-4.68
4.9952,88971.0154,-2.1,-31.68,-4.8
5.0157,88971.0354,-5.52,-31.68,-4.86
5.033,88971.0554,-9.18,-30.96,-5.58
5.0495,88971.0754,-12.66,-29.76,-6.42
5.0703,88971.0954,-15.6,-28.26,-7.38
5.0903,88971.1154,-17.52,-26.46,-8.58
5.1081,88971.1354,-18.96,-25.08,-8.64
5.1379,88971.1554,-19.86,-24.48,-8.7
5.1579,88971.1754,-21.18,-23.82,-8.28
5.1715,88971.1954,-22.2,-23.22,-8.34
5.1923,88971.2154,-22.5,-22.98,-9.42
5.2144,88971.2354,-21.9,-22.44,-10.62
5.2326,88971.2554,-20.34,-22.5,-13.08
5.2529,88971.2754,-18.84,-22.86,-14.88
5.2681,88971.2954,-16.86,-23.28,-16.92
5.2891,88971.3154,-14.94,-24.42,-18.24
5.3082,88971.3354,-12.3,-25.32,-17.88
5.3345,88971.3554,-9.54,-26.04,-18.3
5.3569,88971.3754,-6.54,-27.24,-17.58
5.3725,88971.3954,-3.12,-27.48,-16.86
5.3905,88971.4153,0.66,-27.78,-16.8
5.4077,88971.4354,4.44,-27.6,-15.84
5.4291,88971.4554,7.92,-26.88,-14.82
5.4478,88971.4753,11.16,-26.1,-14.22
5.4678,88971.4954,13.74,-25.32,-13.32
5.4922,88971.5154,16.32,-24.54,-12.18
5.5144,88971.5354,18.3,-23.76,-11.46
5.5287,88971.5554,19.98,-23.22,-11.1
5.5494,88971.5754,20.76,-22.02,-10.68
5.568,88971.5954,21.12,-21.54,-11.1
5.5883,88971.6154,21.48,-20.7,-11.7
5.6087,88971.6354,21.42,-19.86,-11.58
5.6416,88971.6564,21.3,-19.86,-12.78
5.6542,88971.6763,21.42,-18.84,-13.86
5.675,88971.6964,21.12,-17.76,-15.12
5.6964,88971.7164,21.06,-16.98,-17.04
5.716,88971.7364,21.12,-15.72,-18.12
5.7294,88971.7564,20.46,-15.36,-19.2
5.7506,88971.7764,19.38,-16.2,-20.1
5.7696,88971.7964,17.94,-17.1,-20.1
5.7928,88971.8164,16.62,-19.08,-19.92
5.8096,88971.8364,15.84,-21.12,-18.96
5.8328,88971.8564,15.3,-22.5,-17.16
5.8593,88971.8764,14.4,-23.88,-15.6
5.8698,88971.8964,13.92,-24.78,-14.1
5.8932,88971.9164,13.32,-25.8,-12.78
5.9156,88971.9364,12.54,-26.52,-12.24
5.9325,88971.9564,12.12,-27.24,-11.88
5.949,88971.9764,10.98,-28.02,-10.44
5.9705,88971.9964,9.6,-29.04,-9
5.9934,88972.0164,7.5,-30,-6.78
6.009,88972.0364,5.64,-30.72,-4.68
6.03,88972.0564,3.78,-31.2,-3.06
6.0491,88972.0764,1.8,-30.9,-2.1
6.0737,88972.0964,-0.06,-31.02,-1.68
6.0891,88972.1164,-2.22,-30.66,-1.32
6.113,88972.1364,-4.74,-30.54,-1.5
6.1303,88972.1564,-7.08,-30.78,-1.32
6.1495,88972.1764,-8.94,-30.18,-1.44
6.1716,88972.1964,-11.04,-30,-1.32
6.1906,88972.2164,-13.08,-29.34,-1.68
6.2129,88972.2364,-14.94,-28.2,-2.7
6.2338,88972.2564,-16.5,-27.54,-3.48
6.2505,88972.2764,-17.7,-25.38,-2.82
6.2695,88972.2964,-18.66,-24.66,-3.78
6.2893,88972.3164,-19.44,-24.06,-4.38
6.3091,88972.3364,-20.1,-23.28,-5.88
6.335,88972.3564,-20.4,-22.86,-6.72
6.3496,88972.3764,-20.4,-22.14,-7.44
6.3724,88972.3964,-20.34,-22.26,-7.74
6.3889,88972.4164,-20.04,-22.44,-7.5
6.4114,88972.4364,-19.26,-23.34,-7.68
6.435,88972.4564,-18.72,-24.54,-7.92
6.4502,88972.4764,-17.7,-25.14,-7.98
6.4734,88972.4963,-16.44,-26.04,-7.98
6.4887,88972.5164,-14.34,-27.06,-7.44
