AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82
2.5673,-64.0,,-68.0,-60.0,,,-61.0,-59.0,,-58.0,-66.0,,-49.0,,,-61.0,,,-60.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
6.5599,-58.0,,-57.0,-55.0,,,-54.0,-61.0,,-54.0,-65.0,,-51.0,,,-54.0,,,-62.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
10.6153,-66.0,,-63.0,-56.0,,,-54.0,-62.0,,-54.0,-61.0,,-47.0,,,-54.0,,,-61.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
14.577,-63.0,,-65.0,-60.0,,,-62.0,-64.0,,-58.0,-67.0,,-52.0,,,-62.0,,,-67.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
18.6059,-67.0,,-64.0,-59.0,,,-57.0,-64.0,,-60.0,-65.0,,-48.0,,,-57.0,,,-62.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
22.5747,-64.0,,-61.0,-55.0,,,-61.0,-62.0,,-56.0,-67.0,,-48.0,,,-59.0,,,-58.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
26.5703,,,-61.0,-52.0,,,-62.0,-62.0,,-56.0,-60.0,,-52.0,-71.0,,-59.0,,,-60.0,,,,,,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,,2462.0,,,2437.0,,,,
30.6032,-65.0,,,-56.0,,,-62.0,-69.0,,-58.0,-60.0,,-44.0,-68.0,,-61.0,,,-57.0,,,,,2437.0,,,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,,2462.0,,,2437.0,,,,
34.5676,-62.0,,-58.0,-60.0,,,-61.0,,,-60.0,-60.0,,-44.0,-70.0,,-61.0,,,-59.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,,,2427.0,2437.0,,2437.0,5220.0,,2462.0,,,2437.0,,,,
38.5556,-58.0,,-62.0,-56.0,,,-61.0,-69.0,,-60.0,-65.0,,-44.0,,,-60.0,,,-59.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
42.5821,,,-58.0,-56.0,,,-61.0,-69.0,,-60.0,-65.0,-72.0,-43.0,,,-61.0,,,-57.0,,,,,,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,,2437.0,,,,
46.5807,-55.0,,-59.0,-56.0,,,-62.0,-66.0,,-56.0,-62.0,,-46.0,,,-63.0,,,-55.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
50.5642,-64.0,,-59.0,-56.0,,,-64.0,-66.0,,-54.0,-60.0,,-47.0,,,-65.0,,,-57.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
54.5575,-60.0,,-59.0,-60.0,,,-65.0,-66.0,,-57.0,-60.0,,-46.0,,,-65.0,,,-58.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
58.5841,-61.0,,-62.0,-60.0,,,-62.0,-63.0,,-56.0,-60.0,,-45.0,,,-63.0,,,-59.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
62.5919,-54.0,,-62.0,-60.0,,,-62.0,-63.0,,-55.0,-61.0,,-44.0,,,-63.0,,,-58.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
66.559,-66.0,,-60.0,-62.0,,,-65.0,-68.0,,-60.0,-61.0,,-50.0,,,-61.0,,,-56.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
70.5638,-66.0,,-67.0,-66.0,,,-65.0,-70.0,,-59.0,-64.0,,-46.0,,,-65.0,,,-56.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
74.5652,-56.0,-73.0,-64.0,-68.0,,,-66.0,-70.0,,-63.0,,,-51.0,,,-67.0,,,-51.0,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,,,2437.0,,,2462.0,,,2437.0,,,,
78.6059,-59.0,-67.0,-63.0,-67.0,,,-73.0,,,-66.0,-69.0,,-51.0,,,-70.0,,,-55.0,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
82.5462,-56.0,-67.0,-61.0,-71.0,,,-66.0,,,-61.0,-64.0,,-50.0,,,-66.0,,,-57.0,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
86.5549,-48.0,-59.0,-68.0,-74.0,,,-71.0,,,-65.0,-73.0,,-50.0,,,-72.0,,,-60.0,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,,,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
90.584,-49.0,-59.0,-76.0,,,-82.0,,-79.0,,-75.0,,-85.0,-57.0,,,-76.0,,,-67.0,,,,,2437.0,5200.0,2417.0,,,2457.0,,2412.0,,2427.0,,2422.0,2437.0,,,2462.0,,,2437.0,,,,
94.5424,-49.0,-59.0,,-83.0,,-74.0,,,-80.0,-74.0,,,-65.0,,,-78.0,,,-65.0,,,,,2437.0,5200.0,,2452.0,,2457.0,,,2462.0,2427.0,,,2437.0,,,2462.0,,,2437.0,,,,
98.5574,-45.0,-54.0,,-72.0,,,,-80.0,-80.0,-74.0,-75.0,,-57.0,,,-74.0,,,-62.0,,,,,2437.0,5200.0,,2452.0,,,,2412.0,2462.0,2427.0,2437.0,,2437.0,,,2462.0,,,2437.0,,,,
102.5551,-50.0,-58.0,-74.0,-77.0,,,,,,-75.0,-71.0,-82.0,-56.0,,,-73.0,,,-59.0,,,,,2437.0,5200.0,2417.0,2452.0,,,,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,,2437.0,,,,
