AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:01:90,wifi_rssi_20:23:00:00:01:92,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:01:96,wifi_rssi_20:23:00:00:02:61,wifi_rssi_20:23:00:00:02:65,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:29,wifi_rssi_20:23:00:00:03:41,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:90,wifi_freq_20:23:00:00:01:92,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:01:96,wifi_freq_20:23:00:00:02:61,wifi_freq_20:23:00:00:02:65,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:29,wifi_freq_20:23:00:00:03:41
1.4224,-58.0,-68.0,-66.0,-75.0,,,-79.0,-84.0,-70.0,-77.0,-83.0,-58.0,-85.0,-85.0,-71.0,,,-56.0,,,,,,-93.0,,,,,,,,,,,,-91.0,,,2437.0,5200.0,2417.0,2452.0,,,2412.0,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,2462.0,,,,,,,,,,,,2462.0,,
5.4659,-52.0,-64.0,-66.0,-75.0,-89.0,-76.0,,-84.0,-66.0,-70.0,,-56.0,-86.0,-84.0,-71.0,,-88.0,-49.0,,,,,,,,,,,,,,,,,,-84.0,,,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,,2462.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,,,,,,,,,,,,,,,,,,2462.0,,
9.4047,-53.0,-68.0,-65.0,-73.0,,,-78.0,,-63.0,-75.0,-79.0,-56.0,-82.0,-82.0,-67.0,,,-49.0,,,,,,,,,,,,,,,,,,-88.0,,,2437.0,5200.0,2417.0,2452.0,,,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,2462.0,,
13.3896,-51.0,-64.0,-68.0,-81.0,,-75.0,-75.0,,-71.0,,,-57.0,-84.0,-86.0,-73.0,,,-56.0,,,,,,,,,,,,,,,,,,-91.0,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,2462.0,,
17.4705,-51.0,-68.0,,-78.0,,-74.0,-78.0,,-74.0,-77.0,,-57.0,-83.0,-84.0,-74.0,,,-49.0,,-93.0,,,,,,,,,,,-91.0,,,,,,,,2437.0,5200.0,,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,2437.0,,,,,,,,,,,2412.0,,,,,,,
21.4169,-52.0,-64.0,-65.0,-75.0,,-70.0,-79.0,-86.0,-73.0,-77.0,-82.0,-61.0,-84.0,-84.0,-72.0,-88.0,-86.0,-49.0,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2452.0,2437.0,,,,,,,,,,,,,,,,,,,,
25.4285,-55.0,-66.0,,-75.0,-87.0,-74.0,,,-72.0,-78.0,-82.0,-59.0,-86.0,-87.0,,,,-50.0,,,-95.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,2457.0,2462.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,,2437.0,,,2462.0,,,,,,,,,,,,,,,,,
29.4357,-51.0,-66.0,-68.0,-76.0,-89.0,-75.0,-85.0,-88.0,-71.0,-79.0,-82.0,-58.0,-84.0,-85.0,,-95.0,-90.0,-46.0,,,-89.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,2412.0,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2462.0,2452.0,2437.0,,,2462.0,,,,,,,,,,,,,,,,,
33.4,-53.0,-67.0,-64.0,-77.0,-91.0,-71.0,-80.0,,-69.0,-78.0,,-58.0,-84.0,-85.0,-71.0,,-86.0,-46.0,,,,,-87.0,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,,,,,2462.0,,,,,,,,,,,,,,,
37.4336,-66.0,-69.0,-64.0,-71.0,-87.0,-70.0,-78.0,,-67.0,-78.0,-82.0,-54.0,,-87.0,-68.0,,,-48.0,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,,
