AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:03:11
2.7726,,,-63.0,-72.0,,-74.0,-77.0,,-72.0,-53.0,-49.0,-68.0,,,-73.0,,-78.0,,,,,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,
6.5613,,,-63.0,-73.0,,-73.0,,,-74.0,-49.0,-48.0,-70.0,,,-73.0,-75.0,-75.0,,,,,,2417.0,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,
10.5701,,,-64.0,-71.0,,-73.0,,,-72.0,-48.0,-50.0,-70.0,,,-74.0,-74.0,-72.0,,,,,,2417.0,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,
14.6108,-74.0,,-71.0,-67.0,,,,,-68.0,-48.0,-48.0,-68.0,,,-70.0,-73.0,-75.0,,,,2437.0,,2417.0,2452.0,,,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,
18.6186,,,-63.0,-76.0,,-75.0,,,-69.0,-53.0,-46.0,-66.0,,,-75.0,-74.0,-75.0,,,,,,2417.0,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,
22.5955,,,-60.0,-76.0,,-75.0,-76.0,,-73.0,-47.0,-46.0,-62.0,,,-75.0,,-71.0,,,,,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2437.0,,,
26.5955,,,,-74.0,,-79.0,-80.0,,-72.0,-54.0,-46.0,-61.0,,,-78.0,-74.0,-74.0,,,,,,,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,
30.5789,-76.0,,,-70.0,,-75.0,,,,-54.0,-46.0,-62.0,,,-78.0,-75.0,-70.0,-80.0,,,2437.0,,,2452.0,,2462.0,,,,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,2462.0,,
34.5922,-75.0,,-66.0,-69.0,,-70.0,,,,-48.0,-47.0,-66.0,,,-71.0,-73.0,-74.0,,,,2437.0,,2417.0,2452.0,,2462.0,,,,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,
38.5584,,,-62.0,-72.0,,-72.0,,,-75.0,-48.0,-46.0,-70.0,,,-72.0,-77.0,-74.0,,,,,,2417.0,2452.0,,2462.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,
