AppTimestamp(s),Latitude_degrees,Longitude_degrees
62.3527,49.46113359,11.11131091
69.5165,49.46111334,11.11122953
77.4959,49.46117634,11.11119305
91.7037,49.46113158,11.11100646
97.9225,49.46117818,11.11097833
102.2572,49.46121844,11.11095482
106.641,49.46124352,11.11091715
113.5001,49.46121216,11.1108519
145.8839,49.46121216,11.1108519
152.1384,49.46124352,11.11091715
156.4557,49.46121844,11.11095482
161.3,49.46117818,11.11097833
166.8178,49.46113158,11.11100646
182.1403,49.46117634,11.11119305
189.9682,49.46111334,11.11122953
197.0765,49.46113359,11.11131091
