AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
40.0107,16308.406,0.06419911848989412,0.02964741176312602,-0.16501345217291075,-0.0147,-0.02102,-0.01894,-10.0,-32.0,-15.1
40.0431,16308.426,0.03879800841289337,-0.015531899613277476,-0.14522762222574848,-0.03302,0.00463,-0.01527,-10.0,-32.0,-15.1
40.0547,16308.446,0.018307145398421473,-0.05893987036703788,-0.12784877926382165,-0.02142,-0.00025,-0.00916,-10.0,-31.9,-15.0
40.0758,16308.466,0.008094558978667107,-0.09215088968273243,-0.11494688346250825,0.01463,-0.00086,-0.00733,-10.0,-31.9,-15.0
40.0965,16308.486,0.008554931806120238,-0.1135824777895188,-0.10776081861358477,0.01707,0.01135,0.00428,-9.9,-32.0,-15.2
40.1154,16308.506,0.018628597687650225,-0.12119100370785121,-0.10658538365092163,0.00913,0.01746,0.01099,-9.9,-31.9,-15.2
40.1339,16308.526,0.035531285099966496,-0.1161697316671682,-0.11094681253289984,0.01218,0.00463,0.00977,-9.9,-32.0,-15.2
40.155,16308.546,0.05550099667126236,-0.10197216655110836,-0.11979215232809537,0.01279,-0.01675,-0.00061,-9.9,-32.0,-15.2
40.1733,16308.566,0.0743311493197059,-0.08279267599964663,-0.13151589248613504,0.00363,0.00952,-0.01527,-9.9,-32.0,-15.0
40.1907,16308.5859,0.08753881350771107,-0.06393454607878479,-0.14387283412875362,-0.01409,0.02113,-0.02138,-9.9,-32.0,-15.0
40.213,16308.6059,0.0931504842525521,-0.04966151082592683,-0.154006907815317,-0.01164,0.0138,-0.01649,-9.9,-32.1,-15.0
40.2394,16308.6259,0.08957123128142667,-0.042441439201515926,-0.1588440571102705,0.00791,0.00524,-0.01772,-9.9,-32.1,-15.0
40.2657,16308.6459,0.0774369908216225,-0.04057133673843867,-0.15594039378171587,0.00791,0.00341,-0.0171,-9.9,-32.0,-14.8
40.2813,16308.6659,0.06012514392141112,-0.04334015689444286,-0.14449150628299812,-0.02447,-0.0027,-0.01222,-9.9,-32.1,-14.9
40.3023,16308.6859,0.04240437381670969,-0.0474737605611412,-0.12591601739542035,-0.04707,-0.01064,-0.01405,-9.9,-32.1,-14.9
