AppTimestamp(s),wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:02:16,wifi_rssi_20:23:00:00:02:17,wifi_rssi_20:23:00:00:02:19,wifi_rssi_20:23:00:00:02:21,wifi_rssi_20:23:00:00:02:22,wifi_rssi_20:23:00:00:02:27,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:02:16,wifi_freq_20:23:00:00:02:17,wifi_freq_20:23:00:00:02:19,wifi_freq_20:23:00:00:02:21,wifi_freq_20:23:00:00:02:22,wifi_freq_20:23:00:00:02:27,wifi_freq_20:23:00:00:03:11
0.9759,-51.0,,,,-79.0,,-75.0,-79.0,-79.0,,-79.0,,,,,,,,,,,,,,,2417.0,,,,2437.0,,2437.0,5220.0,5220.0,,2437.0,,,,,,,,,,,,,,
2.8875,-62.0,,,-79.0,-79.0,-75.0,-71.0,-82.0,,,,,,,,,,,,,,,,,,2417.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,,,,,,,,,,,,,,,,,
4.8759,-57.0,,-78.0,-81.0,-72.0,,-74.0,,,-77.0,,,,,,,,,,,,,,,,2417.0,,2462.0,2427.0,2437.0,,2437.0,,,2462.0,,,,,,,,,,,,,,,
6.8666,-51.0,,-82.0,-81.0,-81.0,-77.0,-78.0,,,,,,,,,,,,,,,,,,,2417.0,,2462.0,2427.0,2437.0,2422.0,2437.0,,,,,,,,,,,,,,,,,,
8.8741,,,-75.0,-82.0,-79.0,-78.0,-80.0,,,,-82.0,,,,,,,,,,,,,,,,,2462.0,2427.0,2437.0,2422.0,2437.0,,,,2437.0,,,,,,,,,,,,,,
10.8619,-54.0,-84.0,,,-78.0,-77.0,-75.0,,,-82.0,,,,,,,,,,,,,,,,2417.0,2452.0,,,2437.0,2422.0,2437.0,,,2462.0,,,,,,,,,,,,,,,
12.8902,-56.0,-80.0,,,-82.0,-77.0,-75.0,,,,-82.0,,,,,,,,,,,,,,,2417.0,2452.0,,,2437.0,2422.0,2437.0,,,,2437.0,,,,,,,,,,,,,,
14.9583,-67.0,,,,-80.0,-83.0,-78.0,-85.0,,-82.0,,,,,,,,,,,,,,,,2417.0,,,,2437.0,2422.0,2437.0,5220.0,,2462.0,,,,,,,,,,,,,,,
16.8821,,-84.0,-84.0,-85.0,,,-77.0,,,-83.0,-80.0,,,,,,,,,,,,,,,,2452.0,2462.0,2427.0,,,2437.0,,,2462.0,2437.0,,,,,,,,,,,,,,
18.8468,-53.0,,,-78.0,,-79.0,-83.0,,,-80.0,-79.0,,,,,,,,,,,,,,,2417.0,,,2427.0,,2422.0,2437.0,,,2462.0,2437.0,,,,,,,,,,,,,,
20.9872,-59.0,-79.0,-79.0,,,-82.0,-75.0,,,-74.0,,,,,,,,,,,,,,,,2417.0,2452.0,2462.0,,,2422.0,2437.0,,,2462.0,,,,,,,,,,,,,,,
22.8755,-56.0,,,-81.0,-83.0,-79.0,-72.0,,,,-80.0,,,,,,,,,,,,,,,2417.0,,,2427.0,2437.0,2422.0,2437.0,,,,2437.0,,,,,,,,,,,,,,
