AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z
0.04,16268.3991,-1.90584,6.83805,6.49088
0.0418,16268.4191,-2.1333,6.96016,5.82527
0.0466,16268.4391,-1.30727,7.09663,6.48848
0.0653,16268.4591,-0.77096,7.04635,7.32648
0.0982,16268.4791,-0.68237,7.05593,7.64492
0.1145,16268.4991,-1.09897,6.97213,7.48929
0.1234,16268.5191,-1.27854,6.79735,7.21874
0.1443,16268.5391,-0.82602,6.84284,7.29775
0.1655,16268.5591,-0.41421,6.84523,7.45098
0.1884,16268.5791,-0.26816,6.74946,7.49887
0.2039,16268.5991,-0.41421,6.68721,7.38394
0.2299,16268.6191,-0.55787,6.73031,7.05114
0.2439,16268.6391,-0.37351,6.82368,6.58665
0.2692,16268.6591,-0.09577,6.81411,6.25145
0.2888,16268.6791,0.249,6.88115,6.16765
0.3045,16268.6991,0.76617,6.9434,6.44299
0.3292,16268.7191,1.15404,6.69918,6.91945
0.3536,16268.7391,1.0056,6.33046,7.35282
0.3753,16268.759,0.87391,6.16765,7.61858
0.388,16268.779,1.0056,6.11498,7.62337
0.4108,16268.799,1.087,6.0623,7.45098
0.4243,16268.819,1.1708,6.08385,7.24986
0.4438,16268.839,1.1708,6.1054,7.12536
0.4676,16268.859,1.11813,6.024,7.31451
0.4832,16268.879,1.05348,5.89231,7.51563
0.5044,16268.899,1.05109,5.86358,7.52999
0.5352,16268.919,1.29051,5.94977,7.5276
0.5565,16268.939,1.47248,6.04794,7.60901
0.5693,16268.959,1.51318,6.13892,7.55154
0.5853,16268.979,1.41023,6.17723,7.45817
0.6042,16268.999,1.14207,6.1485,7.32409
0.6284,16269.019,0.99602,6.18681,7.30014
0.6478,16269.039,1.13249,6.24427,7.30014
0.6649,16269.059,0.9194,6.30173,7.30493
0.6844,16269.079,0.89067,6.273,7.58985
0.7109,16269.099,0.74701,6.24187,7.57788
0.7366,16269.119,0.73983,6.22272,7.5707
0.7442,16269.139,0.88828,6.28737,7.55633
0.7654,16269.1589,0.92419,6.29934,7.46295
0.7852,16269.1789,0.87152,6.27539,7.45098
0.82,16269.1989,0.78053,6.21314,7.41507
0.8293,16269.2189,1.09179,6.3568,7.17564
0.8443,16269.2389,1.17559,6.39511,6.96255
0.864,16269.2589,1.01757,6.36398,6.92424
0.9086,16269.2789,0.85476,6.35441,6.96973
0.9105,16269.2989,0.65843,6.32328,6.96734
0.9244,16269.3189,0.52435,6.30652,6.95297
0.9554,16269.3389,0.6273,6.36877,6.86678
0.9643,16269.3589,0.69913,6.42623,6.71115
1.0164,16269.3789,0.63688,6.44539,6.74467
1.019,16269.3989,0.56265,6.45497,6.92903
1.0296,16269.4189,0.55547,6.49088,6.97931
1.0477,16269.4389,0.49561,6.50046,6.83805
1.0688,16269.4589,0.55068,6.53637,6.84763
1.0862,16269.4789,0.54829,6.55313,6.92424
1.1047,16269.4989,0.56265,6.57468,6.93621
1.131,16269.5189,0.56505,6.58904,7.04156
1.1442,16269.5389,0.52913,6.58665,7.13733
1.1648,16269.5589,0.50519,6.57468,7.07508
1.1874,16269.5788,0.49083,6.57707,6.99368
1.2057,16269.5988,0.44773,6.5675,7.02959
1.2261,16269.6188,0.419,6.56271,7.05832
