AppTimestamp(s),ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04
0.1407,-73.0,
0.3432,-73.0,
2.2265,-79.0,
2.4154,-73.0,
2.4976,,-98.0
2.8109,-78.0,
4.2426,-75.0,
4.6624,-87.0,
6.3111,-78.0,
6.4908,-90.0,
6.7065,-83.0,
6.8143,,-95.0
8.3386,-77.0,
8.7481,-90.0,
10.578,-72.0,
10.7961,-71.0,
12.2367,-74.0,
12.4296,-73.0,
12.6558,-73.0,
12.855,-77.0,
13.1738,,-103.0
13.2681,-72.0,
14.2958,-76.0,
14.6884,-80.0,
14.8205,,-98.0
14.8863,-75.0,
16.324,-68.0,
16.5328,-76.0,
18.5607,-74.0,
18.7119,,-98.0
20.2078,-87.0,
20.4255,-81.0,
20.6074,-99.0,
20.8151,-81.0,
20.9563,,-101.0
22.259,-80.0,
22.3993,,-102.0
22.4562,-80.0,
24.5001,-79.0,
24.722,-79.0,
24.9025,-79.0,
26.369,-94.0,
26.5708,-73.0,
26.7719,-87.0,
28.2131,-84.0,
28.4273,-78.0,
28.6294,-76.0,
28.8614,-79.0,
30.7125,-78.0,
30.8889,-84.0,
32.106,-80.0,
32.5259,-75.0,
34.3805,-74.0,
34.5623,-79.0,
34.785,-75.0,
34.9822,-79.0,
35.1707,-81.0,
35.4084,-74.0,
35.5898,-81.0,
35.8063,-75.0,
36.0099,-78.0,
36.6178,-80.0,
36.8421,-74.0,
37.0257,-79.0,
38.234,-75.0,
38.4534,-79.0,
38.6659,-75.0,
39.2873,-80.0,
39.4677,-79.0,
39.8839,-78.0,
40.1042,-74.0,
40.3116,-79.0,
40.7079,-78.0,
42.5415,-74.0,
42.7686,-79.0,
42.9525,-75.0,
44.2048,-78.0,
44.4069,-76.0,
44.615,-80.0,
44.8305,-79.0,
45.4367,-76.0,
45.8579,-76.0,
46.2751,-78.0,
46.4635,-79.0,
46.6977,-78.0,
46.9145,-76.0,
48.3185,-76.0,
48.5217,-79.0,
48.7334,-76.0,
49.1386,-77.0,
49.7635,-75.0,
49.954,-79.0,
50.1638,-76.0,
50.3855,-81.0,
50.9744,-77.0,
52.4134,-77.0,
52.6365,-77.0,
52.8456,-80.0,
54.2784,-80.0,
54.4774,-76.0,
54.8851,-78.0,
56.3031,-78.0,
56.5013,-77.0,
56.7052,-77.0,
56.8255,,-102.0
58.3421,-76.0,
58.555,-78.0,
58.7604,-77.0,
59.979,-79.0,
60.4116,-78.0,
60.5989,-78.0,
60.8222,-77.0,
62.2461,-87.0,
62.3224,,-91.0
62.451,-73.0,
62.6711,-69.0,
62.7333,,-97.0
63.991,,-95.0
64.3004,-87.0,
64.5104,-78.0,
64.7094,-85.0,
64.9391,-77.0,
66.3476,-88.0,
66.7533,-88.0,
68.3925,-83.0,
68.5899,-90.0,
68.8114,-85.0,
69.2071,-87.0,
69.4097,-94.0,
69.6304,-89.0,
69.8549,-84.0,
70.2477,-82.0,
70.6452,-93.0,
70.853,-91.0,
72.2943,-87.0,
72.4947,-87.0,
72.6919,-93.0,
72.8956,-94.0,
73.525,-90.0,
73.7351,-97.0,
73.9419,-95.0,
74.1492,-95.0,
74.3361,-95.0,
74.7463,-98.0,
76.5874,-97.0,
79.0619,-101.0,
90.7416,-98.0,
94.2574,-103.0,
94.6404,-100.0,
97.0924,-99.0,
98.1157,-98.0,
104.2824,-100.0,
114.3222,-100.0,
116.3617,-100.0,
116.5419,-100.0,
118.5755,-101.0,
121.859,-101.0,
124.7213,-97.0,
126.7667,-98.0,
128.8525,-93.0,
129.0289,-95.0,
130.4645,-93.0,
130.6573,-89.0,
132.3271,-94.0,
132.7055,-96.0,
133.3399,-94.0,
133.7253,-96.0,
133.9619,-90.0,
134.1325,-91.0,
134.7578,-91.0,
136.399,-88.0,
136.6017,-79.0,
136.8029,-88.0,
137.2355,-78.0,
137.4218,-76.0,
137.5177,,-99.0
137.6281,-79.0,
137.8331,-82.0,
138.2574,-83.0,
138.458,-79.0,
138.6598,-91.0,
138.8624,-85.0,
140.2989,-79.0,
140.5827,,-97.0
140.7059,-76.0,
141.1108,-77.0,
141.1868,,-99.0
141.5137,-98.0,
142.3432,-89.0,
142.5432,-81.0,
142.7585,-80.0,
142.9688,-83.0,
143.04,,-98.0
143.959,-83.0,
144.3759,-84.0,
144.631,-82.0,
144.7781,-78.0,
146.2281,-81.0,
146.4164,-85.0,
148.2827,-80.0,
148.3569,,-100.0
148.4969,-74.0,
148.7047,-77.0,
