AppTimestamp(s),ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06
1.3804,-99.0,,,
1.5721,,,,-90.0
3.234,,,,-95.0
3.6302,-95.0,,,
5.0779,,,,-89.0
5.2718,,,,-89.0
5.4697,,,,-80.0
6.9132,,,,-86.0
7.1079,,,,-91.0
7.5261,,,,-88.0
7.6315,,-103.0,,
8.6568,,-99.0,,
9.3687,,,,-87.0
9.5699,,,,-84.0
11.0063,,,,-82.0
11.205,,,,-90.0
11.4063,,,,-97.0
13.0332,-99.0,,,
13.2648,,,,-86.0
13.4428,-100.0,,,
13.4639,,,,-90.0
14.2743,,,,-80.0
15.0926,,,,-87.0
15.3201,-98.0,,,
15.3362,,,,-89.0
15.5122,,,,-89.0
17.1601,,,,-88.0
17.1678,-100.0,,,
17.3568,,,,-94.0
17.5611,,,,-91.0
18.9832,,,,-87.0
19.2244,,,,-84.0
19.4247,,,,-90.0
19.6032,,,,-87.0
21.0395,,,,-97.0
21.2803,,,,-87.0
21.4509,,,,-90.0
21.5632,,-98.0,,
22.738,,,,-85.0
23.1118,,,,-97.0
23.3227,,,,-95.0
23.5343,,,,-82.0
25.1607,,,,-87.0
25.3569,,,,-84.0
25.5815,,,,-89.0
27.0036,,,,-82.0
27.2151,,,,-89.0
27.4226,,,-102.0,
28.6381,-100.0,,,
29.0452,-102.0,,,
29.0606,,,,-86.0
29.2536,,,,-85.0
29.4717,,,,-95.0
30.9036,,,,-90.0
31.1061,,,,-83.0
31.327,,,,-87.0
31.5228,,,,-89.0
31.9315,,,,-88.0
33.1791,,,,-85.0
33.3364,,,,-93.0
34.9821,,,,-87.0
35.2075,,,,-83.0
35.3931,,,,-86.0
35.5998,,,,-84.0
37.019,,,,-85.0
37.4341,,,,-87.0
37.6333,,,,-84.0
39.0637,,,,-83.0
39.4855,,,,-83.0
41.1233,,,,-87.0
41.3525,,,,-83.0
41.5233,,,,-88.0
41.5505,-100.0,,,
43.1439,,,,-83.0
43.3439,,,,-85.0
43.5452,,,,-84.0
44.9776,,,,-85.0
45.2042,,,,-85.0
45.3935,,,,-85.0
45.4225,-102.0,,,
47.0139,,,,-82.0
47.2322,,,,-85.0
47.4258,,,,-84.0
47.6221,,,,-85.0
49.0972,,,,-85.0
49.2935,,,,-84.0
49.4945,,,,-83.0
51.3364,,,,-84.0
51.5391,,,,-85.0
52.3634,,,,-82.0
53.1968,,,,-84.0
53.3817,,,,-85.0
53.5851,,,,-86.0
55.0162,,,,-86.0
55.2461,,,,-82.0
55.4244,,,,-85.0
55.4595,-102.0,,,
55.6274,,,,-83.0
57.266,,,,-85.0
57.4897,,,,-84.0
59.1213,,,,-85.0
59.5486,,,,-84.0
61.1692,,,,-91.0
61.365,,,,-90.0
63.4108,,,,-82.0
63.617,,,,-89.0
65.0609,,,,-94.0
65.2977,,,,-94.0
65.4771,,,,-90.0
67.1445,,,,-94.0
67.5329,,,,-94.0
69.5759,,,,-95.0
71.0164,,,,-92.0
71.2183,,,,-98.0
71.6295,,,,-91.0
73.2572,,,,-89.0
145.4044,,,,-100.0
147.4526,,,,-100.0
149.3166,,,,-93.0
149.5324,,,,-89.0
151.1619,,,,-96.0
151.3944,,,,-89.0
151.574,,,,-90.0
153.1658,-99.0,,,
153.3898,-100.0,,,
153.4143,,,,-90.0
153.6476,,,,-92.0
155.0598,,,,-87.0
155.2079,-92.0,,,
155.2703,,,,-86.0
155.4759,,,,-83.0
157.0779,-97.0,,,
157.1221,,,,-85.0
157.3363,,,,-90.0
157.5396,,,,-95.0
159.1823,,,,-83.0
159.2232,,-101.0,,
159.3919,,,,-82.0
159.4377,,-99.0,,
159.5251,-94.0,,,
159.6063,,,,-84.0
160.0031,,,,-93.0
161.0311,,,,-87.0
161.4497,,,,-87.0
161.4798,,,-99.0,
161.6419,,,,-89.0
163.1375,,-96.0,,
163.2023,-97.0,,,
163.3997,-96.0,,,
163.5103,,,,-78.0
163.6,-96.0,,,
