AppTimestamp(s),Latitude_degrees,Longitude_degrees
60.3753,49.46108781,11.11083248
64.7246,49.46107372,11.11077433
69.3727,49.46105793,11.11070973
74.7199,49.46110224,11.11066878
82.3433,49.461172,11.11062859
89.9121,49.46114717,11.11052686
95.6804,49.46110144,11.11055322
126.9817,49.46110144,11.11055322
132.1479,49.46114717,11.11052686
139.3961,49.461172,11.11062859
146.926,49.46110224,11.11066878
152.0403,49.46105793,11.11070973
156.9733,49.46107372,11.11077433
161.0527,49.46108781,11.11083248
