AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06
0.1307,-94.0,,,,,
0.2033,,-81.0,,,,
0.2084,,,,-83.0,,
0.3683,,-79.0,,,,
0.3916,,,,-84.0,,
0.4358,,,-94.0,,,
0.5812,,-81.0,,,,
0.6324,,,,-77.0,,
0.7666,,-89.0,,,,
0.7909,,,,,,-96.0
0.9819,,-85.0,,,,
1.0111,,,,-86.0,,
1.1807,,-70.0,,,,
1.2455,,,,-84.0,,
1.3902,,-75.0,,,,
1.4205,,,,-86.0,,
1.6273,,,,-78.0,,
1.8369,,,,-85.0,,
2.0087,,-73.0,,,,
2.0953,,,,-84.0,,
2.2307,,-72.0,,,,
2.2604,,,,-83.0,,
2.6607,,,,-88.0,,
2.9042,,,-92.0,,,
3.015,,-81.0,,,,
3.6134,-100.0,,,,,
3.6659,,,,-73.0,,
3.8711,,-77.0,,,,
3.8848,,,,-90.0,,
4.0755,,,,-82.0,,
4.111,,,-98.0,,,
4.3061,,,,-90.0,,
4.4434,,-72.0,,,,
4.5007,,,,-80.0,,
4.6289,-95.0,,,,,
4.6928,,,,-79.0,,
4.8167,-91.0,,,,,
5.0421,-92.0,,,,,
5.0513,,,,,-95.0,
5.2611,,-81.0,,,,
5.4631,,-77.0,,,,
5.801,,,-97.0,,,
5.8662,,-74.0,,,,
5.9203,,,,,,-98.0
7.9443,-95.0,,,,,
7.954,,-76.0,,,,
7.9638,,,,-79.0,,
8.1572,,-84.0,,,,
8.3626,,-79.0,,,,
8.3675,,,,-97.0,,
8.5717,,-90.0,,,,
8.6114,,,,-84.0,,
8.6312,,,-97.0,,,
8.6397,,,,,,-95.0
8.7687,,-81.0,,,,
8.7832,,,,-87.0,,
9.0163,,-71.0,,,,
9.0242,,,,-78.0,,
9.0297,,,-96.0,,,
9.2406,,,-93.0,,,
9.3753,,-72.0,,,,
9.3987,,,,-78.0,,
9.5966,,-73.0,,,,
9.607,,,,-89.0,,
10.0198,,-73.0,,,,
10.0255,,,,-80.0,,
10.1677,-94.0,,,,,
10.1897,,,,,-95.0,
11.2407,,-82.0,,,,
11.2825,,,,-75.0,,
11.4356,,-73.0,,,,
11.4626,,,-95.0,,,
12.069,,-83.0,,,,
12.4596,,,,-91.0,,
12.6723,,,,-81.0,,
12.6896,,,-93.0,,,
12.8361,-92.0,,,,,
12.922,,,,,,-97.0
12.9306,,,-104.0,,,
13.0993,,,,-81.0,,
13.2852,,,,-81.0,,
13.3096,,-85.0,,,,
13.497,,,,,-99.0,
13.5241,,-73.0,,,,
13.53,,,,,,-97.0
13.8711,-92.0,,,,,
14.0496,-91.0,,,,,
14.1266,,-73.0,,,,
14.1367,,,,-73.0,,
14.7771,,-77.0,,,,
15.3782,,-81.0,,,,
15.3831,,,,-81.0,,
15.7558,,,,-85.0,,
15.9593,,-80.0,,,,
15.9736,,,,-81.0,,
16.1863,,,,-85.0,,
16.3649,,-71.0,,,,
16.7746,,-71.0,,,,
17.3967,,-75.0,,,,
17.6333,,,,,,-96.0
17.824,,,,-83.0,,
17.8329,,-83.0,,,,
18.0491,,,,-78.0,,
18.0629,,,,,,-93.0
18.0712,,-86.0,,,,
18.1573,-95.0,,,,,
18.4012,,,,-80.0,,
18.8314,,-80.0,,,,
18.8604,,,-91.0,,,
19.2468,,-73.0,,,,
19.3856,-95.0,,,,,
19.8356,,,,,,-96.0
19.846,,,,-84.0,,
19.8575,,-86.0,,,,
20.0532,,-88.0,,,,
20.0709,,,-94.0,,,
20.2631,,-74.0,,,,
20.4708,,,,-88.0,,
20.6743,,-69.0,,,,
20.8826,,,,-77.0,,
21.0918,,,,-75.0,,
21.1068,,-82.0,,,,
21.2353,-95.0,,,,,
21.2736,,,,,,-95.0
21.5146,,,,-80.0,,
21.7387,,-72.0,,,,
21.8519,-94.0,,,,,
21.9074,,,,-77.0,,
21.9174,,-76.0,,,,
22.1077,,,,-82.0,,
22.1233,,-84.0,,,,
22.3224,,,,-81.0,,
23.5639,,,-96.0,,,
23.7282,,,,-98.0,,
23.7594,,-77.0,,,,
23.909,-96.0,,,,,
23.929,,,,-82.0,,
23.9506,,-78.0,,,,
24.1727,,,,-79.0,,
24.1989,,-90.0,,,,
24.3497,,,,-80.0,,
24.3654,,-85.0,,,,
24.3975,,,-97.0,,,
24.5213,-95.0,,,,,
24.7616,,,,-81.0,,
24.7943,,-71.0,,,,
24.9675,,,,-86.0,,
25.0059,,-85.0,,,,
25.1697,,,,-83.0,,
25.3687,,,,-94.0,,
25.3869,,-76.0,,,,
25.7853,,,,-85.0,,
25.8173,,,-94.0,,,
25.8261,,,,,-94.0,
25.9933,,,,,,-91.0
26.0107,,,,-83.0,,
26.0176,,-79.0,,,,
26.1485,-94.0,,,,,
26.3914,,,,-77.0,,
26.6349,,,,-90.0,,
27.0239,,,,-74.0,,
27.0458,,-72.0,,,,
27.2637,,-75.0,,,,
27.2878,,,,,-98.0,
27.8289,,,,-89.0,,
27.8594,,-71.0,,,,
28.2093,-92.0,,,,,
28.6494,,,,-78.0,,
28.6942,,-85.0,,,,
28.8493,-96.0,,,,,
28.8608,,,,,,-97.0
28.8743,,,,-88.0,,
28.8983,,-67.0,,,,
28.9054,,,-99.0,,,
29.0675,,,,-77.0,,
29.7263,,,,-78.0,,
29.7314,,-82.0,,,,
29.7716,,,-94.0,,,
29.8946,,,,-90.0,,
29.9173,,,,,-97.0,
30.5094,,-69.0,,,,
