AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90
1.6821,,-49.0,,-65.0,,-65.0,,-67.0,-53.0,-64.0,,,2417.0,,2462.0,,2427.0,,2422.0,2437.0,2462.0,
5.7476,,-49.0,,-65.0,,,-67.0,-67.0,-58.0,-65.0,,,2417.0,,2462.0,,,2437.0,2422.0,2437.0,2462.0,
9.6563,,-49.0,,-65.0,,-67.0,-67.0,,-58.0,-67.0,,,2417.0,,2462.0,,2427.0,2437.0,,2437.0,2462.0,
13.7045,,-49.0,-64.0,-65.0,,,,-65.0,-54.0,-67.0,,,2417.0,2452.0,2462.0,,,,2422.0,2437.0,2462.0,
17.682,,-47.0,-64.0,-66.0,,-65.0,-62.0,,-50.0,,,,2417.0,2452.0,2462.0,,2427.0,2437.0,,2437.0,,
21.6854,,,,-65.0,,-67.0,-66.0,-62.0,-59.0,-67.0,,,,,2462.0,,2427.0,2437.0,2422.0,2437.0,2462.0,
25.6606,-68.0,-52.0,-64.0,,,,-67.0,-61.0,-59.0,,,2437.0,2417.0,2452.0,,,,2437.0,2422.0,2437.0,,
29.6832,,-56.0,,-69.0,,-68.0,-66.0,-61.0,-59.0,,,,2417.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,
33.7229,,-48.0,-67.0,-64.0,,,-66.0,-61.0,-57.0,,,,2417.0,2452.0,2462.0,,,2437.0,2422.0,2437.0,,
37.6762,,-48.0,,-65.0,,,-67.0,-62.0,-61.0,-67.0,,,2417.0,,2462.0,,,2437.0,2422.0,2437.0,2462.0,
41.6664,,-52.0,,-64.0,,-66.0,-63.0,,-61.0,-65.0,,,2417.0,,2462.0,,2427.0,2437.0,,2437.0,2462.0,
45.6893,,-52.0,-65.0,-67.0,,-66.0,-60.0,,-61.0,,,,2417.0,2452.0,2462.0,,2427.0,2437.0,,2437.0,,
49.6809,,,-65.0,-64.0,,,-63.0,-66.0,-61.0,-65.0,,,,2452.0,2462.0,,,2437.0,2422.0,2437.0,2462.0,
53.6703,,-52.0,,-68.0,,-67.0,-63.0,-64.0,-60.0,,,,2417.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,
57.6756,,-52.0,-65.0,,,,-62.0,-60.0,-56.0,-65.0,,,2417.0,2452.0,,,,2437.0,2422.0,2437.0,2462.0,
61.6802,,-53.0,-61.0,,,,-62.0,-62.0,-55.0,-63.0,,,2417.0,2452.0,,,,2437.0,2422.0,2437.0,2462.0,
65.6625,,-49.0,,,,-66.0,-62.0,-61.0,-57.0,,-67.0,,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,2437.0
69.6598,,-49.0,-64.0,,,-67.0,,-59.0,-54.0,,-68.0,,2417.0,2452.0,,,2427.0,,2422.0,2437.0,,2437.0
73.6673,,-56.0,-64.0,,,,-64.0,-63.0,-57.0,,-67.0,,2417.0,2452.0,,,,2437.0,2422.0,2437.0,,2437.0
77.6956,,-57.0,-60.0,-65.0,,-63.0,,-61.0,-55.0,,,,2417.0,2452.0,2462.0,,2427.0,,2422.0,2437.0,,
81.6775,,-56.0,,-59.0,,-57.0,-62.0,,-47.0,-60.0,,,2417.0,,2462.0,,2427.0,2437.0,,2437.0,2462.0,
85.6907,,-59.0,-55.0,,,-52.0,,,-51.0,-59.0,-60.0,,2417.0,2452.0,,,2427.0,,,2437.0,2462.0,2437.0
89.7094,,,-59.0,-59.0,-54.0,-57.0,,,-49.0,-59.0,,,,2452.0,2462.0,2412.0,2427.0,,,2437.0,2462.0,
93.6587,,,-56.0,-54.0,-61.0,-57.0,,,-45.0,-55.0,,,,2452.0,2462.0,2412.0,2427.0,,,2437.0,2462.0,
97.7061,,,-54.0,-54.0,-59.0,-61.0,,,-47.0,-54.0,,,,2452.0,2462.0,2412.0,2427.0,,,2437.0,2462.0,
101.6645,,-51.0,-56.0,-55.0,,-58.0,,,-45.0,-54.0,,,2417.0,2452.0,2462.0,,2427.0,,,2437.0,2462.0,
105.6891,,-50.0,-55.0,-53.0,,-61.0,,,-47.0,-54.0,,,2417.0,2452.0,2462.0,,2427.0,,,2437.0,2462.0,
109.6853,,-52.0,-59.0,-53.0,-57.0,,,,-47.0,-53.0,,,2417.0,2452.0,2462.0,2412.0,,,,2437.0,2462.0,
113.6892,,-54.0,-55.0,-53.0,-55.0,,,,-47.0,-57.0,,,2417.0,2452.0,2462.0,2412.0,,,,2437.0,2462.0,
117.6774,,,-57.0,-51.0,-55.0,-56.0,,,-48.0,-53.0,,,,2452.0,2462.0,2412.0,2427.0,,,2437.0,2462.0,
121.6731,,-53.0,-58.0,-51.0,,-56.0,,,-48.0,-51.0,,,2417.0,2452.0,2462.0,,2427.0,,,2437.0,2462.0,
