AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,PitchX,RollY,YawZ,Quat_w,Quat_x,Quat_y,Quat_z
0.0656,84430.8872,2.3535,9.24641,4.55856,-1.11055,0.47281,-0.76786,18.72,-33.18,-8.1,55.981339,-1.36286,123.060768,0.42580790098177407,0.23294099,0.40753666,0.7735244
0.0723,84430.9071,2.46124,10.12747,7.35978,-1.04275,0.38179,-1.07818,18.96,-32.88,-8.46,54.831738,-0.228435,122.027641,0.4309742778997793,0.22467878,0.40191028,0.77604687
0.0781,84430.9272,2.51391,10.36929,7.28316,-0.54184,-0.09407,-1.51556,19.68,-32.04,-8.94,53.916317,1.12303,120.419395,0.43896386105702684,0.21763979,0.39775166,0.77571726
0.0827,84430.9472,1.08697,9.90481,4.7884,-0.39156,-0.72388,-1.84848,20.16,-31.56,-9.12,53.586079,2.546362,117.964935,0.45128082779833106,0.21522631,0.39643839,0.76997393
0.0866,84430.9671,-1.6089,7.58722,3.95043,-0.66523,-0.80756,-1.78861,20.88,-31.44,-9.36,53.206104,4.04188,114.821556,0.46798466211838335,0.21447739,0.39404964,0.76138997
0.0972,84430.9872,-2.17394,7.52258,5.30555,-1.12155,-1.78434,-1.0965,21.66,-30.78,-9.24,52.371227,5.037303,112.006561,0.4851979160122839,0.21380767,0.38754854,0.75410569
0.121,84431.0072,-3.51469,10.68532,9.21768,-0.697,-1.74769,-0.97005,22.38,-30.06,-9.72,51.128521,4.480477,110.240936,0.5016374169086965,0.21765107,0.37389719,0.74912536
0.1341,84431.0271,-4.02465,12.22479,9.36851,0.12706,-2.65849,-0.90652,22.74,-29.58,-10.8,50.543896,3.846559,108.481819,0.5165240845655095,0.2247117,0.36397386,0.74177527
0.179,84431.0471,-3.77566,10.18254,12.65096,0.61392,-2.24004,-0.95906,22.8,-28.44,-11.58,50.723484,2.481639,106.480629,0.5332235695733428,0.24060276,0.3547892,0.72931993
0.1829,84431.0672,-7.29513,9.78271,11.57596,0.55589,-0.37751,-0.48625,22.68,-28.02,-13.2,51.302921,2.131114,104.532288,0.5452167574312434,0.25162619,0.35256067,0.71772134
0.1949,84431.0871,-5.23851,9.24641,9.93833,0.71471,0.11973,-0.15577,22.26,-28.14,-14.16,51.802067,2.907032,103.603661,0.54737989908859,0.25210205,0.35728484,0.71355963
0.2126,84431.1071,-5.2864,8.00861,10.62786,1.38361,-0.24679,-0.49786,22.2,-27.9,-14.16,52.610638,3.780847,102.70076,0.5481587754200922,0.25352904,0.36437565,0.70885497
0.2351,84431.1272,-7.16824,4.84586,8.51618,1.92117,-0.36163,-0.35675,22.2,-28.2,-14.58,53.763901,5.725411,100.430656,0.5526907633954701,0.25474241,0.37553126,0.69901037
0.2558,84431.1471,-8.43956,1.85551,5.91607,1.86375,-0.46059,0.43433,22.2,-28.44,-13.44,55.155388,7.697235,98.169708,0.5557379868841721,0.25756279,0.38801941,0.68866366
0.2761,84431.1671,-7.82665,0.9912,5.14035,1.64078,-0.83566,1.46608,22.08,-28.38,-12.48,56.342667,8.539613,97.236549,0.5547704279787924,0.26198635,0.39663959,0.68283963
0.2939,84431.1881,-4.14676,0.85952,5.99508,1.49723,-0.77458,2.00058,21.84,-28.8,-11.76,57.340328,7.156453,98.460838,0.5491620490558708,0.27121422,0.39839792,0.68274665
0.3147,84431.2082,-2.08056,0.7015,6.74686,1.42759,1.69882,2.17957,21.24,-29.34,-10.56,57.882294,5.399592,100.669327,0.5404230605820927,0.27680761,0.39840546,0.6874544
0.3387,84431.2282,-0.87628,0.9481,2.71263,1.09162,2.36038,1.96515,20.82,-30.12,-10.02,58.288326,6.008073,103.363342,0.5207640285234596,0.26563379,0.40995103,0.70013118
0.3544,84431.2481,-0.3304,0.40941,1.64242,0.38118,2.85152,1.68293,19.86,-31.8,-9.06,58.290527,7.136931,105.900177,0.5010118529197133,0.24948323,0.4206996,0.71397275
0.3754,84431.2682,0.47884,0.59855,0.79248,-0.72632,3.33471,1.41171,18.72,-33.06,-7.86,58.692265,7.533909,109.482368,0.4758142155549304,0.23553821,0.43237418,0.72881764
0.3999,84431.2892,0.40941,0.90022,0.4956,-2.02746,3.54668,1.05374,18.24,-33.3,-6.78,57.664268,8.809889,112.957848,0.4514778512763972,0.20943661,0.43800896,0.74863356
0.4202,84431.3092,-0.90261,1.88424,2.02549,-2.97919,3.46361,0.8937,17.64,-33.72,-5.82,55.270206,10.497142,115.92408,0.4320247848651664,0.17632775,0.43453696,0.77035105
0.4399,84431.3302,-1.84114,2.23618,4.34069,-3.44528,3.34571,1.08245,17.52,-33.18,-5.52,52.002502,12.075615,118.975685,0.41407400278282075,0.13989878,0.42358699,0.79343879
0.4579,84431.3501,-1.53947,4.0869,6.75404,-3.64015,3.11602,1.36712,17.82,-32.64,-5.34,48.187378,13.33782,122.681969,0.3932502099155852,0.10143427,0.40663764,0.81835884
0.4765,84431.3701,-0.7446,7.52258,9.79468,-3.6658,2.77699,1.5913,17.82,-32.76,-5.82,44.062756,14.01644,126.68483,0.3718852448396077,0.06596057,0.38348049,0.84278899
0.4966,84431.3902,0.7422,11.2312,13.6685,-3.40985,2.15269,1.50334,17.34,-32.58,-6.66,40.360931,14.165265,130.876816,0.3484891043218425,0.03704388,0.35947481,0.86484736
0.5257,84431.4101,2.8898,13.54639,18.72026,-2.74462,1.62063,1.08795,16.98,-32.1,-7.14,37.10743,13.798344,134.680939,0.3273143646393731,0.01660885,0.33537859,0.88323873
0.5416,84431.4301,5.4923,13.33092,21.65316,-1.43248,1.48379,0.21686,16.32,-32.1,-8.28,34.626438,14.366253,136.882446,0.3134453394350976,-0.00252959,0.31846872,0.8946079
0.559,84431.4502,5.31752,11.80102,20.16157,-0.15944,1.36345,-0.32926,16.32,-31.38,-9.12,33.380375,15.768175,137.532013,0.3069204633070341,-0.01943753,0.31275487,0.89866924
0.5916,84431.4712,6.83066,11.25035,18.37071,0.78313,0.82222,-0.65179,16.38,-30.6,-9.6,33.300529,17.509447,137.137283,0.30539174553541515,-0.03226635,0.31689143,0.89737093
0.6148,84431.4911,8.42759,10.0772,16.45535,1.55282,0.62492,-1.13132,16.62,-30.18,-9.96,34.106068,19.237444,135.810822,0.30914182088771147,-0.0392596,0.32798699,0.8918041
0.6242,84431.5122,6.72292,7.25683,13.25669,2.18568,0.52229,-1.40438,17.16,-29.52,-9.12,35.545765,21.437632,133.346802,0.3183623768392391,-0.04387668,0.34553576,0.88166052
0.6424,84431.5321,5.96874,5.89692,9.49301,2.4514,0.42516,-1.28954,17.34,-29.28,-7.98,37.324383,23.839254,130.433731,0.3285784297014238,-0.04641606,0.36627927,0.8693223
0.666,84431.5522,7.43639,6.75165,7.89129,2.57785,0.32437,-1.43492,17.46,-29.16,-7.08,39.276974,26.265657,127.356895,0.338249327780529,-0.04668109,0.3882466,0.85596311
0.6815,84431.5722,7.20415,6.51223,6.08127,2.62061,0.76053,-1.91873,17.82,-29.22,-5.52,41.16608,28.66098,124.027855,0.34879024938303255,-0.04477705,0.40952665,0.84180063
0.6981,84431.5921,5.40611,4.80995,2.50433,2.43552,0.59437,-2.16307,18.24,-28.8,-4.02,43.053928,29.892637,121.413414,0.3572148889078712,-0.03578131,0.42658007,0.83014858
0.7183,84431.6122,5.03261,3.83312,0.6201,2.09893,-0.07269,-2.25165,18.3,-28.86,-2.7,44.764301,30.81061,118.742996,0.3671216709458086,-0.02433746,0.44102883,0.81861037
0.7379,84431.6322,3.68468,3.67031,0.87867,1.65606,-0.4948,-2.2712,19.2,-28.2,-1.02,46.190948,30.980659,116.259026,0.379070332036349,-0.0090413,0.45074162,0.80811876
0.7619,84431.6521,2.32238,3.99113,1.21625,1.17958,-0.76541,-2.17896,20.16,-27.54,-0.06,47.278095,30.653479,114.046806,0.39197890509268846,0.00735361,0.45620829,0.79885697
0.7791,84431.6722,3.08134,4.48673,1.26653,0.72326,-0.94684,-2.15208,21.3,-27.0,0.36,48.12553,29.815506,112.280403,0.40451514041490155,0.02446167,0.45807144,0.7911635
0.7974,84431.6922,2.64559,4.2545,2.71024,0.39951,-1.06963,-2.26875,22.56,-25.38,0.36,48.493649,28.71513,110.693275,0.4184875987560809,0.04022757,0.45582888,0.7845189
0.8171,84431.7121,1.47962,4.23774,3.11964,0.24435,-0.91935,-2.35244,23.7,-24.72,0.18,48.475979,27.732887,108.931175,0.4344501606638242,0.05380713,0.45134738,0.77758819
0.8411,84431.7322,-0.42377,3.94086,2.47321,0.00244,-1.25044,-2.51371,24.96,-24.0,-0.12,47.979488,27.815746,106.42321,0.45282782023068197,0.06047684,0.44756866,0.76874691
0.8624,84431.7522,-2.06859,3.33273,4.64475,-0.10446,-2.09649,-2.42819,26.22,-23.04,-0.54,46.77853,28.117077,103.316124,0.47669151798850473,0.06402238,0.44034085,0.75813341
0.8826,84431.7732,-1.075,2.34871,7.87453,0.34453,-2.16307,-2.05739,27.72,-22.44,-0.96,45.34066,26.627127,100.800362,0.5039772304724298,0.07535207,0.42444137,0.74845076
0.905,84431.7951,-0.17717,3.80678,9.04769,0.87354,-1.85764,-1.83809,29.22,-21.12,-1.86,44.436321,25.192438,98.430031,0.5277277605447731,0.08819877,0.41129616,0.73794299
0.9304,84431.8161,-1.95606,5.36062,7.18021,1.30298,-2.43124,-1.90956,30.3,-19.8,-2.76,44.181156,24.276907,95.686577,0.5493653431018264,0.1023254,0.4033215,0.72460955
0.9462,84431.8362,-3.76608,4.20901,5.43005,1.2932,-3.16062,-1.64139,31.14,-18.84,-4.44,44.317474,23.251188,92.266777,0.5738364450674894,0.12145935,0.39567956,0.7066803
0.9705,84431.8562,-2.90896,5.64074,5.22415,0.69578,-4.02316,-1.20524,31.56,-18.06,-5.4,44.640141,21.35582,89.436882,0.5964394430639356,0.14458394,0.3843911,0.68963683
0.9857,84431.8761,-2.93529,7.00304,8.04931,0.03299,-5.07568,-1.24922,31.56,-17.4,-7.14,44.553989,17.959532,87.348663,0.6202294013416982,0.17108124,0.3630386,0.67398047
1.0037,84431.8962,-2.01831,5.43244,8.0948,-0.95784,-5.37012,-0.92974,31.44,-16.92,-9.18,43.733501,13.395345,85.56871,0.6469582471534288,0.19796035,0.33069462,0.65794969
1.0248,84431.9162,0.84994,2.99754,7.37175,-2.39581,-5.7067,-0.89553,31.26,-15.6,-11.82,41.771961,7.901586,84.639526,0.6726348700383729,0.21963635,0.28705275,0.64569569
1.0528,84431.9361,-2.19548,3.83312,10.6925,-3.50209,-5.61263,-0.75136,30.42,-14.7,-15.48,38.174706,2.394465,83.497604,0.7003496147876884,0.2307712,0.23242833,0.63421774
1.0795,84431.9562,-2.40617,4.2928,18.28931,-3.22842,-5.17953,-0.16371,29.1,-13.56,-19.2,33.648991,-2.863876,82.447273,0.7244899430916171,0.23339623,0.17269094,0.62515467
1.0873,84431.9762,-0.11253,2.6408,18.76575,-1.61391,-2.17896,-0.31582,26.7,-11.46,-23.1,29.839598,-6.639225,81.744965,0.7392052439383844,0.23097615,0.12588744,0.61998224
1.1075,84431.9972,-4.46758,3.50511,20.33635,-0.02321,-0.74831,-0.42638,23.82,-9.9,-25.92,28.394638,-8.440097,81.124077,0.74623799575072,0.23221099,0.1048575,0.61498928
1.1283,84432.0171,-2.59053,4.43406,20.49197,1.67255,-1.07085,-0.2419,21.66,-8.1,-27.96,28.921692,-9.148097,80.809738,0.747918125137024,0.2396041,0.1025456,0.61048567
1.1426,84432.0371,-2.6432,5.9065,19.49838,3.07265,-1.19302,0.17532,20.1,-7.62,-29.16,31.247087,-10.633018,81.053993,0.7450818909477552,0.2618109,0.10642337,0.60413748
1.165,84432.0572,-3.69425,7.80989,19.74019,4.50391,-1.15209,0.48991,19.56,-8.34,-29.82,35.002254,-12.731157,82.268387,0.7358119846316536,0.29465878,0.11696431,0.59839475
