AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
50.0007,2317.1937,0.05429226629366314,-0.028350705616266948,-0.03855867612941033,-0.01355,-0.01768,0.01838,15.4,-24.3,-27.0
50.0173,2317.2137,0.06965281212444485,-0.02635501488339811,-0.02672605695923025,-0.00195,-0.01035,0.00555,15.4,-24.3,-26.9
50.0494,2317.2338,0.08373478340854285,-0.021457517035563894,-0.023385393249492736,0.01027,0.00186,0.00494,15.4,-24.3,-26.9
50.067,2317.2538,0.0926193112947796,-0.005303681882917601,-0.03367755551558638,0.01882,0.02263,0.01044,15.3,-24.3,-26.9
50.08,2317.2738,0.09497006761336542,0.021453820413585557,-0.05765137598158354,0.01821,0.00553,0.00677,15.3,-24.4,-26.8
50.0987,2317.2938,0.09175975508758527,0.05252673415647379,-0.09018032004423127,0.00722,-0.0128,5e-05,15.3,-24.3,-26.7
50.122,2317.3139,0.08374906277601854,0.0797074218586181,-0.12269632523572938,0.02005,-0.0073,-0.00117,15.2,-24.4,-26.7
50.1412,2317.3339,0.07312748729736973,0.09801410275404317,-0.14615827172858964,0.03104,-0.00974,0.00616,15.2,-24.3,-26.6
50.1601,2317.3539,0.06107783636190289,0.10334814457120547,-0.15407857870779473,0.01943,-0.04334,5e-05,15.1,-24.3,-26.5
50.1807,2317.3739,0.048830492832905414,0.09540245547361359,-0.14478082919054813,0.00294,-0.05067,-0.0085,15.1,-24.3,-26.4
50.201,2317.394,0.038309276638217774,0.07522992694552703,-0.12208055605768386,-0.02149,-0.02746,-0.00728,15.1,-24.4,-26.4
50.2178,2317.414,0.028647565539988696,0.04461570801591565,-0.09419669498500838,-0.00989,-0.00241,-0.00911,15.1,-24.4,-26.3
50.2399,2317.434,0.016806795044780807,0.008516791576969076,-0.0712112619561811,0.0286,-0.00547,-0.01033,15.2,-24.4,-26.3
50.2802,2317.454,0.0009057583141988097,-0.03106307528436169,-0.0618113462647738,0.04265,-0.01463,-0.003,15.1,-24.4,-26.2
50.2808,2317.474,-0.012157067462354405,-0.042648436525309225,-0.07032280763146659,0.03776,-0.00913,0.01105,15.1,-24.4,-26.2
50.3026,2317.494,-0.02197643098006597,-0.043622950820203614,-0.09553937596452755,0.01882,0.00553,0.00861,15.1,-24.3,-26.1
50.3181,2317.514,-0.024743987515170787,-0.02793940651754974,-0.13094304801445844,0.00416,0.02447,0.0025,15.1,-24.3,-26.1
50.3369,2317.534,-0.019086473843111153,-0.0035902536634678205,-0.166717964183821,0.01577,0.0208,0.01166,15.1,-24.4,-26.1
50.3589,2317.554,-0.0064369605926495035,0.022187633005667513,-0.19257374142831374,0.01821,-0.00302,0.01899,15.1,-24.4,-26.0
50.3771,2317.574,0.011653713845221349,0.045787885648383334,-0.20088590856598643,0.00966,-0.00791,0.01655,15.1,-24.4,-25.9
50.4036,2317.594,0.030983669764691118,0.06441428990551823,-0.1891505631183552,-0.00072,-0.00547,0.02021,15.2,-24.4,-26.1
50.4192,2317.614,0.05276070448586769,0.07559773408709416,-0.16084798632564024,-0.01783,-0.02807,0.01288,15.2,-24.4,-26.1
50.4372,2317.634,0.07006317365797589,0.07868582918502086,-0.12419859191809124,-0.02699,-0.01768,-0.003,15.2,-24.4,-26.2
50.4572,2317.654,0.07960436916681936,0.07204871179996734,-0.08923111723207455,-0.016,-0.00608,-0.01583,15.3,-24.4,-26.2
50.4793,2317.674,0.07903514340356241,0.05625042507028653,-0.0643208532203019,0.01638,0.01347,-0.00483,15.4,-24.4,-26.3
50.4974,2317.694,0.06706386054236282,0.03888068412259543,-0.053691153939023906,0.04631,0.01042,-0.01033,15.4,-24.3,-26.3
50.5192,2317.714,0.04712756830085482,0.02553437773708142,-0.056893193955433574,0.02615,0.00492,-0.02072,15.3,-24.3,-26.3
50.5585,2317.734,0.025875335794588204,0.022395370512928368,-0.0703564307042317,-0.0105,0.00553,-0.02377,15.2,-24.3,-26.3
50.5806,2317.754,0.002692056754306463,0.024796965154664428,-0.08978350195453366,-0.02882,0.00919,-0.0085,15.1,-24.3,-26.3
