AppTimestamp(s),ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06
1.6448,,,-90.0
1.8452,,,-90.0
2.0622,,,-93.0
3.7006,,,-90.0
3.8948,,,-96.0
4.0758,,,-92.0
5.7193,,,-93.0
5.9167,-97.0,,
6.1456,,,-94.0
8.0056,,,-90.0
8.1704,,,-103.0
9.8087,-98.0,,
9.8542,,,-94.0
11.2792,,,-92.0
12.05,-96.0,,
12.1044,,,-95.0
13.5427,,,-97.0
13.9448,,,-96.0
15.7984,,,-96.0
16.2042,,,-98.0
17.5721,-100.0,,
17.658,,,-92.0
17.7758,-99.0,,
18.062,,,-101.0
19.6947,,,-98.0
19.8233,-101.0,,
21.7384,,,-95.0
22.1796,,,-90.0
23.7958,,,-92.0
24.0107,,,-94.0
25.5676,-97.0,,
25.6506,,,-92.0
25.8945,,,-96.0
26.0579,,,-94.0
27.7008,,,-90.0
29.7505,,,-97.0
29.9552,,,-89.0
30.1622,,,-89.0
31.1789,,,-92.0
31.6234,,,-95.0
31.8009,,,-94.0
32.0099,,,-96.0
33.8393,,,-97.0
35.6928,,,-99.0
36.6672,,-104.0,
37.9455,,,-96.0
39.7726,,,-93.0
39.8992,-97.0,,
40.1766,,,-94.0
41.6352,,,-97.0
41.8251,,,-92.0
42.0193,,,-97.0
43.677,,,-95.0
45.7133,,,-95.0
45.9355,,,-99.0
49.6383,,,-98.0
50.0455,,,-92.0
51.8668,,,-94.0
52.0817,,,-94.0
53.9373,,,-95.0
55.7763,,,-91.0
55.979,,,-97.0
56.1848,,,-91.0
57.6117,,,-90.0
57.8102,,,-94.0
59.6569,,,-91.0
61.7117,,,-88.0
61.9192,,,-96.0
62.1321,,,-95.0
63.5676,,,-103.0
63.9701,,,-98.0
65.6267,,,-97.0
65.8082,,,-95.0
66.2255,,,-98.0
71.7673,,,-99.0
95.6988,,,-100.0
107.5749,,,-94.0
110.0353,,,-95.0
111.8751,,,-93.0
115.5591,,,-105.0
115.7531,,,-98.0
117.5983,,,-98.0
127.6569,,,-99.0
127.8407,,,-101.0
127.9678,-98.0,,
128.1614,-101.0,,
129.3936,-96.0,,
129.9998,-100.0,,
130.0767,,,-98.0
132.0654,-102.0,,
135.5406,-98.0,,
135.5916,,,-95.0
135.7512,-101.0,,
135.8004,,,-100.0
137.7919,-99.0,,
137.8546,,,-88.0
139.9042,,,-96.0
140.1005,,,-97.0
141.6922,-100.0,,
141.7479,,,-87.0
142.1067,-101.0,,
143.58,,,-87.0
143.7973,,,-86.0
144.007,,,-89.0
145.5964,-100.0,,
145.6562,,,-86.0
145.7786,-100.0,,
145.8575,,,-90.0
146.0641,,,-86.0
