AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02
0.0751,,-77.0
0.2465,,-81.0
0.479,,-87.0
0.6056,-97.0,
0.6754,,-88.0
0.8726,,-78.0
1.2119,-94.0,
1.4745,,-82.0
1.6071,-99.0,
1.6713,,-83.0
1.8569,-99.0,
1.8863,,-87.0
2.0232,-98.0,
2.1078,,-82.0
2.3035,,-81.0
2.4249,-97.0,
3.7404,,-80.0
4.0695,-95.0,
4.1484,,-79.0
4.26,-96.0,
5.5806,,-82.0
5.8099,,-86.0
6.0057,,-78.0
6.0961,-98.0,
6.1914,,-94.0
7.6318,,-86.0
7.8383,,-77.0
8.2455,,-93.0
8.367,-104.0,
8.4549,,-88.0
9.4786,,-90.0
9.6018,-99.0,
9.6932,,-81.0
10.1034,,-87.0
10.3094,,-83.0
11.7291,,-86.0
11.9327,,-80.0
12.0415,-99.0,
12.14,,-76.0
13.5899,,-87.0
13.7774,,-78.0
13.9828,,-81.0
14.1776,,-87.0
15.648,,-84.0
15.7354,-98.0,
15.8041,,-85.0
16.0032,,-86.0
16.2323,,-90.0
17.8339,,-85.0
18.0456,,-90.0
19.6849,,-87.0
19.8431,-97.0,
19.8892,,-91.0
20.0903,,-78.0
21.7262,,-77.0
21.9084,-94.0,
21.9535,,-81.0
22.1462,,-92.0
23.5975,,-82.0
23.7898,,-101.0
23.9878,,-83.0
25.4284,,-88.0
25.6396,,-89.0
25.833,,-93.0
26.03,,-87.0
26.2394,,-80.0
27.8847,,-81.0
28.0866,,-81.0
28.2173,-100.0,
28.2899,,-81.0
29.6546,-102.0,
29.7107,,-79.0
29.9216,,-85.0
30.0739,-94.0,
30.1162,,-79.0
31.7676,,-87.0
31.9206,-97.0,
31.9714,,-79.0
32.1178,-96.0,
32.1839,,-79.0
33.5545,-95.0,
33.6148,,-79.0
33.8091,,-84.0
34.0067,,-83.0
34.1641,-95.0,
35.6285,-98.0,
35.8686,,-87.0
36.0023,-98.0,
36.0505,,-85.0
36.2802,,-90.0
37.6317,-98.0,
37.694,,-86.0
37.9013,,-83.0
38.0444,-94.0,
38.1219,,-92.0
38.3442,,-76.0
39.7699,,-78.0
40.0874,-99.0,
40.1769,,-77.0
40.328,-101.0,
40.3755,,-82.0
40.7875,,-83.0
40.9854,,-95.0
41.1994,,-76.0
41.305,-101.0,
41.4183,,-98.0
41.6049,,-77.0
41.817,,-83.0
41.9172,-97.0,
42.0161,,-101.0
42.2132,,-83.0
43.6803,,-82.0
43.8611,,-91.0
44.0766,,-90.0
44.3649,-96.0,
44.7045,,-82.0
44.7739,-96.0,
44.8948,,-90.0
45.1213,,-81.0
45.2976,,-93.0
45.6056,-101.0,
45.7013,,-82.0
45.7953,-94.0,
45.9034,,-82.0
46.1129,,-82.0
46.202,-96.0,
46.3252,,-90.0
47.6459,-96.0,
47.7351,,-89.0
47.9593,,-84.0
48.0476,-100.0,
48.1374,,-89.0
48.2827,-95.0,
49.5947,,-90.0
49.6873,-94.0,
49.7838,,-80.0
50.0037,,-81.0
50.1974,,-77.0
51.633,,-96.0
52.0321,,-94.0
52.2468,,-82.0
52.848,,-82.0
53.8882,,-91.0
53.9872,-95.0,
54.0803,,-84.0
54.2834,,-85.0
55.7262,,-80.0
55.8118,-95.0,
55.9264,,-93.0
56.0096,-102.0,
56.1532,,-79.0
56.3449,,-92.0
57.563,,-82.0
57.6626,-99.0,
57.7775,,-88.0
57.8882,-94.0,
58.0591,-99.0,
58.1848,,-85.0
58.2663,-93.0,
58.6832,-96.0,
59.6487,,-83.0
59.6936,-97.0,
59.8276,,-78.0
60.0184,,-81.0
60.1198,-99.0,
60.2361,,-86.0
60.4339,,-81.0
61.451,,-81.0
61.6523,,-89.0
61.7465,-97.0,
61.8633,,-84.0
62.0602,,-90.0
62.1562,-96.0,
62.2665,,-84.0
63.7229,,-84.0
63.9231,,-86.0
64.3561,,-85.0
64.4237,-95.0,
64.5387,,-89.0
64.7709,,-85.0
64.8273,-101.0,
64.9728,,-94.0
65.1873,,-75.0
65.2309,-98.0,
65.3716,,-79.0
65.5997,,-87.0
65.6414,-95.0,
65.7744,,-83.0
65.8512,-98.0,
65.973,,-86.0
66.0541,-96.0,
66.1767,,-86.0
66.3814,,-85.0
66.7949,,-81.0
67.6951,-100.0,
67.835,,-92.0
67.8964,-96.0,
68.1087,-98.0,
68.2371,,-91.0
68.3109,-97.0,
68.5084,-95.0,
68.6433,,-97.0
68.719,-94.0,
68.9344,-94.0,
69.0545,,-87.0
69.1276,-92.0,
69.4871,,-95.0
69.6653,,-99.0
69.7437,-92.0,
69.9024,,-83.0
69.9599,-94.0,
70.159,-93.0,
70.2914,,-86.0
70.3656,-96.0,
71.7307,,-97.0
71.9897,-98.0,
72.1295,,-91.0
72.1965,-92.0,
73.5566,,-97.0
73.6192,-88.0,
73.7839,,-90.0
73.8295,-87.0,
73.9875,,-86.0
74.1711,,-97.0
75.6236,,-90.0
75.6897,-86.0,
75.8826,-87.0,
76.0259,,-99.0
76.0925,-92.0,
77.7409,-89.0,
77.9744,-83.0,
78.0707,,-94.0
78.1509,-86.0,
79.1034,,-96.0
79.7104,,-96.0
79.977,-84.0,
80.1085,,-97.0
80.1775,-98.0,
81.0144,-90.0,
81.5433,,-98.0
81.8253,-90.0,
83.6521,-90.0,
83.8082,,-95.0
83.8637,-92.0,
84.0193,,-97.0
84.0647,-95.0,
85.645,,-94.0
85.7165,-96.0,
85.8723,,-95.0
85.9288,-98.0,
86.1276,-82.0,
87.5746,-92.0,
87.799,-86.0,
87.896,,-94.0
87.9802,-88.0,
89.6404,-93.0,
89.9542,,-91.0
90.1658,,-98.0
91.4641,-95.0,
91.5883,,-89.0
91.6669,-95.0,
92.1023,-90.0,
93.56,-94.0,
93.616,,-94.0
93.732,-88.0,
93.8471,,-93.0
93.964,-85.0,
95.6075,-91.0,
95.9852,-87.0,
96.0836,,-97.0
96.2093,-87.0,
97.6126,-86.0,
97.814,-87.0,
97.9358,,-94.0
98.0182,-87.0,
98.1251,,-97.0
98.7433,,-92.0
99.5687,,-96.0
99.6481,-98.0,
99.7664,,-92.0
100.0452,-92.0,
101.611,,-90.0
101.7024,-99.0,
101.8299,,-96.0
101.8869,-92.0,
102.0086,,-89.0
102.0869,-95.0,
103.6499,,-90.0
103.7208,-93.0,
103.8935,,-95.0
103.9224,-95.0,
104.0558,,-96.0
105.2712,,-95.0
105.5698,-98.0,
105.6877,,-87.0
105.7665,-94.0,
105.9697,-102.0,
106.1194,,-86.0
106.1889,-92.0,
107.0066,-89.0,
107.6172,-94.0,
107.7414,,-88.0
107.816,-89.0,
107.9473,,-86.0
108.142,,-87.0
109.5663,,-89.0
109.6647,-92.0,
109.9941,,-88.0
110.0697,-94.0,
110.1926,,-88.0
111.6425,,-88.0
111.7175,-88.0,
111.8214,,-88.0
111.928,-100.0,
112.0194,,-88.0
112.1563,-88.0,
113.3725,-91.0,
113.4564,,-90.0
113.5849,-90.0,
