AppTimestamp(s),Latitude_degrees,Longitude_degrees
61.5,49.46132723,11.11158137
68.0455,49.46131767,11.11151533
74.1356,49.46130547,11.11145118
83.4434,49.46128262,11.11135671
88.6673,49.46131622,11.1113369
94.3492,49.46133008,11.11139407
100.0291,49.46129647,11.11141369
130.8787,49.46129647,11.11141369
136.3917,49.46133008,11.11139407
141.9021,49.46131622,11.1113369
147.3958,49.46128262,11.11135671
156.076,49.46130547,11.11145118
161.2948,49.46131767,11.11151533
166.9575,49.46132723,11.11158137
