AppTimestamp(s),MAC,Frequency,RSSI
0.419,20:23:00:00:00:12,2417,-74
0.419,20:23:00:00:00:01,2437,-82
0.419,20:23:00:00:00:79,5220,-85
0.419,20:23:00:00:00:82,2462,-86
0.419,20:23:00:00:00:73,2437,-86
0.419,20:23:00:00:00:65,2437,-86
4.3019,20:23:00:00:00:01,2437,-79
4.3019,20:23:00:00:00:44,2462,-87
4.3019,20:23:00:00:00:15,2452,-88
4.3019,20:23:00:00:00:55,2427,-89
4.3019,20:23:00:00:00:92,2412,-89
4.3019,20:23:00:00:00:79,5220,-90
6.384,20:23:00:00:00:12,2417,-73
6.384,20:23:00:00:00:01,2437,-85
6.384,20:23:00:00:00:65,2437,-85
6.384,20:23:00:00:00:79,5220,-87
6.384,20:23:00:00:00:44,2462,-87
6.384,20:23:00:00:00:82,2462,-88
8.5737,20:23:00:00:00:12,2417,-78
8.5737,20:23:00:00:00:80,5220,-85
8.5737,20:23:00:00:00:01,2437,-86
8.5737,20:23:00:00:00:82,2462,-87
8.5737,20:23:00:00:00:94,2457,-89
8.5737,20:23:00:00:01:04,5520,-90
12.2733,20:23:00:00:00:12,2417,-71
12.2733,20:23:00:00:00:01,2437,-83
12.2733,20:23:00:00:00:09,5200,-86
12.2733,20:23:00:00:00:15,2452,-87
12.2733,20:23:00:00:00:96,2437,-87
12.2733,20:23:00:00:00:65,2437,-89
14.2279,20:23:00:00:00:12,2417,-75
14.2279,20:23:00:00:00:15,2452,-80
14.2279,20:23:00:00:00:01,2437,-86
14.2279,20:23:00:00:00:79,5220,-90
14.2279,20:23:00:00:01:01,2462,-90
14.2279,20:23:00:00:00:73,2437,-91
16.3735,20:23:00:00:00:12,2417,-76
16.3735,20:23:00:00:00:73,2437,-87
16.3735,20:23:00:00:00:91,2462,-87
16.3735,20:23:00:00:01:03,5520,-87
16.3735,20:23:00:00:00:25,2412,-88
16.3735,20:23:00:00:01:04,5520,-88
18.2967,20:23:00:00:00:12,2417,-70
18.2967,20:23:00:00:00:01,2437,-83
18.2967,20:23:00:00:00:79,5220,-85
18.2967,20:23:00:00:00:80,5220,-86
18.2967,20:23:00:00:00:73,2437,-87
18.2967,20:23:00:00:00:91,2462,-87
20.2366,20:23:00:00:00:12,2417,-72
20.2366,20:23:00:00:00:80,5220,-86
20.2366,20:23:00:00:00:01,2437,-86
20.2366,20:23:00:00:00:79,5220,-87
20.2366,20:23:00:00:00:82,2462,-87
20.2366,20:23:00:00:00:73,2437,-89
22.2339,20:23:00:00:00:12,2417,-74
22.2339,20:23:00:00:00:01,2437,-80
22.2339,20:23:00:00:00:44,2462,-87
22.2339,20:23:00:00:00:15,2452,-88
22.2339,20:23:00:00:00:73,2437,-88
22.2339,20:23:00:00:00:91,2462,-88
24.3758,20:23:00:00:00:12,2417,-69
24.3758,20:23:00:00:00:15,2452,-85
24.3758,20:23:00:00:00:55,2427,-86
24.3758,20:23:00:00:00:65,2437,-86
24.3758,20:23:00:00:00:01,2437,-87
24.3758,20:23:00:00:00:82,2462,-87
26.3199,20:23:00:00:00:12,2417,-76
26.3199,20:23:00:00:00:01,2437,-84
26.3199,20:23:00:00:00:25,2412,-87
26.3199,20:23:00:00:00:09,5200,-87
