AppTimestamp(s),Latitude_degrees,Longitude_degrees
61.8307,49.46123591,11.11104875
69.1382,49.46123038,11.1111258
76.9615,49.46125066,11.11120704
85.0678,49.46130192,11.1111769
91.8027,49.46131291,11.11122416
100.401,49.46125688,11.1112567
109.0019,49.46130941,11.11130895
112.4824,49.46131622,11.1113369
151.1599,49.46131622,11.1113369
154.411,49.46130941,11.11130895
161.241,49.46125688,11.1112567
169.0011,49.46131291,11.11122416
174.905,49.46130192,11.1111769
182.7481,49.46125066,11.11120704
190.3414,49.46123038,11.1111258
196.9504,49.46123591,11.11104875
