AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:03:11
0.6055,,,-60.0,,,-70.0,,,-47.0,-51.0,-64.0,-69.0,,,,,,2417.0,,,2462.0,,,2437.0,2422.0,2437.0,2462.0,,,
4.3895,,,-64.0,-67.0,,,,,-50.0,-51.0,-66.0,-71.0,,,,,,2417.0,2452.0,,,,,2437.0,2422.0,2437.0,2462.0,,,
8.3746,,,-64.0,,,-70.0,,,-52.0,-47.0,-62.0,-69.0,,,,,,2417.0,,,2462.0,,,2437.0,2422.0,2437.0,2462.0,,,
12.3894,,,-63.0,,,-70.0,,,-56.0,-47.0,-70.0,-70.0,,,,,,2417.0,,,2462.0,,,2437.0,2422.0,2437.0,2462.0,,,
16.3588,,,-66.0,,,-71.0,,,-54.0,-45.0,-72.0,-72.0,,,,,,2417.0,,,2462.0,,,2437.0,2422.0,2437.0,2462.0,,,
20.3844,,,-66.0,-74.0,,-73.0,,,-47.0,-45.0,,,-70.0,,,,,2417.0,2452.0,,2462.0,,,2437.0,2422.0,,,2462.0,,
24.3597,,,-61.0,-74.0,,,,,-48.0,-48.0,-70.0,,,-70.0,,,,2417.0,2452.0,,,,,2437.0,2422.0,2437.0,,,2437.0,
28.3689,,,-61.0,,,,,-72.0,-50.0,-49.0,-62.0,,,-73.0,,,,2417.0,,,,,2427.0,2437.0,2422.0,2437.0,,,2437.0,
32.3799,,,,,,,,,-48.0,-49.0,-67.0,-75.0,-72.0,-73.0,,,,,,,,,,2437.0,2422.0,2437.0,2462.0,2462.0,2437.0,
36.3731,-75.0,,-65.0,,,,,,-53.0,-47.0,-66.0,,,-71.0,,2437.0,,2417.0,,,,,,2437.0,2422.0,2437.0,,,2437.0,
40.3626,,,-61.0,,,-74.0,,,-50.0,-44.0,-67.0,,,-67.0,,,,2417.0,,,2462.0,,,2437.0,2422.0,2437.0,,,2437.0,
44.3626,,,-60.0,,,-72.0,,,-47.0,-52.0,,-72.0,,-70.0,,,,2417.0,,,2462.0,,,2437.0,2422.0,,2462.0,,2437.0,
48.3865,,,-62.0,-70.0,,,,-72.0,-48.0,-48.0,,,,-68.0,,,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,,,,2437.0,
52.3779,,,-64.0,,,-70.0,,,-48.0,-50.0,-69.0,-71.0,,,,,,2417.0,,,2462.0,,,2437.0,2422.0,2437.0,2462.0,,,
56.3592,,,-64.0,-73.0,,,,,-48.0,-50.0,-67.0,-68.0,,,,,,2417.0,2452.0,,,,,2437.0,2422.0,2437.0,2462.0,,,
60.3749,,,,,,-73.0,,-69.0,-45.0,-52.0,-67.0,-72.0,,,,,,,,,2462.0,,2427.0,2437.0,2422.0,2437.0,2462.0,,,
64.3827,,,-67.0,,,-69.0,,,-50.0,-52.0,-64.0,-68.0,,,,,,2417.0,,,2462.0,,,2437.0,2422.0,2437.0,2462.0,,,
68.3631,,,-66.0,,,-65.0,,,-50.0,-55.0,-60.0,-66.0,,,,,,2417.0,,,2462.0,,,2437.0,2422.0,2437.0,2462.0,,,
72.3728,,,-64.0,-73.0,,,,,-54.0,-59.0,-69.0,-72.0,,,,,,2417.0,2452.0,,,,,2437.0,2422.0,2437.0,2462.0,,,
76.3668,,,-56.0,-62.0,,-66.0,,,,-60.0,-53.0,,,-65.0,,,,2417.0,2452.0,,2462.0,,,,2422.0,2437.0,,,2437.0,
80.3844,,,-53.0,-62.0,,-66.0,,,,-62.0,-51.0,,,-64.0,,,,2417.0,2452.0,,2462.0,,,,2422.0,2437.0,,,2437.0,
84.3654,,,-57.0,-58.0,,-62.0,,-59.0,,,-47.0,,,-62.0,,,,2417.0,2452.0,,2462.0,,2427.0,,,2437.0,,,2437.0,
88.3764,,,-57.0,-58.0,,-59.0,-60.0,-55.0,,,-48.0,,,,,,,2417.0,2452.0,,2462.0,2412.0,2427.0,,,2437.0,,,,
92.4014,,,-61.0,,,-57.0,-61.0,-57.0,,,-48.0,-58.0,,,,,,2417.0,,,2462.0,2412.0,2427.0,,,2437.0,2462.0,,,
96.3757,,,-56.0,-56.0,,-62.0,-62.0,-63.0,,,-52.0,,,,,,,2417.0,2452.0,,2462.0,2412.0,2427.0,,,2437.0,,,,
100.3752,-69.0,,,,,-72.0,-69.0,-67.0,-72.0,,-55.0,,,,,2437.0,,,,,2462.0,2412.0,2427.0,2437.0,,2437.0,,,,
104.3613,-73.0,,,-79.0,-75.0,,,-75.0,-80.0,,-60.0,,,,,2437.0,,,2452.0,2457.0,,,2427.0,2437.0,,2437.0,,,,
108.4198,-65.0,-72.0,,,-69.0,-76.0,,-76.0,,,-65.0,,,,,2437.0,5200.0,,,2457.0,2462.0,,2427.0,,,2437.0,,,,
112.3631,-59.0,,,,-67.0,-72.0,,-70.0,,,-61.0,,,,-69.0,2437.0,,,,2457.0,2462.0,,2427.0,,,2437.0,,,,2462.0
116.3556,-51.0,,,,,-72.0,,-74.0,,,-65.0,-74.0,,,-73.0,2437.0,,,,,2462.0,,2427.0,,,2437.0,2462.0,,,2462.0
120.3427,-52.0,,,-71.0,,-72.0,,,,,-63.0,-72.0,,,-69.0,2437.0,,,2452.0,,2462.0,,,,,2437.0,2462.0,,,2462.0
124.3588,-52.0,-72.0,,,,-72.0,,-70.0,,,-63.0,,,,-69.0,2437.0,5200.0,,,,2462.0,,2427.0,,,2437.0,,,,2462.0
128.3786,-54.0,-71.0,,,,-73.0,,-70.0,,,-63.0,,,,-71.0,2437.0,5200.0,,,,2462.0,,2427.0,,,2437.0,,,,2462.0
132.3896,-53.0,-70.0,,-73.0,-76.0,,,,,,-62.0,,,,-71.0,2437.0,5200.0,,2452.0,2457.0,,,,,,2437.0,,,,2462.0
136.3515,-52.0,-70.0,,,,,,-73.0,,,-62.0,-74.0,,,-71.0,2437.0,5200.0,,,,,,2427.0,,,2437.0,2462.0,,,2462.0
140.3754,-55.0,-70.0,,-76.0,,-75.0,,,,,-62.0,,,,-71.0,2437.0,5200.0,,2452.0,,2462.0,,,,,2437.0,,,,2462.0
144.3504,-59.0,-68.0,,-69.0,,-68.0,,,,,-62.0,-69.0,,,,2437.0,5200.0,,2452.0,,2462.0,,,,,2437.0,2462.0,,,
148.3792,-59.0,-72.0,,-70.0,,-72.0,,-69.0,,,-63.0,,,,,2437.0,5200.0,,2452.0,,2462.0,,2427.0,,,2437.0,,,,
