AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:04,wifi_rssi_20:23:00:00:00:05,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:08,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:10,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:13,wifi_rssi_20:23:00:00:00:14,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:16,wifi_rssi_20:23:00:00:00:17,wifi_rssi_20:23:00:00:00:18,wifi_rssi_20:23:00:00:00:19,wifi_rssi_20:23:00:00:00:21,wifi_rssi_20:23:00:00:00:22,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:31,wifi_rssi_20:23:00:00:00:34,wifi_rssi_20:23:00:00:00:35,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:48,wifi_rssi_20:23:00:00:00:51,wifi_rssi_20:23:00:00:00:52,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:57,wifi_rssi_20:23:00:00:00:61,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:68,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:71,wifi_rssi_20:23:00:00:00:72,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:84,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:02:35,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:15,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:04,wifi_freq_20:23:00:00:00:05,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:08,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:10,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:13,wifi_freq_20:23:00:00:00:14,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:16,wifi_freq_20:23:00:00:00:17,wifi_freq_20:23:00:00:00:18,wifi_freq_20:23:00:00:00:19,wifi_freq_20:23:00:00:00:21,wifi_freq_20:23:00:00:00:22,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:31,wifi_freq_20:23:00:00:00:34,wifi_freq_20:23:00:00:00:35,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:48,wifi_freq_20:23:00:00:00:51,wifi_freq_20:23:00:00:00:52,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:57,wifi_freq_20:23:00:00:00:61,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:68,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:71,wifi_freq_20:23:00:00:00:72,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:84,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:02:35,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:15,wifi_freq_20:23:00:00:03:25
0.9098,-52.0,-87.0,-88.0,-84.0,-84.0,,,,-66.0,,-81.0,-86.0,,-61.0,,-91.0,,,,,,-77.0,,,-88.0,,,,,-84.0,-61.0,-60.0,,,,,-61.0,,,-83.0,,,,,-73.0,-70.0,-70.0,-63.0,,-88.0,-84.0,-88.0,,,,,,2437.0,2437.0,5200.0,5500.0,5500.0,,,,5200.0,,2417.0,5500.0,,2452.0,,5500.0,,,,,,2412.0,,,2412.0,,,,,2457.0,2462.0,2412.0,,,,,2427.0,,,2437.0,,,,,2437.0,5220.0,5220.0,2462.0,,2462.0,2452.0,2437.0,,,,,
4.921,-53.0,,,,-88.0,,,,-62.0,,-80.0,-90.0,-86.0,-60.0,,,,,-87.0,-90.0,,,-86.0,,,-90.0,,,,-84.0,-69.0,-64.0,,,,,-64.0,,,-83.0,,,,,-72.0,-74.0,-74.0,-63.0,,-83.0,-88.0,-88.0,,,,,,2437.0,,,,5500.0,,,,5200.0,,2417.0,5500.0,5500.0,2452.0,,,,,5500.0,5500.0,,,2412.0,,,2412.0,,,,2457.0,2462.0,2412.0,,,,,2427.0,,,2437.0,,,,,2437.0,5220.0,5220.0,2462.0,,2462.0,2452.0,2437.0,,,,,
8.8345,-52.0,-83.0,,-83.0,,-87.0,,,-64.0,,-79.0,,-84.0,-54.0,,-85.0,,-89.0,-85.0,-90.0,,-79.0,,,,,,,,-84.0,-65.0,-71.0,-85.0,,,,-64.0,,,,,-86.0,,,-72.0,-75.0,-74.0,-66.0,,-79.0,,-88.0,,,,,-90.0,2437.0,2437.0,,5500.0,,2462.0,,,5200.0,,2417.0,,5500.0,2452.0,,5500.0,,5260.0,5500.0,5500.0,,2412.0,,,,,,,,2457.0,2462.0,2412.0,2462.0,,,,2427.0,,,,,2422.0,,,2437.0,5220.0,5220.0,2462.0,,2462.0,,2437.0,,,,,2437.0
12.8587,-50.0,-79.0,,-90.0,-92.0,,,,-62.0,,,-84.0,-85.0,-62.0,-85.0,-85.0,,,-85.0,-87.0,,,,-83.0,,,,,,-80.0,-65.0,-61.0,,,,,-64.0,,,,,,,,-73.0,-67.0,-68.0,-69.0,,,,,,,,,,2437.0,2437.0,,5500.0,5500.0,,,,5200.0,,,5500.0,5500.0,2452.0,5500.0,5500.0,,,5500.0,5500.0,,,,2412.0,,,,,,2457.0,2462.0,2412.0,,,,,2427.0,,,,,,,,2437.0,5220.0,5220.0,2462.0,,,,,,,,,
16.8669,-51.0,-78.0,-88.0,-86.0,-88.0,,,,-58.0,,,,,-67.0,,,,-88.0,,,,-80.0,-83.0,-83.0,-85.0,,,,,-85.0,-64.0,-65.0,-82.0,,,,-68.0,,,-89.0,,-88.0,,,-73.0,-68.0,-69.0,-65.0,,-78.0,,,,,,,,2437.0,2437.0,5200.0,5500.0,5500.0,,,,5200.0,,,,,2452.0,,,,5260.0,,,,2412.0,2412.0,2412.0,2412.0,,,,,2457.0,2462.0,2412.0,2462.0,,,,2427.0,,,2437.0,,2422.0,,,2437.0,5220.0,5220.0,2462.0,,2462.0,,,,,,,
20.8699,-55.0,,,-86.0,,,,,-60.0,,,,,-60.0,,,,,,,,-78.0,-84.0,-83.0,,-88.0,,,,,-61.0,-65.0,,,,,-64.0,,,-84.0,,-87.0,,,-76.0,-71.0,-71.0,-62.0,,-79.0,,-88.0,,,,,,2437.0,,,5500.0,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,2412.0,2412.0,,2412.0,,,,,2462.0,2412.0,,,,,2427.0,,,2437.0,,2422.0,,,2437.0,5220.0,5220.0,2462.0,,2462.0,,2437.0,,,,,
24.8747,-51.0,-83.0,,,-86.0,,,,,,,,,-69.0,,,,,,,-83.0,-75.0,,,,-88.0,,,,-84.0,-61.0,-65.0,,,,,-67.0,,,,,-84.0,,,-76.0,-71.0,-71.0,-61.0,,,,,,,,,,2437.0,2437.0,,,5500.0,,,,,,,,,2452.0,,,,,,,2462.0,2412.0,,,,2412.0,,,,2457.0,2462.0,2412.0,,,,,2427.0,,,,,2422.0,,,2437.0,5220.0,5220.0,2462.0,,,,,,,,,
28.8489,-52.0,,,,-90.0,,,,-64.0,,-83.0,,,-58.0,-91.0,,,-90.0,-92.0,-92.0,-78.0,,,,,,,,,-80.0,-66.0,-70.0,-82.0,,,,-72.0,,,,,-84.0,,,-75.0,-68.0,-69.0,-65.0,,,-81.0,,,,,,,2437.0,,,,5500.0,,,,5200.0,,2417.0,,,2452.0,5500.0,,,5260.0,5500.0,5500.0,2462.0,,,,,,,,,2457.0,2462.0,2412.0,2462.0,,,,2427.0,,,,,2422.0,,,2437.0,5220.0,5220.0,2462.0,,,2452.0,,,,,,
32.8318,-52.0,-75.0,-91.0,-86.0,,-83.0,,,-65.0,,,,,-63.0,,,,-92.0,,,,-83.0,,,,,,,,-77.0,-68.0,-63.0,,,,,-67.0,,,,,,,,-75.0,-70.0,-70.0,-68.0,,-83.0,,,,,,,,2437.0,2437.0,5200.0,5500.0,,2462.0,,,5200.0,,,,,2452.0,,,,5260.0,,,,2412.0,,,,,,,,2457.0,2462.0,2412.0,,,,,2427.0,,,,,,,,2437.0,5220.0,5220.0,2462.0,,2462.0,,,,,,,
36.8603,-52.0,-75.0,,-85.0,-85.0,,,,-61.0,,,,,-64.0,,,,,,,,,,-81.0,,,,,,-80.0,-68.0,-63.0,,,,,-67.0,,,,,,,,-75.0,-67.0,-67.0,-68.0,,,,,,,,,,2437.0,2437.0,,5500.0,5500.0,,,,5200.0,,,,,2452.0,,,,,,,,,,2412.0,,,,,,2457.0,2462.0,2412.0,,,,,2427.0,,,,,,,,2437.0,5220.0,5220.0,2462.0,,,,,,,,,
40.8398,-51.0,-76.0,,-85.0,-84.0,-83.0,,,,,-74.0,,,-67.0,,,,,,,,,-81.0,,-82.0,-90.0,,,,-80.0,-61.0,-63.0,,,,,-67.0,,,,,,,,-78.0,-67.0,-67.0,-64.0,,-81.0,-88.0,,,,,,,2437.0,2437.0,,5500.0,5500.0,2462.0,,,,,2417.0,,,2452.0,,,,,,,,,2412.0,,2412.0,2412.0,,,,2457.0,2462.0,2412.0,,,,,2427.0,,,,,,,,2437.0,5220.0,5220.0,2462.0,,2462.0,2452.0,,,,,,
44.8616,-52.0,-76.0,,-85.0,-84.0,-83.0,,,-63.0,,-80.0,,,-63.0,,,,,,,,-76.0,,,,,,,,-80.0,-64.0,-63.0,,,,,-65.0,,,-83.0,,,,,-78.0,-67.0,-68.0,-65.0,,-81.0,-86.0,,,,,,,2437.0,2437.0,,5500.0,5500.0,2462.0,,,5200.0,,2417.0,,,2452.0,,,,,,,,2412.0,,,,,,,,2457.0,2462.0,2412.0,,,,,2427.0,,,2437.0,,,,,2437.0,5220.0,5220.0,2462.0,,2462.0,2452.0,,,,,,
48.8868,-52.0,-76.0,,,,-85.0,,,-59.0,,,,,-72.0,,,,-92.0,,,,,,,,-89.0,,,,-82.0,-68.0,-64.0,-81.0,,-88.0,,-63.0,,,,,,,,-76.0,-67.0,-68.0,-67.0,,,,,,,,,,2437.0,2437.0,,,,2462.0,,,5200.0,,,,,2452.0,,,,5260.0,,,,,,,,2412.0,,,,2457.0,2462.0,2412.0,2462.0,,2412.0,,2427.0,,,,,,,,2437.0,5220.0,5220.0,2462.0,,,,,,,,,
52.8683,-55.0,-76.0,,-86.0,-85.0,-84.0,,,-61.0,,,,,-72.0,,,,,,,,-71.0,,,,,,,,,-67.0,-64.0,,,-90.0,,-61.0,-87.0,,,,-89.0,,,-76.0,-65.0,-65.0,-67.0,,-80.0,,-88.0,,,,,,2437.0,2437.0,,5500.0,5500.0,2462.0,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,,,,,,2462.0,2412.0,,,2412.0,,2427.0,2412.0,,,,2422.0,,,2437.0,5220.0,5220.0,2462.0,,2462.0,,2437.0,,,,,
56.8396,-52.0,,,-89.0,-86.0,-84.0,,,-60.0,,-83.0,,,-69.0,,,,,,,-85.0,-71.0,,,,,,,,,-68.0,-64.0,,,-89.0,,-61.0,,,,,,,,-74.0,-67.0,-67.0,-67.0,,-81.0,,,,,,,,2437.0,,,5500.0,5500.0,2462.0,,,5200.0,,2417.0,,,2452.0,,,,,,,2462.0,2412.0,,,,,,,,,2462.0,2412.0,,,2412.0,,2427.0,,,,,,,,2437.0,5220.0,5220.0,2462.0,,2462.0,,,,,,,
60.842,-53.0,-79.0,,-85.0,-85.0,-84.0,,,-60.0,,-83.0,,,-61.0,,,,,,,,-77.0,,,,,,,,-83.0,-67.0,-65.0,-82.0,,,,-64.0,-90.0,,-87.0,,-91.0,,,-75.0,-66.0,-66.0,-67.0,,-82.0,,,,,,,,2437.0,2437.0,,5500.0,5500.0,2462.0,,,5200.0,,2417.0,,,2452.0,,,,,,,,2412.0,,,,,,,,2457.0,2462.0,2412.0,2462.0,,,,2427.0,2412.0,,2437.0,,2422.0,,,2437.0,5220.0,5220.0,2462.0,,2462.0,,,,,,,
64.8309,-60.0,-78.0,,,-86.0,-81.0,-80.0,,-60.0,,-76.0,,,-65.0,,,,-89.0,,,,-77.0,,,,,,,,-87.0,-68.0,-68.0,,,,,-65.0,,,,,,,,-71.0,-74.0,-74.0,-68.0,,-82.0,,-83.0,,,-88.0,,,2437.0,2437.0,,,5500.0,2462.0,2462.0,,5200.0,,2417.0,,,2452.0,,,,5260.0,,,,2412.0,,,,,,,,2457.0,2462.0,2412.0,,,,,2427.0,,,,,,,,2437.0,5220.0,5220.0,2462.0,,2462.0,,2437.0,,,2462.0,,
68.8769,-58.0,-81.0,,,-89.0,,,,-68.0,,-80.0,-86.0,,-69.0,,,,-92.0,,,-72.0,-73.0,,,,,,,,,-72.0,-71.0,-87.0,,,,-70.0,,,-91.0,,-86.0,,,-75.0,-74.0,-74.0,-76.0,,,,,,,,,,2437.0,2437.0,,,5500.0,,,,5200.0,,2417.0,5500.0,,2452.0,,,,5260.0,,,2462.0,2412.0,,,,,,,,,2462.0,2412.0,2462.0,,,,2427.0,,,2437.0,,2422.0,,,2437.0,5220.0,5220.0,2462.0,,,,,,,,,
72.866,-63.0,,,,,,-79.0,,-71.0,,-79.0,,,-73.0,,,,,,,-78.0,-71.0,-74.0,-75.0,-75.0,-88.0,,,,,,-75.0,,,,,-75.0,,-90.0,-87.0,,-85.0,-90.0,,-84.0,-81.0,-80.0,-72.0,-92.0,-91.0,,,,,,,,2437.0,,,,,,2462.0,,5200.0,,2417.0,,,2452.0,,,,,,,2462.0,2412.0,2412.0,2412.0,2412.0,2412.0,,,,,,2412.0,,,,,2427.0,,2412.0,2437.0,,2422.0,2462.0,,2437.0,5220.0,5220.0,2462.0,2462.0,2462.0,,,,,,,
76.8843,-62.0,,,,,,-83.0,,-71.0,,-73.0,,,-72.0,,,,,,,-75.0,-71.0,-81.0,-80.0,-81.0,,,,,,-78.0,-80.0,,,,,-75.0,,,,,-86.0,,,-84.0,-85.0,-84.0,-78.0,,,,,,,,,,2437.0,,,,,,2462.0,,5200.0,,2417.0,,,2452.0,,,,,,,2462.0,2412.0,2412.0,2412.0,2412.0,,,,,,2462.0,2412.0,,,,,2427.0,,,,,2422.0,,,2437.0,5220.0,5220.0,2462.0,,,,,,,,,
80.8473,-67.0,,,,,,,,-76.0,,-75.0,-84.0,-86.0,-73.0,-85.0,-84.0,-90.0,-86.0,-85.0,-85.0,-76.0,-70.0,-75.0,-76.0,-73.0,-88.0,,,,,,-79.0,,,,,-73.0,,,-86.0,,-86.0,,,,-83.0,-82.0,-75.0,-86.0,,,,,-84.0,-82.0,,,2437.0,,,,,,,,5200.0,,2417.0,5500.0,5500.0,2452.0,5500.0,5500.0,2412.0,5260.0,5500.0,5500.0,2462.0,2412.0,2412.0,2412.0,2412.0,2412.0,,,,,,2412.0,,,,,2427.0,,,2437.0,,2422.0,,,,5220.0,5220.0,2462.0,2462.0,,,,,2462.0,2462.0,,
84.8388,-66.0,,-91.0,,,,-85.0,-88.0,-77.0,,-77.0,,,-70.0,,,,-89.0,,,-77.0,-69.0,,,,-83.0,,,,,-71.0,,,,-87.0,,-76.0,,,-82.0,,-90.0,,,-86.0,-80.0,-81.0,-75.0,,,,,-92.0,,-85.0,,,2437.0,,5200.0,,,,2462.0,2437.0,5200.0,,2417.0,,,2452.0,,,,5260.0,,,2462.0,2412.0,,,,2412.0,,,,,2462.0,,,,2412.0,,2427.0,,,2437.0,,2422.0,,,2437.0,5220.0,5220.0,2462.0,,,,,2437.0,,2462.0,,
88.8461,-65.0,,,,-84.0,,,,-77.0,,,,,-73.0,,,,,,,-77.0,-79.0,-83.0,-89.0,-87.0,-87.0,,,,,,-83.0,,,,,-79.0,,,,,,,,-86.0,-84.0,-85.0,,,-87.0,,,,,-83.0,,,2437.0,,,,5500.0,,,,5200.0,,,,,2452.0,,,,,,,2462.0,2412.0,2412.0,2412.0,2412.0,2412.0,,,,,,2412.0,,,,,2427.0,,,,,,,,2437.0,5220.0,5220.0,,,2462.0,,,,,2462.0,,
92.8631,-66.0,-92.0,-81.0,,,,-80.0,,-76.0,,-79.0,,,-75.0,,,,,,,-79.0,-71.0,,,,-87.0,,-85.0,,,-76.0,,,,,,-79.0,,,,,-86.0,,,,-83.0,-84.0,-73.0,,,,,,,,,,2437.0,2437.0,5200.0,,,,2462.0,,5200.0,,2417.0,,,2452.0,,,,,,,2462.0,2412.0,,,,2412.0,,2432.0,,,2462.0,,,,,,2427.0,,,,,2422.0,,,,5220.0,5220.0,2462.0,,,,,,,,,
96.8378,-64.0,,,-85.0,,,-80.0,-92.0,-78.0,,-79.0,,-85.0,-75.0,,-86.0,,,-86.0,-86.0,-79.0,-77.0,-84.0,,,-90.0,,,-90.0,,-75.0,-75.0,,,,,-74.0,-86.0,,,,-83.0,,,,-83.0,-83.0,-70.0,,,,,,,-85.0,,,2437.0,,,5500.0,,,2462.0,2437.0,5200.0,,2417.0,,5500.0,2452.0,,5500.0,,,5500.0,5500.0,2462.0,2412.0,2412.0,,,2412.0,,,2412.0,,2462.0,2412.0,,,,,2427.0,2412.0,,,,2422.0,,,,5220.0,5220.0,2462.0,,,,,,,2462.0,,
100.8451,-64.0,-85.0,,,,-86.0,-80.0,,,,-71.0,,,-78.0,,,-88.0,-90.0,,,-82.0,,-83.0,-84.0,,-86.0,,,,,,,,,,,-79.0,-89.0,,-86.0,,-88.0,,,,-84.0,-84.0,-78.0,,,,,,,-77.0,,,2437.0,2437.0,,,,2462.0,2462.0,,,,2417.0,,,2452.0,,,2412.0,5260.0,,,2462.0,,2412.0,2412.0,,2412.0,,,,,,,,,,,2427.0,2412.0,,2437.0,,2422.0,,,,5220.0,5220.0,2462.0,,,,,,,2462.0,,
104.845,-72.0,-89.0,,,,-88.0,-88.0,,,,-71.0,,,-81.0,,,,,,,-78.0,-76.0,-89.0,,,-86.0,,,,,-80.0,-86.0,,,,,,,,,,-88.0,,,,,,,,,,,,,-84.0,,,2437.0,2437.0,,,,2462.0,2462.0,,,,2417.0,,,2452.0,,,,,,,2462.0,2412.0,2412.0,,,2412.0,,,,,2462.0,2412.0,,,,,,,,,,2422.0,,,,,,,,,,,,,2462.0,,
