AppTimestamp(s),Latitude_degrees,Longitude_degrees
61.0792,49.46123591,11.11104875
67.4017,49.46123038,11.1111258
73.9741,49.46125066,11.11120704
80.2788,49.46130192,11.1111769
85.9514,49.46131291,11.11122416
93.3274,49.46125688,11.1112567
100.6057,49.46130941,11.11130895
104.5829,49.46131622,11.1113369
137.2432,49.46131622,11.1113369
140.1271,49.46130941,11.11130895
147.4155,49.46125688,11.1112567
155.1384,49.46131291,11.11122416
160.6927,49.46130192,11.1111769
167.2771,49.46125066,11.11120704
174.0291,49.46123038,11.1111258
180.1583,49.46123591,11.11104875
