AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05
0.1073,-78.0,,,
0.1458,,,,-93.0
0.2793,-90.0,,,
0.5071,-90.0,,,
0.709,-76.0,,,
0.9413,-91.0,,,
1.1027,-87.0,,,
1.1693,,,,-88.0
1.3587,-85.0,,,
1.5271,-77.0,,,
2.9669,-78.0,,,
3.0162,,,,-90.0
3.1785,-85.0,,,
3.4393,,,,-95.0
5.0181,-88.0,,,
5.1333,,,-93.0,
5.4179,-79.0,,,
6.0136,-72.0,,,
6.4789,,,,-91.0
6.8424,-74.0,,,
7.2451,-73.0,,,
7.4459,-85.0,,,
7.5193,,,,-97.0
7.8637,-86.0,,,
7.9085,,,,-90.0
8.0607,-83.0,,,
8.2803,-79.0,,,
9.7127,-83.0,,,
10.3285,-75.0,,,
10.5287,-86.0,,,
10.5966,,,,-95.0
10.8103,,,,-94.0
10.9403,-86.0,,,
11.1504,-81.0,,,
11.781,-87.0,,,
11.9659,-75.0,,,
12.1685,-83.0,,,
13.4002,-85.0,,,
13.4559,,,,-94.0
15.0434,-91.0,,,
15.2518,-79.0,,,
15.6889,-90.0,,,
15.8657,-87.0,,,
15.9378,,,,-91.0
16.0784,-82.0,,,
16.2653,-82.0,,,
16.4738,-81.0,,,
16.6886,-76.0,,,
16.9208,-76.0,,,
17.331,,,,-95.0
18.1435,,,,-86.0
19.1422,-86.0,,,
19.161,,,,-88.0
19.3587,-82.0,,,
19.572,-80.0,,,
19.7774,-81.0,,,
19.9794,-73.0,,,
20.2077,-81.0,,,
20.6155,-83.0,,,
20.6251,,,,-96.0
20.8551,-82.0,,,
21.0083,-80.0,,,
21.4242,-84.0,,,
21.857,,,,-94.0
22.4609,-75.0,,,
22.648,-75.0,,,
22.7,,,-96.0,
22.855,-76.0,,,
23.0558,-79.0,,,
23.6842,-81.0,,,
23.6932,,,,-94.0
23.894,-83.0,,,
24.3177,-82.0,,,
24.4887,-75.0,,,
24.9521,-81.0,,,
25.0925,-78.0,,,
25.1196,,,,-93.0
26.3537,-78.0,,,
26.9714,-79.0,,,
27.1721,-90.0,,,
27.3674,-81.0,,,
27.7666,-88.0,,,
27.8335,,,-97.0,
27.9839,-74.0,,,
27.9892,,,,-89.0
28.1852,,,,-89.0
28.4267,-80.0,,,
28.4325,,,,-97.0
28.6063,-81.0,,,
28.8048,-79.0,,,
29.0129,-86.0,,,
29.213,-82.0,,,
29.2516,,,,-89.0
30.447,-89.0,,,
30.6801,-87.0,,,
30.8703,-85.0,,,
31.065,-80.0,,,
31.467,-95.0,,,
31.5079,,,,-92.0
31.6903,-88.0,,,
31.7035,,,,-92.0
31.8712,-85.0,,,
32.3056,-83.0,,,
32.3206,,,,-93.0
32.5111,-87.0,,,
32.5254,,,,-91.0
32.7063,-84.0,,,
32.7313,,,,-92.0
32.8985,-77.0,,,
33.1231,-76.0,,,
33.7335,-74.0,,,
34.7379,-82.0,,,
34.9409,-83.0,,,
34.9829,,,,-94.0
35.1467,-79.0,,,
35.3652,-79.0,,,
35.5709,-81.0,,,
35.9907,-81.0,,,
36.1787,-83.0,,,
36.3731,-78.0,,,
36.8053,-81.0,,,
37.1923,-79.0,,,
37.3977,-76.0,,,
38.6276,-77.0,,,
39.2417,-85.0,,,
39.2741,,,,-94.0
39.4471,-84.0,,,
39.4735,,,,-95.0
39.6592,-81.0,,,
39.8617,-81.0,,,
40.2984,-79.0,,,
40.4973,-83.0,,,
40.5247,,,,-91.0
41.0891,-78.0,,,
41.3242,-78.0,,,
41.5028,-81.0,,,
41.7169,-82.0,,,
43.1647,-83.0,,,
43.3756,-81.0,,,
43.5788,-82.0,,,
43.782,-82.0,,,
43.9692,-81.0,,,
44.2195,-81.0,,,
44.3875,-81.0,,,
44.7839,-83.0,,,
44.9999,-82.0,,,
45.4264,-84.0,,,
45.8129,-78.0,,,
45.8468,,,,-93.0
46.4595,-78.0,,,
46.4771,,,,-95.0
46.643,-78.0,,,
46.6845,,,,-94.0
46.8654,,,,-94.0
47.0381,-84.0,,,
47.4516,-82.0,,,
47.6536,-78.0,,,
47.8632,-83.0,,,
48.0675,-83.0,,,
48.2821,-83.0,,,
48.4671,-82.0,,,
48.6605,-78.0,,,
48.7131,,,,-90.0
48.8774,-79.0,,,
48.9504,,,,-91.0
49.2859,-83.0,,,
49.8976,-83.0,,,
50.5075,-85.0,,,
50.7087,-83.0,,,
50.9233,-79.0,,,
50.9821,,,,-93.0
51.1186,-80.0,,,
51.3436,-83.0,,,
