AppTimestamp(s),ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06
1.0073,,,,-94.0
1.1166,,,-98.0,
1.3246,,,-96.0,
1.4962,,-94.0,,
1.5103,-99.0,,,
3.0467,,,,-96.0
3.1254,,-101.0,,
3.5348,,-97.0,,
3.5568,-95.0,,,
3.5925,,,-88.0,
4.9598,,-99.0,,
5.0328,,,-90.0,
5.2418,,,-92.0,
5.3764,,-96.0,,
5.438,,,-90.0,
5.5768,,-97.0,,
5.6029,-94.0,,,
5.639,,,-90.0,
7.1147,,,-93.0,
7.2139,,-98.0,,
7.2862,,,-89.0,
7.4492,-91.0,,,
8.9227,,,-95.0,
9.052,,-93.0,,
9.0861,-98.0,,,
9.1202,,,-98.0,
9.1646,,,,-98.0
9.2551,,-96.0,,
9.4901,,-96.0,,
9.5011,-95.0,,,
9.5749,,,,-93.0
11.1153,-98.0,,,
11.3311,-98.0,,,
11.3913,,,-93.0,
11.5212,-96.0,,,
11.5437,,-93.0,,
11.5836,,,-89.0,
12.9741,,-95.0,,
13.0294,,,-87.0,
13.1561,-97.0,,,
13.1744,,-92.0,,
13.2604,,,,-103.0
13.3988,,-92.0,,
13.4472,,,-95.0,
13.5527,-99.0,,,
13.5996,,-95.0,,
14.9878,-97.0,,,
15.0309,,-98.0,,
15.0869,,,-92.0,
15.2379,,-98.0,,
15.2967,,,-98.0,
15.3004,,,,-101.0
15.3955,-98.0,,,
15.4302,,-96.0,,
15.5078,,,-92.0,
15.6362,,-97.0,,
17.2795,,-95.0,,
17.3324,,,,-96.0
17.3465,,,-89.0,
17.4765,,-100.0,,
17.5412,,,-94.0,
18.3646,,,-90.0,
19.1097,-92.0,,,
19.1157,,-94.0,,
19.1876,,,-92.0,
19.1929,,,,-98.0
19.3066,,-93.0,,
19.3824,,,-97.0,
19.3965,,,,-100.0
19.5117,-98.0,,,
19.5242,,-93.0,,
19.5778,,,-98.0,
21.0316,,,-93.0,
21.3797,,-98.0,,
21.6502,,,-88.0,
22.373,-98.0,,,
23.209,-96.0,,,
23.2383,,-97.0,,
23.4206,,-92.0,,
23.5953,-92.0,,,
25.0771,,-94.0,,
25.1306,,,-89.0,
25.2415,-95.0,,,
25.2881,,-94.0,,
25.4403,-96.0,,,
25.5508,,,-87.0,
25.6477,-99.0,,,
26.7183,,-98.0,,
26.9815,,,-96.0,
27.0745,-101.0,,,
27.2845,-102.0,,,
27.3271,,-98.0,,
27.3664,,,,-98.0
27.4917,-97.0,,,
27.5326,,-94.0,,
27.5972,,,-98.0,
29.0411,,,-95.0,
29.1237,-94.0,,,
29.1722,,-96.0,,
29.2016,,,,-94.0
29.2314,,,-97.0,
29.4548,,,-86.0,
29.5752,,-101.0,,
31.0386,,,,-99.0
31.0854,,,-87.0,
31.206,,-94.0,,
31.2893,,,-90.0,
31.5118,,,-87.0,
31.6095,,-96.0,,
33.049,-95.0,,,
