AppTimestamp(s),Latitude_degrees,Longitude_degrees,floor_ID
60.7285,49.461131579896,11.111006458661,-2
68.0241,49.461105259398,11.110903023275,-2
73.1544,49.461087810283,11.110832476574,-2
78.8286,49.461135070853,11.110804437657,-2
85.4713,49.461196451273,11.110792521485,-2
94.6382,49.461116504062,11.110727099759,-2
100.5061,49.461073718862,11.110774331714,-2
104.7083,49.461041148253,11.110807768022,-2
110.8728,49.460980054096,11.110779270931,-2
115.9308,49.460994109806,11.110835815249,-2
118.872,49.461004789908,11.110879157598,-2
123.4786,49.461052298408,11.110852868292,-2
127.8332,49.461087810283,11.110832476574,-2
165.0073,49.461087810283,11.110832476574,-2
169.6948,49.461052298408,11.110852868292,-2
174.3401,49.461004789908,11.110879157598,-2
177.4814,49.460994109806,11.110835815249,-2
181.7906,49.460980054096,11.110779270931,-2
188.433,49.461041148253,11.110807768022,-2
193.4036,49.461073718862,11.110774331714,-2
199.3903,49.461116504062,11.110727099759,-2
208.7723,49.461196451273,11.110792521485,-2
216.3398,49.461135070853,11.110804437657,-2
221.827,49.461087810283,11.110832476574,-2
227.3581,49.461105259398,11.110903023275,-2
235.2951,49.461131579896,11.111006458661,-2
