AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0555,69067.7981,-0.49587902619509283,8.317211480537132,-3.963376821046813,-0.5360641211653943,-0.48314098736248196,-0.11104817435760932,1.7503542941406989,4.211312487362293,0.7426910198353737
0.0619,69067.8181,-0.14115675679807382,8.245767849561418,-3.5930663798228526,-0.5274380463873709,-0.6606062332407495,-0.21317884933302458,1.5395254408636574,4.196741508656341,0.5065114684393069
0.0682,69067.8381,0.10602698642182906,8.100272843736759,-3.2638990160673576,-0.5086378835701737,-0.8151161163034816,-0.30163085459386724,1.3245420430443042,4.224572360664997,0.26638638254145536
0.074,69067.858,0.21092074471072508,7.875067595109809,-3.0343392971861363,-0.47406629129543326,-0.9339215174787943,-0.3657599361403264,1.1055539155103196,4.326624432860319,0.026516979356524126
0.0785,69067.8781,0.22576916807804429,7.640367657220404,-2.9612211107584265,-0.4313396753001229,-1.0145927062216757,-0.4057983705810976,0.8911894819711856,4.510273931092692,-0.19990562092722214
0.1019,69067.8981,0.2553447933479367,7.481236655702062,-3.041880532603888,-0.4048176966516885,-1.0535238177569803,-0.439784602695668,0.6856845707998915,4.758796260797779,-0.40463784959775345
0.129,69067.918,0.37134402355820545,7.429581174764546,-3.167359072047825,-0.4178533416168542,-1.0408171556333865,-0.4957063146723921,0.49059316110797424,5.040322347732576,-0.5933635749683168
0.1424,69067.9381,0.552117065275699,7.452882560604274,-3.1828492907519346,-0.46817411588602514,-0.9694503444870213,-0.5904970096278401,0.31486395521249694,5.325961547037315,-0.7867509554946261
0.1575,69067.9581,0.7042480443520651,7.502752360071684,-3.0117034238077283,-0.5273333771677389,-0.8455566753991961,-0.7141688991560731,0.17568952477999505,5.602541350404224,-1.01141734152928
0.1781,69067.9781,0.7313888817132129,7.562219077910072,-2.686879420395897,-0.5633600674111066,-0.687957299063226,-0.8332598036206638,0.08488415831686569,5.87030045124336,-1.2835002027753586
