AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:01:92,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:01:96,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:92,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:01:96,wifi_freq_20:23:00:00:03:25
1.0343,-78.0,,,,,,,,,,,,,-75.0,,-67.0,,-85.0,,,,-83.0,-84.0,,,,2437.0,,,,,,,,,,,,,2437.0,,2437.0,,2462.0,,,,2412.0,2412.0,,,
4.8703,-85.0,,,,,,,,,,,,,-76.0,,-64.0,-87.0,-87.0,-88.0,,,,,,,,2437.0,,,,,,,,,,,,,2437.0,,2437.0,2462.0,2462.0,2462.0,,,,,,,
8.8456,,,,,,,,,,,,,,-77.0,,-60.0,,-86.0,-88.0,,-89.0,,,,,,,,,,,,,,,,,,,2437.0,,2437.0,,2462.0,2462.0,,2412.0,,,,,
12.8456,-86.0,,,,,,,,,,,,,-77.0,,-58.0,,-90.0,-87.0,,,,,,-89.0,,2437.0,,,,,,,,,,,,,2437.0,,2437.0,,2462.0,2462.0,,,,,,2412.0,
16.8549,-82.0,,,,,,,,,,,,,-81.0,,-57.0,,-84.0,,,,-83.0,-83.0,,,,2437.0,,,,,,,,,,,,,2437.0,,2437.0,,2462.0,,,,2412.0,2412.0,,,
20.8529,-81.0,,,,,,,-93.0,,,,,-92.0,-78.0,,-65.0,,-88.0,,,,,,,,,2437.0,,,,,,,2437.0,,,,,2452.0,2437.0,,2437.0,,2462.0,,,,,,,,
24.8709,,,,,,,,,,,,,,-81.0,,-66.0,,,-89.0,,-80.0,-82.0,-87.0,,,,,,,,,,,,,,,,,2437.0,,2437.0,,,2462.0,,2412.0,2412.0,2412.0,,,
28.8643,-80.0,,,,,,,,,,,,,-78.0,,-62.0,-88.0,,,,,,-88.0,,,-87.0,2437.0,,,,,,,,,,,,,2437.0,,2437.0,2462.0,,,,,,2412.0,,,2437.0
32.8564,,,,,,,,,,,,,-90.0,-74.0,,-57.0,-85.0,-86.0,-86.0,,,,,,,,,,,,,,,,,,,,2452.0,2437.0,,2437.0,2462.0,2462.0,2462.0,,,,,,,
36.8497,,,,,,,,,,,,,,-74.0,,-59.0,-82.0,-83.0,-82.0,,,,,,,-89.0,,,,,,,,,,,,,,2437.0,,2437.0,2462.0,2462.0,2462.0,,,,,,,2437.0
