AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:04,wifi_rssi_20:23:00:00:00:05,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:08,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:10,wifi_rssi_20:23:00:00:00:11,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:13,wifi_rssi_20:23:00:00:00:14,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:16,wifi_rssi_20:23:00:00:00:17,wifi_rssi_20:23:00:00:00:18,wifi_rssi_20:23:00:00:00:19,wifi_rssi_20:23:00:00:00:21,wifi_rssi_20:23:00:00:00:22,wifi_rssi_20:23:00:00:00:23,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:34,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:48,wifi_rssi_20:23:00:00:00:51,wifi_rssi_20:23:00:00:00:52,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:57,wifi_rssi_20:23:00:00:00:62,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:67,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:41,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:12,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:04,wifi_freq_20:23:00:00:00:05,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:08,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:10,wifi_freq_20:23:00:00:00:11,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:13,wifi_freq_20:23:00:00:00:14,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:16,wifi_freq_20:23:00:00:00:17,wifi_freq_20:23:00:00:00:18,wifi_freq_20:23:00:00:00:19,wifi_freq_20:23:00:00:00:21,wifi_freq_20:23:00:00:00:22,wifi_freq_20:23:00:00:00:23,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:34,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:48,wifi_freq_20:23:00:00:00:51,wifi_freq_20:23:00:00:00:52,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:57,wifi_freq_20:23:00:00:00:62,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:67,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:41,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:12,wifi_freq_20:23:00:00:03:25
0.2237,-60.0,,,-90.0,,,,,-66.0,,,,,,-71.0,,,,,,,,,-85.0,-92.0,-91.0,,,,-90.0,,-75.0,,,,,-81.0,,,,,-92.0,-87.0,-72.0,-72.0,-79.0,,,,,-91.0,,,2437.0,,,5500.0,,,,,5200.0,,,,,,2452.0,,,,,,,,,2412.0,2412.0,2412.0,,,,2457.0,,2412.0,,,,,2427.0,,,,,2422.0,2437.0,5220.0,5220.0,2462.0,,,,,2462.0,,
2.2035,-61.0,,,-87.0,,-94.0,,,,,,,,,-72.0,,-87.0,,,-87.0,,,-89.0,-91.0,-94.0,-89.0,-95.0,,,,-75.0,-77.0,,,,,-73.0,,,-94.0,,,,-76.0,-76.0,,,,,,,,,2437.0,,,5500.0,,2462.0,,,,,,,,,2452.0,,5500.0,,,5500.0,,,2462.0,2412.0,2412.0,2412.0,2412.0,,,,2462.0,2412.0,,,,,2427.0,,,2437.0,,,,5220.0,5220.0,,,,,,,,
4.3775,-66.0,-86.0,,-90.0,,-90.0,,,-71.0,,,-90.0,,,-72.0,,-90.0,,-89.0,,,,,-79.0,-92.0,,,,,-87.0,,-79.0,,,,,-75.0,,,,,-92.0,-86.0,-70.0,-70.0,,,,,,-87.0,,,2437.0,2437.0,,5500.0,,2462.0,,,5200.0,,,2417.0,,,2452.0,,5500.0,,5260.0,,,,,2412.0,2412.0,,,,,2457.0,,2412.0,,,,,2427.0,,,,,2422.0,2437.0,5220.0,5220.0,,,,,,2462.0,,
6.5008,-64.0,-84.0,,-87.0,,-88.0,,-88.0,-63.0,,,,,,-79.0,,,,-86.0,,,,-88.0,,-93.0,,-93.0,,,-94.0,-80.0,-73.0,,,,,-64.0,,,-91.0,,,-84.0,-71.0,-71.0,-77.0,,,,,-86.0,,-90.0,2437.0,2437.0,,5500.0,,2462.0,,2437.0,5200.0,,,,,,2452.0,,,,5260.0,,,,2462.0,,2412.0,,2412.0,,,2457.0,2462.0,2412.0,,,,,2427.0,,,2437.0,,,2437.0,5220.0,5220.0,2462.0,,,,,2462.0,,2437.0
10.382,-66.0,,,-85.0,-85.0,,-93.0,,-71.0,,,,-87.0,-87.0,-71.0,-88.0,-87.0,,,-87.0,-86.0,,-87.0,,,,,,,-84.0,-72.0,-77.0,,,,,-80.0,,,,,,-84.0,-78.0,-77.0,-72.0,,,,,-86.0,,,2437.0,,,5500.0,5500.0,,2462.0,,5200.0,,,,5500.0,5500.0,2452.0,5500.0,5500.0,,,5500.0,5500.0,,2462.0,,,,,,,2457.0,2462.0,2412.0,,,,,2427.0,,,,,,2437.0,5220.0,5220.0,2462.0,,,,,2462.0,,
12.4047,-56.0,,,,,,,,-72.0,,,-90.0,,,-64.0,,,,-87.0,,,,-92.0,-86.0,,,,,,,-72.0,-79.0,,,,,-68.0,-90.0,,,,-90.0,-85.0,-76.0,-76.0,,,-93.0,,,,,,2437.0,,,,,,,,5200.0,,,2417.0,,,2452.0,,,,5260.0,,,,2462.0,2412.0,,,,,,,2462.0,2412.0,,,,,2427.0,2412.0,,,,2422.0,2437.0,5220.0,5220.0,,,2452.0,,,,,
14.2251,-64.0,,,-89.0,-86.0,,,,-71.0,,,-85.0,,,-67.0,,,,,,,,,-82.0,,,,,,-84.0,-73.0,-77.0,,,,,-75.0,,,,,,-81.0,-81.0,-80.0,-68.0,,,,,-86.0,,,2437.0,,,5500.0,5500.0,,,,5200.0,,,2417.0,,,2452.0,,,,,,,,,2412.0,,,,,,2457.0,2462.0,2412.0,,,,,2427.0,,,,,,2437.0,5220.0,5220.0,2462.0,,,,,2462.0,,
16.3946,-62.0,,,-90.0,,-94.0,,,-67.0,,,,-90.0,,-76.0,,-90.0,,-87.0,-89.0,,,,-84.0,-92.0,,-92.0,,,,-80.0,-77.0,-91.0,,,,-76.0,,,,,,-82.0,-73.0,-73.0,,,,,,,,,2437.0,,,5500.0,,2462.0,,,5200.0,,,,5500.0,,2452.0,,5500.0,,5260.0,5500.0,,,,2412.0,2412.0,,2412.0,,,,2462.0,2412.0,2462.0,,,,2427.0,,,,,,2437.0,5220.0,5220.0,,,,,,,,
18.2522,-61.0,,,,,,-92.0,,-70.0,,,-86.0,,,-65.0,,,,,,,,,-79.0,-93.0,-87.0,,,,-91.0,,-76.0,-90.0,,,,-76.0,,,,,,-84.0,-74.0,-74.0,-75.0,,,,,-86.0,,,2437.0,,,,,,2462.0,,5200.0,,,2417.0,,,2452.0,,,,,,,,,2412.0,2412.0,2412.0,,,,2457.0,,2412.0,2462.0,,,,2427.0,,,,,,2437.0,5220.0,5220.0,2462.0,,,,,2462.0,,
20.227,-61.0,,-92.0,,,-91.0,,,-72.0,,,-90.0,,,-75.0,,,,,,,,-90.0,,,,,,,,-78.0,-73.0,-89.0,,,,-71.0,,,,,,,-68.0,-67.0,-79.0,,,,,,,,2437.0,,5200.0,,,2462.0,,,5200.0,,,2417.0,,,2452.0,,,,,,,,2462.0,,,,,,,,2462.0,2412.0,2462.0,,,,2427.0,,,,,,,5220.0,5220.0,2462.0,,,,,,,
22.2861,-62.0,,-91.0,,,,,,-71.0,,,-91.0,,,-75.0,,,,,,,,,,-90.0,,-91.0,,,-89.0,-74.0,-73.0,,,,,-79.0,,,,,,-83.0,-77.0,-77.0,-80.0,,,,,,,,2437.0,,5200.0,,,,,,5200.0,,,2417.0,,,2452.0,,,,,,,,,,2412.0,,2412.0,,,2457.0,2462.0,2412.0,,,,,2427.0,,,,,,2437.0,5220.0,5220.0,2462.0,,,,,,,
24.2888,-58.0,-81.0,,,,,-89.0,,-67.0,,,-90.0,-87.0,,-75.0,-88.0,,,-89.0,,-86.0,,,,,,,,,-90.0,-75.0,-77.0,,,,,-75.0,,,,,,,-72.0,-72.0,-75.0,,,-92.0,,,,,2437.0,2437.0,,,,,2462.0,,5200.0,,,2417.0,5500.0,,2452.0,5500.0,,,5260.0,,5500.0,,,,,,,,,2457.0,2462.0,2412.0,,,,,2427.0,,,,,,,5220.0,5220.0,2462.0,,,2437.0,,,,
26.3376,-62.0,-83.0,,,-89.0,,,,-65.0,,,-89.0,,-90.0,-73.0,-90.0,-90.0,,-90.0,-89.0,,,-91.0,-86.0,-92.0,,-94.0,,,-87.0,-72.0,-77.0,,,,,-75.0,,,,,-91.0,-84.0,-67.0,-66.0,-69.0,,,,,-89.0,,,2437.0,2437.0,,,5500.0,,,,5200.0,,,2417.0,,5500.0,2452.0,5500.0,5500.0,,5260.0,5500.0,,,2462.0,2412.0,2412.0,,2412.0,,,2457.0,2462.0,2412.0,,,,,2427.0,,,,,2422.0,2437.0,5220.0,5220.0,2462.0,,,,,2462.0,,
28.3903,-57.0,-87.0,-91.0,-90.0,-89.0,,-93.0,,-71.0,,,-88.0,,,-70.0,,,,-89.0,,,,,-89.0,-91.0,-92.0,-91.0,-91.0,,-84.0,-77.0,-79.0,,,,,-74.0,,,,,,-82.0,-71.0,-71.0,-77.0,-84.0,,,,-88.0,,,2437.0,2437.0,5200.0,5500.0,5500.0,,2462.0,,5200.0,,,2417.0,,,2452.0,,,,5260.0,,,,,2412.0,2412.0,2412.0,2412.0,2412.0,,2457.0,2462.0,2412.0,,,,,2427.0,,,,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,2462.0,,
30.1986,-65.0,-89.0,-93.0,-84.0,,,,,-69.0,,,-89.0,-90.0,-91.0,-72.0,,,,,,,,,-79.0,,,,,,-91.0,-78.0,-76.0,,,,,-74.0,,,,,-91.0,-87.0,-73.0,-73.0,-83.0,,,,,,,,2437.0,2437.0,5200.0,5500.0,,,,,5200.0,,,2417.0,5500.0,5500.0,2452.0,,,,,,,,,2412.0,,,,,,2457.0,2462.0,2412.0,,,,,2427.0,,,,,2422.0,2437.0,5220.0,5220.0,2462.0,,,,,,,
32.3838,-62.0,,,,,,,,-71.0,,,,,,-72.0,,,,-85.0,,,,,-86.0,-92.0,-91.0,-91.0,,,-85.0,,-81.0,,,,,-76.0,,,,,,-88.0,-74.0,-74.0,,,,,,-83.0,,,2437.0,,,,,,,,5200.0,,,,,,2452.0,,,,5260.0,,,,,2412.0,2412.0,2412.0,2412.0,,,2457.0,,2412.0,,,,,2427.0,,,,,,2437.0,5220.0,5220.0,,,,,,2462.0,,
