AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,PitchX,RollY,YawZ,Quat_w,Quat_x,Quat_y,Quat_z
0.0437,6911.0146,-1.34319,6.37595,7.77421,-0.13305,-0.14886,-0.07326,-18.2,-11.5,-33.7,35.851063,6.076813,-71.584839,0.780222505167622,0.27879801,-0.138845,-0.542445
0.0452,6911.0346,-1.51079,6.78298,8.03758,-0.13671,-0.20079,-0.07326,-18.2,-11.6,-33.7,35.699478,5.9756,-71.577835,0.7804233218220096,0.27732,-0.13876501,-0.542934
0.0505,6911.0546,-1.89866,7.37916,8.18124,0.03005,-0.35473,-0.13801,-18.1,-11.6,-33.5,35.623539,5.814466,-71.631325,0.7801194909138728,0.27598599,-0.139614,-0.543832
0.0786,6911.0746,-2.36554,7.9873,8.01603,-0.00477,-0.53188,-0.08426,-18.1,-11.8,-33.5,35.750984,5.576436,-71.796425,0.7787967911222154,0.27549899,-0.14226399,-0.545286
0.1134,6911.0946,-2.90186,8.33447,8.27461,-0.06585,-0.27592,-0.13618,-18.1,-11.8,-33.2,35.84602,5.286959,-71.955627,0.7774911543764333,0.274551,-0.14508399,-0.54688197
0.1137,6911.1146,-3.69437,8.47094,9.10064,0.06671,-0.5502,-0.07326,-18.1,-11.9,-33.0,36.012684,5.332925,-72.205795,0.7760295283976242,0.27555799,-0.146203,-0.54815203
0.1379,6911.1346,-4.49405,8.3656,9.81892,0.45033,-0.07923,0.14054,-18.2,-11.9,-32.9,36.416286,5.267549,-72.436958,0.774047129754306,0.27761701,-0.14921699,-0.54910302
0.1516,6911.1546,-4.94418,8.20279,10.07032,0.60732,0.27813,0.49667,-18.1,-12.0,-32.9,37.19104,5.673934,-72.395401,0.7732373652448772,0.284724,-0.15023901,-0.54631901
0.1688,6911.1746,-5.46374,8.06871,9.93624,0.61832,1.03866,0.45391,-18.1,-12.1,-32.9,38.032619,6.452356,-72.036484,0.7742597225232755,0.29441699,-0.148268,-0.54023802
0.2034,6911.1946,-6.26821,7.98491,9.82131,0.64458,0.84074,0.526,-18.1,-12.2,-32.9,38.828163,7.985425,-71.800934,0.7756959387241109,0.307105,-0.14124,-0.53294802
0.2085,6911.2146,-6.86678,7.70238,9.87638,0.76859,-0.18307,0.78928,-18.0,-12.3,-32.8,39.646152,8.91295,-71.482437,0.776650569732064,0.31711501,-0.13815799,-0.52646399
0.2659,6911.2346,-6.74707,7.26184,10.0368,0.84128,-0.98514,0.93467,-17.9,-12.5,-32.8,40.585312,8.640862,-70.898575,0.7770497478206141,0.32270399,-0.143015,-0.521155
0.2741,6911.2546,-6.16526,6.51961,10.07032,0.10702,0.87617,0.75751,-17.9,-12.7,-32.8,41.377895,7.749743,-70.242355,0.7771760357070844,0.32468301,-0.151079,-0.51744902
0.2768,6911.2746,-5.16684,5.25543,11.43985,-0.02004,2.00321,1.02324,-17.8,-12.8,-32.9,41.317638,9.383009,-69.621056,0.7821481800725739,0.332385,-0.13789199,-0.50867498
0.2883,6911.2946,-4.6856,3.98407,12.34009,0.69468,3.74479,1.38304,-17.6,-13.0,-32.9,41.264332,11.893102,-68.531677,0.7898197128102842,0.34423101,-0.1172,-0.49391699
0.3096,6911.3146,-4.31688,2.842,11.51167,1.32264,4.50226,2.09409,-17.1,-13.2,-33.0,42.064339,15.766969,-67.009697,0.7981049018382984,0.36709899,-0.08949,-0.46931699
0.3276,6911.3346,-3.58423,2.05908,9.9961,1.41672,4.2121,2.67441,-14.0,-14.2,-33.5,43.50803,19.376389,-64.657219,0.8069785812522411,0.39229399,-0.063299,-0.436903
0.3474,6911.3545,-2.27456,1.57304,8.39193,1.3819,3.41065,2.86805,-10.1,-15.7,-34.6,45.116947,21.751266,-61.538414,0.8162704626862349,0.412844,-0.043017,-0.401761
