AppTimestamp(s),Latitude_degrees,Longitude_degrees
61.1461,49.46123591,11.11104875
67.2504,49.46123038,11.1111258
73.7387,49.46125066,11.11120704
80.6717,49.46130192,11.1111769
86.4669,49.46131291,11.11122416
93.4897,49.46125688,11.1112567
100.9379,49.46130941,11.11130895
103.8738,49.46131622,11.1113369
137.1386,49.46131622,11.1113369
139.8838,49.46130941,11.11130895
146.9535,49.46125688,11.1112567
154.378,49.46131291,11.11122416
160.0567,49.46130192,11.1111769
167.0886,49.46125066,11.11120704
174.4088,49.46123038,11.1111258
181.9569,49.46123591,11.11104875
