AppTimestamp(s),wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:02:16,wifi_rssi_20:23:00:00:02:17,wifi_rssi_20:23:00:00:02:19,wifi_rssi_20:23:00:00:02:20,wifi_rssi_20:23:00:00:02:29,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:02:16,wifi_freq_20:23:00:00:02:17,wifi_freq_20:23:00:00:02:19,wifi_freq_20:23:00:00:02:20,wifi_freq_20:23:00:00:02:29,wifi_freq_20:23:00:00:03:11
4.0138,-51.0,,-67.0,,-71.0,-73.0,-71.0,-70.0,,,,,,,,,,,,,,,,,2417.0,,2462.0,,2437.0,2422.0,2437.0,2462.0,,,,,,,,,,,,,,,,
8.0014,-54.0,-73.0,,,-71.0,-71.0,-67.0,-72.0,,,,,,,,,,,,,,,,,2417.0,2452.0,,,2437.0,2422.0,2437.0,2462.0,,,,,,,,,,,,,,,,
11.9792,-49.0,-71.0,-71.0,,,-71.0,-65.0,-70.0,,,,,,,,,,,,,,,,,2417.0,2452.0,2462.0,,,2422.0,2437.0,2462.0,,,,,,,,,,,,,,,,
15.981,-49.0,-69.0,,-70.0,,-71.0,-61.0,-71.0,,,,,,,,,,,,,,,,,2417.0,2452.0,,2427.0,,2422.0,2437.0,2462.0,,,,,,,,,,,,,,,,
20.0042,,,-72.0,,-70.0,-73.0,-69.0,-73.0,,,,,,,,,,,,,,,,-63.0,,,2462.0,,2437.0,2422.0,2437.0,2462.0,,,,,,,,,,,,,,,,2462.0
23.9881,-52.0,,-68.0,,-70.0,-65.0,-66.0,,,,,,,,,,,,,,,,,-66.0,2417.0,,2462.0,,2437.0,2422.0,2437.0,,,,,,,,,,,,,,,,,2462.0
28.0055,-55.0,,,-73.0,-73.0,-69.0,-63.0,,-72.0,,,,,,,,,,,,,,,,2417.0,,,2427.0,2437.0,2422.0,2437.0,,2437.0,,,,,,,,,,,,,,,
31.9671,-55.0,,,-72.0,-71.0,-71.0,-64.0,,-68.0,,,,,,,,,,,,,,,,2417.0,,,2427.0,2437.0,2422.0,2437.0,,2437.0,,,,,,,,,,,,,,,
35.9997,-52.0,-73.0,,-74.0,,-69.0,-67.0,,-73.0,,,,,,,,,,,,,,,,2417.0,2452.0,,2427.0,,2422.0,2437.0,,2437.0,,,,,,,,,,,,,,,
39.991,-52.0,,,-72.0,-75.0,-69.0,-75.0,,-74.0,,,,,,,,,,,,,,,,2417.0,,,2427.0,2437.0,2422.0,2437.0,,2437.0,,,,,,,,,,,,,,,
