AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:94,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:02,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:08,wifi_rssi_20:23:00:00:01:09,wifi_rssi_20:23:00:00:01:10,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:13,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:35,wifi_rssi_20:23:00:00:01:37,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:01:44,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:60,wifi_rssi_20:23:00:00:01:64,wifi_rssi_20:23:00:00:02:16,wifi_rssi_20:23:00:00:02:17,wifi_rssi_20:23:00:00:02:18,wifi_rssi_20:23:00:00:02:19,wifi_rssi_20:23:00:00:02:20,wifi_rssi_20:23:00:00:02:21,wifi_rssi_20:23:00:00:02:22,wifi_rssi_20:23:00:00:02:23,wifi_rssi_20:23:00:00:02:24,wifi_rssi_20:23:00:00:02:25,wifi_rssi_20:23:00:00:02:26,wifi_rssi_20:23:00:00:02:27,wifi_rssi_20:23:00:00:02:29,wifi_rssi_20:23:00:00:02:30,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_rssi_20:23:00:00:03:35,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:02,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:08,wifi_freq_20:23:00:00:01:09,wifi_freq_20:23:00:00:01:10,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:13,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:35,wifi_freq_20:23:00:00:01:37,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:44,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:60,wifi_freq_20:23:00:00:01:64,wifi_freq_20:23:00:00:02:16,wifi_freq_20:23:00:00:02:17,wifi_freq_20:23:00:00:02:18,wifi_freq_20:23:00:00:02:19,wifi_freq_20:23:00:00:02:20,wifi_freq_20:23:00:00:02:21,wifi_freq_20:23:00:00:02:22,wifi_freq_20:23:00:00:02:23,wifi_freq_20:23:00:00:02:24,wifi_freq_20:23:00:00:02:25,wifi_freq_20:23:00:00:02:26,wifi_freq_20:23:00:00:02:27,wifi_freq_20:23:00:00:02:29,wifi_freq_20:23:00:00:02:30,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25,wifi_freq_20:23:00:00:03:35
4.0138,-80.0,-51.0,-75.0,-67.0,-77.0,-80.0,-71.0,-73.0,-71.0,-86.0,-86.0,-70.0,,-79.0,,,,,,,-91.0,,,,,,,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.0,,,2437.0,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,2437.0,,,,,,,,,,,5240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,,
8.0014,-84.0,-54.0,-73.0,-74.0,-82.0,-76.0,-71.0,-71.0,-67.0,-83.0,-84.0,-72.0,,-78.0,,,,,,,,-81.0,,,,,,,,,,-88.0,,,,,,,,,,,,-89.0,,,,,,,,,,,,,,,,,,,,,-86.0,,,2437.0,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,2462.0,,,,,,,,,,5240.0,,,,,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,,,,2462.0,,
11.9792,,-49.0,-71.0,-71.0,-82.0,,-75.0,-71.0,-65.0,-82.0,-82.0,-70.0,,-76.0,,,,,,,,,,,-85.0,,,,,,,-88.0,,,-86.0,,,-85.0,-86.0,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,-74.0,,,,2417.0,2452.0,2462.0,2412.0,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,2462.0,,,,,,,5240.0,,,5500.0,,,5500.0,5500.0,5500.0,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,,
15.981,,-49.0,-69.0,-73.0,-78.0,-70.0,-77.0,-71.0,-61.0,-84.0,-85.0,-71.0,,-80.0,,,,,,,,,,,,,,,,,,-88.0,-87.0,,,-92.0,,-91.0,,-90.0,,,,,,-92.0,-93.0,,,,,,,,,,,,,,,,,,-72.0,,,,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,5240.0,5240.0,,,5500.0,,5500.0,,5500.0,,,,,,2462.0,2462.0,,,,,,,,,,,,,,,,,,2462.0,,
20.0042,,,-75.0,-72.0,-80.0,-74.0,-70.0,-73.0,-69.0,-84.0,-84.0,-73.0,,-76.0,,,,,,,,,,,-87.0,,,,,,-89.0,-88.0,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63.0,,,,,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,2462.0,,,,,,2412.0,5240.0,5240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,,
23.9881,,-52.0,-75.0,-68.0,,-75.0,-70.0,-65.0,-66.0,-80.0,-80.0,-71.0,,-72.0,,,,,,,,,,,-83.0,,,,,,,,,,,,,,,,,,,,,,,,-94.0,,,,,,,,,,,,,,,,-66.0,-91.0,,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,,,,,,,2412.0,,,,,,,,,,,,,,,,2462.0,2437.0,
28.0055,-80.0,-55.0,-78.0,,-86.0,-73.0,-73.0,-69.0,-63.0,-84.0,-84.0,-74.0,,-72.0,,,,,,,,-86.0,,,,,,,,,,-89.0,,,,,,,,,-91.0,,,-85.0,,,,,,,,,,,,,,,,,,,,,-83.0,,,2437.0,2417.0,2452.0,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,2462.0,,,,,,,,,,5240.0,,,,,,,,,2412.0,,,2462.0,,,,,,,,,,,,,,,,,,,,,2462.0,,
31.9671,,-55.0,-75.0,-73.0,-80.0,-72.0,-71.0,-71.0,-64.0,-80.0,-80.0,-74.0,,-68.0,,,,,,,,,,,-80.0,,,,,,,-90.0,,,,,,,,,,,,,,,,-87.0,,-87.0,,,,,,,,,,,,,,,,,,,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,2462.0,,,,,,,5240.0,,,,,,,,,,,,,,,,2412.0,,2412.0,,,,,,,,,,,,,,,,,
35.9997,-85.0,-52.0,-73.0,,,-74.0,-75.0,-69.0,-67.0,-84.0,-84.0,-74.0,-88.0,-73.0,,,,,,,,-86.0,,,-79.0,,,,,,,,,,,,-91.0,,,,,,-92.0,-84.0,,,,,,,,,,,,,,,,,,,,,-89.0,,,2437.0,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,2462.0,,,2462.0,,,,,,,,,,,,2462.0,,,,,,2437.0,2462.0,,,,,,,,,,,,,,,,,,,,,2462.0,,
39.991,-81.0,-52.0,-76.0,,-80.0,-72.0,-75.0,-69.0,-75.0,-80.0,-80.0,-76.0,,-74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91.0,,,,,,,,,,,,,,,-87.0,,,2437.0,2417.0,2452.0,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2412.0,,,,,,,,,,,,,,,2462.0,,
