AppTimestamp(s),ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:06
0.1361,-66.0,,
0.5125,-68.0,,
1.9338,-62.0,,
2.1135,,-88.0,
2.1326,-65.0,,
2.3032,,-93.0,
2.34,-58.0,,
2.5098,,-92.0,
2.5517,-55.0,,
2.7053,,-83.0,
2.7504,-62.0,,
2.9592,-67.0,,
3.1699,-63.0,,
3.4067,-73.0,,
3.5782,-77.0,,
3.7542,,-92.0,
3.7932,-66.0,,
3.9936,,-94.0,
4.0397,-83.0,,
4.1395,,-90.0,
4.2155,-70.0,,
4.4488,-62.0,,
4.8324,-63.0,,
5.0242,-64.0,,
5.1547,,-86.0,
5.5686,,-92.0,
5.632,-65.0,,
6.0356,-62.0,,
6.2539,-66.0,,
6.3816,,-86.0,
6.4566,-65.0,,
6.5802,,-88.0,
6.6702,-70.0,,
6.7855,,-88.0,
6.8769,-67.0,,
6.9843,,-92.0,
7.098,-73.0,,
7.2804,-61.0,,
7.6219,,-97.0,
7.6847,-63.0,,
7.7401,,,-97.0
7.8084,,-91.0,
7.8838,-65.0,,
8.0839,-66.0,,
8.2943,-61.0,,
8.4245,,-85.0,
8.9218,-62.0,,
9.5433,-58.0,,
9.6599,,-90.0,
9.8615,,-89.0,
10.1385,-73.0,,
10.338,-61.0,,
10.5529,-70.0,,
10.6685,,-88.0,
10.7627,-70.0,,
10.8726,,-93.0,
10.9634,-63.0,,
11.0981,,-87.0,
11.1575,-76.0,,
11.3741,-67.0,,
12.1718,-62.0,,
12.3189,,-88.0,
12.385,-61.0,,
12.5271,,-92.0,
12.7288,,-88.0,
12.7796,-70.0,,
13.4035,-68.0,,
13.6184,-66.0,,
13.7545,,-91.0,
13.9903,,-93.0,
14.0088,-61.0,,
14.164,,-95.0,
14.2103,-67.0,,
14.3666,,-90.0,
14.426,-70.0,,
14.8259,-63.0,,
15.0308,-69.0,,
15.2478,-67.0,,
15.6296,,-83.0,
15.8115,,-91.0,
16.0237,,-90.0,
16.0525,-61.0,,
16.1937,,-90.0,
16.4803,-68.0,,
17.0857,-66.0,,
17.6533,,-90.0,
17.6977,-62.0,,
17.8424,,-92.0,
17.8979,-85.0,,
18.0432,,-87.0,
18.3193,-60.0,,
