AppTimestamp(s),MAC,Frequency,RSSI
3.0011,20:23:00:00:00:12,2417,-51
3.0011,20:23:00:00:00:73,2437,-59
3.0011,20:23:00:00:00:15,2452,-62
3.0011,20:23:00:00:00:69,2422,-62
3.0011,20:23:00:00:00:55,2427,-65
3.0011,20:23:00:00:00:65,2437,-68
3.0011,20:23:00:00:00:45,2412,-70
3.0011,20:23:00:00:00:90,2437,-75
3.0011,20:23:00:00:00:44,2462,-75
3.0011,20:23:00:00:00:82,2462,-75
3.0011,20:23:00:00:00:79,5220,-80
3.0011,20:23:00:00:00:80,5220,-81
7.0979,20:23:00:00:00:12,2417,-51
7.0979,20:23:00:00:00:73,2437,-61
7.0979,20:23:00:00:00:15,2452,-63
7.0979,20:23:00:00:00:65,2437,-64
7.0979,20:23:00:00:00:55,2427,-66
7.0979,20:23:00:00:00:69,2422,-68
7.0979,20:23:00:00:00:44,2462,-70
7.0979,20:23:00:00:00:82,2462,-71
7.0979,20:23:00:00:00:45,2412,-72
7.0979,20:23:00:00:00:90,2437,-73
7.0979,20:23:00:00:00:01,2437,-73
7.0979,20:23:00:00:00:79,5220,-75
7.0979,20:23:00:00:00:80,5220,-76
7.0979,20:23:00:00:00:88,2462,-86
7.0979,20:23:00:00:00:09,5200,-87
11.055,20:23:00:00:00:73,2437,-60
11.055,20:23:00:00:00:15,2452,-61
11.055,20:23:00:00:00:69,2422,-63
11.055,20:23:00:00:00:65,2437,-63
11.055,20:23:00:00:00:44,2462,-64
11.055,20:23:00:00:00:55,2427,-64
11.055,20:23:00:00:00:82,2462,-66
11.055,20:23:00:00:00:90,2437,-71
11.055,20:23:00:00:00:79,5220,-78
11.055,20:23:00:00:00:80,5220,-79
11.055,20:23:00:00:00:09,5200,-84
11.055,20:23:00:00:00:88,2462,-84
11.055,20:23:00:00:01:01,2462,-87
11.055,20:23:00:00:03:25,2437,-88
15.0261,20:23:00:00:00:12,2417,-49
15.0261,20:23:00:00:00:73,2437,-56
15.0261,20:23:00:00:00:65,2437,-63
15.0261,20:23:00:00:00:55,2427,-64
15.0261,20:23:00:00:00:15,2452,-65
15.0261,20:23:00:00:00:44,2462,-67
15.0261,20:23:00:00:00:69,2422,-67
15.0261,20:23:00:00:00:82,2462,-67
15.0261,20:23:00:00:00:80,5220,-72
15.0261,20:23:00:00:00:79,5220,-73
15.0261,20:23:00:00:00:90,2437,-77
15.0261,20:23:00:00:00:01,2437,-77
15.0261,20:23:00:00:00:09,5200,-85
15.0261,20:23:00:00:00:98,2462,-87
15.0261,20:23:00:00:00:24,2462,-92
19.0405,20:23:00:00:00:12,2417,-47
19.0405,20:23:00:00:00:73,2437,-60
19.0405,20:23:00:00:00:55,2427,-64
19.0405,20:23:00:00:00:15,2452,-65
19.0405,20:23:00:00:00:65,2437,-65
19.0405,20:23:00:00:00:69,2422,-67
19.0405,20:23:00:00:00:44,2462,-69
19.0405,20:23:00:00:00:82,2462,-70
19.0405,20:23:00:00:00:90,2437,-73
19.0405,20:23:00:00:00:80,5220,-74
19.0405,20:23:00:00:00:01,2437,-75
19.0405,20:23:00:00:00:79,5220,-75
19.0405,20:23:00:00:00:45,2412,-78
19.0405,20:23:00:00:03:25,2437,-84
19.0405,20:23:00:00:00:88,2462,-88
23.0124,20:23:00:00:00:12,2417,-55
23.0124,20:23:00:00:00:73,2437,-64
23.0124,20:23:00:00:00:15,2452,-65
23.0124,20:23:00:00:00:69,2422,-65
23.0124,20:23:00:00:00:65,2437,-65
23.0124,20:23:00:00:00:44,2462,-66
23.0124,20:23:00:00:00:55,2427,-66
23.0124,20:23:00:00:00:82,2462,-67
23.0124,20:23:00:00:00:90,2437,-69
23.0124,20:23:00:00:00:45,2412,-70
23.0124,20:23:00:00:00:79,5220,-76
23.0124,20:23:00:00:00:01,2437,-77
23.0124,20:23:00:00:00:80,5220,-77
23.0124,20:23:00:00:00:09,5200,-86
27.0232,20:23:00:00:00:73,2437,-60
27.0232,20:23:00:00:00:15,2452,-65
27.0232,20:23:00:00:00:69,2422,-65
27.0232,20:23:00:00:00:55,2427,-70
27.0232,20:23:00:00:00:44,2462,-71
27.0232,20:23:00:00:00:82,2462,-71
27.0232,20:23:00:00:00:90,2437,-72
27.0232,20:23:00:00:00:65,2437,-72
27.0232,20:23:00:00:00:79,5220,-72
27.0232,20:23:00:00:00:80,5220,-72
27.0232,20:23:00:00:00:45,2412,-78
27.0232,20:23:00:00:00:01,2437,-80
27.0232,20:23:00:00:03:25,2437,-86
27.0232,20:23:00:00:00:88,2462,-88
27.0232,20:23:00:00:01:01,2462,-90
31.0643,20:23:00:00:00:12,2417,-47
31.0643,20:23:00:00:00:73,2437,-62
31.0643,20:23:00:00:00:44,2462,-65
31.0643,20:23:00:00:00:15,2452,-65
31.0643,20:23:00:00:00:65,2437,-66
31.0643,20:23:00:00:00:69,2422,-67
31.0643,20:23:00:00:00:55,2427,-68
31.0643,20:23:00:00:00:82,2462,-69
31.0643,20:23:00:00:00:79,5220,-72
31.0643,20:23:00:00:00:80,5220,-72
31.0643,20:23:00:00:00:45,2412,-74
31.0643,20:23:00:00:00:01,2437,-75
31.0643,20:23:00:00:00:90,2437,-76
31.0643,20:23:00:00:00:09,5200,-83
31.0643,20:23:00:00:00:88,2462,-84
35.034,20:23:00:00:00:12,2417,-52
35.034,20:23:00:00:00:73,2437,-57
35.034,20:23:00:00:00:69,2422,-58
35.034,20:23:00:00:00:44,2462,-61
35.034,20:23:00:00:00:82,2462,-63
35.034,20:23:00:00:00:65,2437,-64
35.034,20:23:00:00:00:55,2427,-66
35.034,20:23:00:00:00:15,2452,-67
35.034,20:23:00:00:00:90,2437,-73
35.034,20:23:00:00:00:79,5220,-74
35.034,20:23:00:00:00:80,5220,-74
35.034,20:23:00:00:00:01,2437,-75
35.034,20:23:00:00:00:45,2412,-77
35.034,20:23:00:00:00:88,2462,-84
39.0275,20:23:00:00:00:12,2417,-52
39.0275,20:23:00:00:00:73,2437,-61
39.0275,20:23:00:00:00:65,2437,-61
39.0275,20:23:00:00:00:15,2452,-63
39.0275,20:23:00:00:00:82,2462,-63
39.0275,20:23:00:00:00:69,2422,-64
39.0275,20:23:00:00:00:55,2427,-66
39.0275,20:23:00:00:00:90,2437,-73
39.0275,20:23:00:00:00:45,2412,-73
39.0275,20:23:00:00:00:01,2437,-75
39.0275,20:23:00:00:00:79,5220,-78
39.0275,20:23:00:00:00:80,5220,-78
39.0275,20:23:00:00:03:25,2437,-84
39.0275,20:23:00:00:00:88,2462,-85
39.0275,20:23:00:00:01:01,2462,-86
43.0483,20:23:00:00:00:12,2417,-53
43.0483,20:23:00:00:00:73,2437,-58
43.0483,20:23:00:00:00:15,2452,-63
43.0483,20:23:00:00:00:55,2427,-65
43.0483,20:23:00:00:00:82,2462,-67
43.0483,20:23:00:00:00:44,2462,-68
