AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:94,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:10,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:55,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:83,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:10,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:55,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:83,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25
3.0011,,,,-51.0,-62.0,,,,-75.0,-70.0,-65.0,-68.0,-62.0,-59.0,-80.0,-81.0,-75.0,,-75.0,,,,,,,,,,,,,,,,,,,,,,2417.0,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,
7.0979,-73.0,,-87.0,-51.0,-63.0,,,,-70.0,-72.0,-66.0,-64.0,-68.0,-61.0,-75.0,-76.0,-71.0,-86.0,-73.0,,,,,,,,,,,,,,,,,,,2437.0,,5200.0,2417.0,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,
11.055,,,-84.0,,-61.0,,,,-64.0,,-64.0,-63.0,-63.0,-60.0,-78.0,-79.0,-66.0,-84.0,-71.0,,,-87.0,,,,,,,,,,,,,,,-88.0,,,5200.0,,2452.0,,,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,2462.0,,,,,,,,,,,,,,,2437.0
15.0261,-77.0,,-85.0,-49.0,-65.0,-92.0,,,-67.0,,-64.0,-63.0,-67.0,-56.0,-73.0,-72.0,-67.0,,-77.0,,-87.0,,,,,,,,,,,,,,,,,2437.0,,5200.0,2417.0,2452.0,2462.0,,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,2462.0,,,,,,,,,,,,,,,,
19.0405,-75.0,,,-47.0,-65.0,,,,-69.0,-78.0,-64.0,-65.0,-67.0,-60.0,-75.0,-74.0,-70.0,-88.0,-73.0,,,,,,,,,,,,,,,,,,-84.0,2437.0,,,2417.0,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,2437.0
23.0124,-77.0,,-86.0,-55.0,-65.0,,,,-66.0,-70.0,-66.0,-65.0,-65.0,-64.0,-76.0,-77.0,-67.0,,-69.0,,,,,,,,,,,,,,,,,,,2437.0,,5200.0,2417.0,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,
27.0232,-80.0,,,,-65.0,,,,-71.0,-78.0,-70.0,-72.0,-65.0,-60.0,-72.0,-72.0,-71.0,-88.0,-72.0,,,-90.0,,,,,,,,,,,,,,,-86.0,2437.0,,,,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,2462.0,,,,,,,,,,,,,,,2437.0
31.0643,-75.0,,-83.0,-47.0,-65.0,,,,-65.0,-74.0,-68.0,-66.0,-67.0,-62.0,-72.0,-72.0,-69.0,-84.0,-76.0,,,,,,,,,,,,,,,,,,,2437.0,,5200.0,2417.0,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,
35.034,-75.0,,,-52.0,-67.0,,,,-61.0,-77.0,-66.0,-64.0,-58.0,-57.0,-74.0,-74.0,-63.0,-84.0,-73.0,,,,,,,,,,,,,,,,,,,2437.0,,,2417.0,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,
39.0275,-75.0,,,-52.0,-63.0,,,,,-73.0,-66.0,-61.0,-64.0,-61.0,-78.0,-78.0,-63.0,-85.0,-73.0,,,-86.0,,,,,,,,,,,,,,,-84.0,2437.0,,,2417.0,2452.0,,,,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,2462.0,,,,,,,,,,,,,,,2437.0
