AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z
0.0482,84273.1579,-2.54025,8.31985,2.13323
0.0512,84273.1779,-1.95606,7.82665,2.02789
0.0549,84273.1979,-2.58813,7.24246,4.27844
0.0597,84273.2179,-2.66235,7.05571,5.84425
0.0867,84273.2379,-2.41814,6.82826,7.94636
0.0981,84273.2579,-1.51792,7.44118,7.6806
0.1298,84273.2779,-1.68552,6.88572,6.28478
0.1377,84273.2979,-2.27449,6.81629,6.24647
0.1582,84273.3178,-2.29604,6.92164,5.93523
0.1777,84273.3379,-1.80283,7.60398,5.284
0.1984,84273.3579,-1.38145,6.85221,8.93037
0.2176,84273.3779,-1.18992,4.85784,10.54646
0.2377,84273.3979,-2.85389,4.71658,10.65659
0.264,84273.4179,-3.47638,5.94001,9.75877
0.284,84273.4379,-2.03507,6.17465,7.60159
0.2976,84273.4579,-1.12767,6.70616,6.12197
0.3176,84273.4779,-0.13647,7.11557,7.20176
0.3376,84273.4979,0.6177,6.78517,7.8865
0.3603,84273.5179,-0.44772,5.63834,10.56801
0.3791,84273.5379,0.42377,7.02219,9.77792
0.3985,84273.5589,0.69911,7.37175,4.55856
0.4185,84273.5789,-1.17555,8.04452,2.20506
0.4389,84273.5989,-0.42138,9.10994,2.54982
0.4593,84273.6189,-0.23703,8.22408,5.58328
0.4784,84273.6389,-4.45082,4.79798,19.97961
0.5026,84273.6589,1.92973,8.20014,7.54652
0.5473,84273.6789,5.50427,8.70532,7.83383
0.5624,84273.6989,6.85939,10.24479,14.87996
0.5674,84273.7189,3.85945,8.68616,15.08587
0.5927,84273.7389,0.47884,5.51145,10.42435
0.5993,84273.7589,2.24816,4.70939,7.2688
0.6194,84273.7789,4.83868,5.1188,6.07648
0.6389,84273.7989,5.89213,5.3247,4.5825
0.6594,84273.8189,6.03099,5.53779,3.48117
0.6849,84273.8389,4.85305,4.36702,2.99754
0.7016,84273.8599,2.69348,2.8922,2.45406
0.7202,84273.8799,0.24421,1.47243,1.83396
0.7406,84273.8999,-1.82678,0.48123,0.66798
0.7643,84273.9199,-2.49476,0.40223,-0.01437
0.8065,84273.9409,-3.38061,0.75178,0.63207
0.8225,84273.9609,-4.64475,1.98,1.20189
0.8281,84273.9809,-4.70221,3.8834,2.62644
0.8473,84274.0009,-4.90811,6.45237,6.1938
0.8633,84274.0219,-5.73651,8.90404,9.95988
0.8848,84274.0419,-5.93044,8.93756,13.92468
0.9021,84274.0619,-6.73968,8.38449,15.49767
0.9223,84274.0819,-6.33506,8.68616,19.76414
0.9423,84274.1019,-5.25288,8.47308,19.97004
0.9618,84274.1219,-2.17872,9.67976,16.90785
0.9831,84274.1419,1.58496,10.8601,14.24311
1.0067,84274.1619,5.73172,11.67652,15.04277
1.0244,84274.1819,9.3326,12.71082,14.84166
1.0451,84274.2019,10.06283,12.25831,10.96784
1.0662,84274.2219,6.90488,10.9415,9.67736
1.085,84274.2419,4.50828,9.5816,13.52245
1.1019,84274.2619,6.50744,9.20092,16.73068
1.1216,84274.2819,9.38766,8.90404,13.68526
1.147,84274.3019,10.2807,8.43238,9.44513
1.1675,84274.3219,10.37886,8.14268,7.53216
1.186,84274.3419,9.72525,7.513,6.87615
1.2152,84274.3619,7.73567,5.66468,6.74925
1.2284,84274.3819,6.76362,4.52265,7.29034
1.2514,84274.4019,6.3159,3.2202,7.33823
1.2714,84274.4229,4.43885,1.16598,6.39252
1.2875,84274.4428,2.24576,-0.84755,5.6575
1.309,84274.4629,0.18196,-2.53785,4.80037
1.3283,84274.4829,-3.02627,-4.09887,3.61285
1.3453,84274.5029,-5.10683,-3.8834,1.28329
1.3735,84274.5229,-4.09648,-2.28886,-1.07978
1.384,84274.5429,-1.01514,0,-0.60094
1.4068,84274.5629,1.60172,2.55461,1.50595
1.4233,84274.5829,2.9736,4.8291,3.80678
1.4438,84274.6029,4.46758,7.2664,5.81073
1.4638,84274.6229,5.77721,8.837,8.92558
1.4892,84274.6429,4.54898,9.90242,10.61589
1.506,84274.6629,2.73897,11.37725,12.77546
1.5285,84274.6849,1.19231,13.23036,13.05079
1.5487,84274.7049,-0.55067,14.15213,10.86968
1.5733,84274.7259,-1.01035,14.67167,11.58075
1.5947,84274.7459,0.10295,14.85842,13.73554
1.6149,84274.7659,1.06063,14.79377,12.81377
1.6266,84274.7859,1.47722,14.00847,10.42675
1.6537,84274.8059,1.67594,12.61744,8.20014
1.6665,84274.8259,0.95289,10.5273,7.02459
1.6859,84274.8459,-0.57461,7.60877,6.14831
1.7066,84274.8659,-1.6927,4.79559,6.34224
1.7295,84274.8859,-0.93613,3.41892,5.37259
1.751,84274.9069,0.72065,3.84509,3.58651
1.7726,84274.9279,2.20027,4.74291,2.36547
1.7983,84274.9489,2.41575,4.73813,2.59292
1.8123,84274.9689,2.19548,4.65193,4.78601
1.8382,84274.9889,3.28245,4.42927,9.00699
1.8571,84275.0089,3.74693,3.56497,10.27112
1.8731,84275.0289,3.632,3.58412,9.10275
1.8903,84275.0489,3.20105,3.42131,7.43878
1.9087,84275.0689,2.50194,3.40695,7.86256
1.9288,84275.0889,3.47399,3.84269,8.85376
1.949,84275.1089,4.83868,4.57293,9.98622
1.9755,84275.1289,7.52498,5.7796,11.66694
1.9929,84275.1489,9.78989,5.81073,10.83137
2.0101,84275.1689,8.54251,4.32632,9.21768
2.033,84275.1889,7.73806,5.20978,12.72758
2.0485,84275.2089,15.55752,9.33978,19.11531
2.0702,84275.2289,20.96363,10.29507,16.70435
2.0903,84275.2489,12.76588,7.434,12.23198
2.1091,84275.2689,7.01262,6.16746,11.62864
