AppTimestamp(s),Latitude_degrees,Longitude_degrees
62.6547,49.46120027,11.11096477
74.6319,49.46114191,11.11094303
104.506,49.46114191,11.11094303
112.2494,49.46113158,11.11100646
128.7823,49.46113158,11.11100646
139.5392,49.46114191,11.11094303
167.8863,49.46114191,11.11094303
177.0651,49.46120027,11.11096477
190.6479,49.46120027,11.11096477
202.6883,49.46114191,11.11094303
232.2411,49.46114191,11.11094303
240.3472,49.46113158,11.11100646
253.8842,49.46113158,11.11100646
264.6801,49.46114191,11.11094303
292.7264,49.46114191,11.11094303
302.3311,49.46120027,11.11096477
