AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:03:25
1.228,-50.0,,-64.0,,-69.0,-67.0,-63.0,-61.0,,,-69.0,-61.0,-60.0,-71.0,,,,2437.0,,5200.0,,2452.0,2462.0,2412.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,
3.2176,-65.0,,,,-72.0,-64.0,-67.0,-57.0,,,-71.0,-64.0,-64.0,-64.0,,,-84.0,2437.0,,,,2452.0,2462.0,2412.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,2437.0
5.243,-52.0,,-58.0,,-68.0,-64.0,-70.0,-58.0,,,-76.0,-62.0,-62.0,-64.0,,,,2437.0,,5200.0,,2452.0,2462.0,2412.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,
7.2243,-62.0,,-59.0,,-66.0,-70.0,-67.0,-66.0,,,-74.0,-62.0,-62.0,-72.0,,,,2437.0,,5200.0,,2452.0,2462.0,2412.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,
9.235,-51.0,,-60.0,,-67.0,-75.0,-57.0,-60.0,,,,-63.0,-63.0,-66.0,-81.0,,,2437.0,,5200.0,,2452.0,2462.0,2412.0,2427.0,,,,5220.0,5220.0,2462.0,2462.0,,
11.2318,-55.0,,-57.0,,-63.0,-62.0,-66.0,-59.0,,,-69.0,-60.0,-59.0,-68.0,,,,2437.0,,5200.0,,2452.0,2462.0,2412.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,
13.2233,-51.0,,-54.0,,-62.0,-67.0,-65.0,-58.0,,,-66.0,-63.0,-63.0,-68.0,,,,2437.0,,5200.0,,2452.0,2462.0,2412.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,
15.2491,-55.0,,-57.0,,-63.0,-62.0,-70.0,-63.0,,,-69.0,-60.0,-59.0,-63.0,,,,2437.0,,5200.0,,2452.0,2462.0,2412.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,
17.2069,-51.0,,,,-65.0,-67.0,-66.0,-60.0,,,-73.0,-63.0,-63.0,-70.0,,,-82.0,2437.0,,,,2452.0,2462.0,2412.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,2437.0
19.2107,-56.0,,-64.0,,-62.0,-69.0,-67.0,-57.0,,,-73.0,-61.0,-61.0,-70.0,,,,2437.0,,5200.0,,2452.0,2462.0,2412.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,
