AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06
0.7166,,,,-89.0,
3.1108,-97.0,,,,
3.1638,,,,-93.0,
4.5315,-101.0,,,,
4.9423,-97.0,,,,
5.0144,,,,-85.0,
6.5993,-100.0,,,,
6.7767,-99.0,,,,
6.88,,,,-89.0,
7.0615,,,,-95.0,
7.2096,-99.0,,,,
8.7181,,,,-95.0,
8.8209,-99.0,,,,
9.1386,,,,-90.0,
10.7652,,,,-92.0,
11.1732,,,,-92.0,
13.0455,,,,-92.0,
14.5561,-95.0,,,,
14.7522,-92.0,,,,
14.9553,-91.0,,,,
15.1759,-94.0,,,,
16.7354,,,,-87.0,
17.1329,,,,-93.0,
18.751,,,,-94.0,
18.9551,,,,-91.0,
21.0212,,,,-85.0,
23.0618,,,,-90.0,
24.088,,,,-91.0,
24.6429,-101.0,,,,
24.6997,,,,-88.0,
26.5253,,,,-91.0,
28.1628,,,,-85.0,
28.5192,-97.0,,,,
28.6017,,,,-95.0,
28.7731,,,,-91.0,
30.6414,,,,-96.0,
30.8338,,,,-99.0,
31.0384,,,,-94.0,
32.904,,,,-97.0,
33.0236,-94.0,,,,
34.554,,,,-99.0,
34.741,,,,-94.0,
34.9318,,,,-90.0,
36.7029,-100.0,,,,
36.7727,,,,-90.0,
38.6529,,,,-99.0,
38.7669,-98.0,,,,
39.0412,,,,-94.0,
39.1938,-98.0,,,,
40.8785,,,,-91.0,
41.089,,,,-93.0,
41.9002,,,,-102.0,
42.9384,,,,-102.0,
44.7664,,,,-97.0,
45.1908,,,,-100.0,
47.0312,,,,-97.0,
48.815,-96.0,,,,
50.6954,,,,-94.0,
51.114,,,,-99.0,
52.5529,,,,-101.0,
52.9686,,,,-100.0,
53.1195,-96.0,,,,
53.1733,,,,-93.0,
54.609,-95.0,,,,
54.6297,,,,-95.0,
54.7957,,,,-100.0,
56.8338,,,,-98.0,
57.0183,-97.0,,,,
57.0559,,,,-96.0,
58.6698,,,,-100.0,
58.8752,,,,-92.0,
60.9301,,,,-95.0,
62.7593,,,,-86.0,
63.1214,-99.0,,,,
66.6604,,,,-99.0,
68.9008,,,,-94.0,
69.1025,,,,-101.0,
80.9288,,,,,-97.0
82.5509,,,,,-100.0
84.85,,,,,-100.0
87.0501,,,,,-97.0
88.6742,,,,,-98.0
88.7916,,-99.0,,,
89.1634,,,,-96.0,
90.5271,,,-98.0,,
90.6166,,-94.0,,,
90.835,,-99.0,,,
90.9461,,,,,-94.0
91.0126,,,,-96.0,
91.0369,,-88.0,,,
91.1217,,,-100.0,,
92.6234,,,,,-98.0
92.7781,,,-95.0,,
92.8006,,,,,-93.0
92.9972,,,,,-98.0
93.0739,,-96.0,,,
94.7214,,-93.0,,,
94.9412,,-95.0,,,
95.1645,,-94.0,,,
96.6122,,-98.0,,,
96.8574,,,-92.0,,
97.0035,,-96.0,,,
97.0695,,,-96.0,,
97.104,,,,,-96.0
97.17,,,,-96.0,
98.0852,,,-96.0,,
98.6231,,,,-94.0,
98.6436,,-100.0,,,
98.8508,,-101.0,,,
99.0674,,-92.0,,,
100.5406,,,-98.0,,
100.9235,,-99.0,,,
100.9477,,,-99.0,,
101.1784,,,-94.0,,
101.9932,,,-98.0,,
102.5433,,-97.0,,,
102.6075,,,-95.0,,
102.7435,,-97.0,,,
102.9547,,-97.0,,,
103.0142,,,-97.0,,
103.0465,,,,,-96.0
103.16,,-100.0,,,
