AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90
1.1046,,-59.0,-79.0,-73.0,,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,
3.0854,,-51.0,-73.0,-73.0,,-72.0,-68.0,-66.0,-71.0,-75.0,-75.0,-76.0,,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,
5.047,,-60.0,-69.0,-80.0,,-77.0,-69.0,-69.0,-67.0,-78.0,-79.0,-79.0,,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,
7.0064,-79.0,-57.0,-69.0,-75.0,,,-72.0,-74.0,-63.0,-80.0,-80.0,,-75.0,2437.0,2417.0,2452.0,2462.0,,,2437.0,2422.0,2437.0,5220.0,5220.0,,2437.0
9.0072,,-62.0,-75.0,-71.0,,-74.0,-77.0,-70.0,-64.0,-78.0,-78.0,-72.0,,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,
11.0545,-77.0,-61.0,-73.0,,,-70.0,-71.0,-75.0,-63.0,-76.0,-76.0,,-75.0,2437.0,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2437.0
13.0077,-76.0,-62.0,,,-76.0,-72.0,-69.0,-72.0,-67.0,-76.0,-76.0,,-77.0,2437.0,2417.0,,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2437.0
15.0104,,-62.0,-75.0,-78.0,,-73.0,-69.0,-73.0,-61.0,-76.0,-76.0,,-72.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2437.0
17.0299,,-57.0,-78.0,-78.0,-78.0,-79.0,-74.0,-72.0,-68.0,-77.0,-76.0,,,,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,
19.0574,-74.0,-58.0,-76.0,,,,-72.0,-75.0,-66.0,-74.0,-74.0,-73.0,-77.0,2437.0,2417.0,2452.0,,,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2437.0
21.032,-77.0,-54.0,-74.0,-76.0,,-77.0,-76.0,-76.0,-59.0,,,-80.0,-71.0,2437.0,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0
23.0634,,-58.0,-77.0,-77.0,,-76.0,-71.0,-71.0,-69.0,,-79.0,-75.0,-79.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,2437.0
25.0353,,-58.0,-76.0,,,-70.0,-72.0,-67.0,-63.0,-76.0,-75.0,-75.0,-76.0,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2437.0
