AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90
1.1046,,-59.0,,-73.0,,,-73.0,-72.0,-60.0,,,-73.0,,,2417.0,,2462.0,,,2437.0,2422.0,2437.0,,,2462.0,
3.0854,,-51.0,-73.0,,,-72.0,-68.0,-66.0,-71.0,,,,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,,,
5.047,,-60.0,-69.0,,,-77.0,-69.0,-69.0,-67.0,,,,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,,,
7.0064,,-57.0,-69.0,,,,-72.0,-74.0,-63.0,,,,-75.0,,2417.0,2452.0,,,,2437.0,2422.0,2437.0,,,,2437.0
9.0072,,-62.0,,-71.0,,-74.0,,-70.0,-64.0,,,-72.0,,,2417.0,,2462.0,,2427.0,,2422.0,2437.0,,,2462.0,
11.0545,,-61.0,-73.0,,,-70.0,-71.0,,-63.0,,,,-75.0,,2417.0,2452.0,,,2427.0,2437.0,,2437.0,,,,2437.0
13.0077,-76.0,-62.0,,,,-72.0,-69.0,-72.0,-67.0,,,,,2437.0,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,,,
15.0104,,-62.0,,,,-73.0,-69.0,-73.0,-61.0,,,,-72.0,,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,,,2437.0
17.0299,,-57.0,,,,,-74.0,-72.0,-68.0,-77.0,-76.0,,,,2417.0,,,,,2437.0,2422.0,2437.0,5220.0,5220.0,,
19.0574,-74.0,-58.0,,,,,-72.0,,-66.0,-74.0,,-73.0,,2437.0,2417.0,,,,,2437.0,,2437.0,5220.0,,2462.0,
21.032,,-54.0,-74.0,-76.0,,,-76.0,,-59.0,,,,-71.0,,2417.0,2452.0,2462.0,,,2437.0,,2437.0,,,,2437.0
23.0634,,-58.0,,,,-76.0,-71.0,-71.0,-69.0,,,-75.0,,,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,
25.0353,,-58.0,,,,-70.0,-72.0,-67.0,-63.0,,-75.0,,,,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,5220.0,,
27.0177,,-56.0,,,,-66.0,-72.0,-69.0,-59.0,,,,-75.0,,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,,,2437.0
29.0362,,-56.0,,-72.0,,,-69.0,-71.0,-71.0,-76.0,,,,,2417.0,,2462.0,,,2437.0,2422.0,2437.0,5220.0,,,
31.0156,,-59.0,-74.0,,,-64.0,-76.0,,-69.0,,-76.0,,,,2417.0,2452.0,,,2427.0,2437.0,,2437.0,,5220.0,,
33.0384,,-60.0,,-73.0,,-72.0,-74.0,,-68.0,,,-74.0,,,2417.0,,2462.0,,2427.0,2437.0,,2437.0,,,2462.0,
