AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06
0.0759,,,,-92.0,,
0.1923,,-91.0,,,,
1.6008,,-89.0,,,,
1.6281,,,,-98.0,,
1.8314,,,,-95.0,,
2.0029,,-81.0,,,,
2.0303,,,,-100.0,,
3.6562,,-88.0,,,,
4.0645,,-88.0,,,,
5.7081,,-85.0,,,,
6.0991,,-90.0,,,,
6.1257,,,,-99.0,,
7.5445,,-87.0,,,,
7.5607,,,,-96.0,,
7.7539,,-89.0,,,,
7.7693,,,,-98.0,,
7.9479,,-97.0,,,,
7.959,,,,-89.0,,
8.2095,,-88.0,,,,
9.6043,,,,-95.0,,
9.6474,,-92.0,,,,
9.7908,,,,-96.0,,
9.8096,,-95.0,,,,
9.9993,,,,-103.0,,
10.6177,,-84.0,,,,
11.6456,,,,-98.0,,
11.6666,,-90.0,,,,
11.856,,,,-93.0,,
11.8676,,-87.0,,,,
12.0668,,-81.0,,,,
13.7188,,,,-93.0,,
13.7313,,-102.0,,,,
13.9192,,,,-95.0,,
14.1053,,,,-88.0,,
14.1148,,-84.0,,,,
15.548,,-85.0,,,,
15.7457,,-85.0,,,,
15.9514,,,,-93.0,,
15.9599,,-88.0,,,,
16.1743,,-87.0,,,,
17.613,,,,-88.0,,
17.634,,-92.0,,,,
17.8091,,-85.0,,,,
18.0221,,-92.0,,,,
18.6198,,-93.0,,,,
19.6535,,,,-97.0,,
19.6683,,-83.0,,,,
19.8442,,,,-92.0,,
19.8605,,-86.0,,,,
20.0496,,,,-95.0,,
20.0611,,-91.0,,,,
21.6873,,,,-93.0,,
21.7012,,-95.0,,,,
21.8782,,,,-94.0,,
21.9094,,-82.0,,,,
22.0843,,,,-95.0,,
22.1084,,-87.0,,,,
23.3318,,-86.0,,,,
23.7239,,,,-96.0,,
23.7462,,-88.0,,,,
23.9445,,,,-98.0,,
23.9588,,-88.0,,,,
24.1397,,,,-98.0,,
24.1675,,-89.0,,,,
25.6006,,-85.0,,,,
26.038,,-92.0,,,,
26.0508,,,,-100.0,,
27.832,,,,-98.0,,
27.8392,,-84.0,,,,
28.4402,,,,-89.0,,
29.0767,,,,-95.0,,
29.6901,,-92.0,,,,
29.6977,,,,-95.0,,
29.8878,,,,-95.0,,
30.0936,,-86.0,,,,
30.1007,,,,-91.0,,
31.5434,,,,-90.0,,
31.7114,,-88.0,,,,
31.7367,,,,-92.0,,
31.9396,,-92.0,,,,
31.9677,,,,-90.0,,
32.1124,,-88.0,,,,
33.5528,,-85.0,,,,
33.7566,,-88.0,,,,
33.79,,,,-96.0,,
33.949,,-86.0,,,,
34.1492,,-93.0,,,,
35.5819,,-96.0,,,,
35.6418,,,,-93.0,,
35.7907,,-87.0,,,,
35.8388,,,,-88.0,,
36.0015,,-85.0,,,,
36.0534,,,,-96.0,,
37.6439,,-88.0,,,,
37.8349,,-87.0,,,,
38.0374,,-88.0,,,,
38.093,,,,-93.0,,
39.5366,,,,-95.0,,
39.6695,,-87.0,,,,
39.7362,,,,-95.0,,
39.8764,,-85.0,,,,
39.9321,,,,-95.0,,
40.1538,,,,-90.0,,
41.526,,-87.0,,,,
41.5786,,,,-90.0,,
41.7372,,-85.0,,,,
41.7759,,,,-96.0,,
41.9258,,-89.0,,,,
41.9921,,,,-93.0,,
42.165,,-87.0,,,,
42.1967,,,,-95.0,,
43.5826,,-87.0,,,,
43.6142,,,,-97.0,,
43.7821,,-87.0,,,,
43.822,,,,-92.0,,
43.9876,,-92.0,,,,
44.0187,,,,-89.0,,
45.6707,,,,-91.0,,
45.8962,,,,-92.0,,
46.0426,,-85.0,,,,
47.5418,,,,-92.0,,
47.6864,,-93.0,,,,
47.7159,,,,-93.0,,
47.9252,,,,-95.0,,
48.1009,,-90.0,,,,
48.1283,,,,-95.0,,
49.5998,,-85.0,,,,
49.607,,,,-89.0,,
49.7548,-99.0,,,,,
49.764,,-90.0,,,,
49.7753,,,,-95.0,,
49.9775,,,,-89.0,,
50.159,,-92.0,,,,
51.8057,,-83.0,,,,
51.826,,,,-92.0,,
52.0032,,-92.0,,,,
52.0333,,,,-97.0,,
52.2068,,-82.0,,,,
53.6916,,,,-96.0,,
53.8528,,-86.0,,,,
53.8833,,,,-90.0,,
54.0392,,-96.0,,,,
54.1015,,,,-100.0,,
55.6762,,-85.0,,,,
55.7586,,,,-94.0,,
55.8685,,-87.0,,,,
55.9384,,,,-100.0,,
56.0779,,-87.0,,,,
56.1376,,,,-91.0,,
57.5201,,-89.0,,,,
57.5841,,,,-93.0,,
57.7106,,-87.0,,,,
57.8004,,,,-90.0,,
58.005,,,,-92.0,,
59.58,,-86.0,,,,
59.6305,,,,-91.0,,
59.7645,,-87.0,,,,
59.992,,-86.0,,,,
60.0425,,,,-90.0,,
60.1855,,-86.0,,,,
61.6598,,-85.0,,,,
61.8213,,-89.0,,,,
61.883,,,,-100.0,,
62.0127,,-85.0,,,,
62.0865,,,,-88.0,,
63.5308,,,,-92.0,,
63.6556,,-84.0,,,,
63.7358,,,,-99.0,,
63.8547,,-95.0,,,,
63.9402,,,,-92.0,,
64.0706,,-84.0,,,,
64.1573,,,,-91.0,,
65.5858,,,,-80.0,,
65.7121,,-89.0,,,,
65.8123,,,,-88.0,,
65.9086,,-84.0,,,,
66.133,,-85.0,,,,
67.6402,,,,-98.0,,
67.7595,,-89.0,,,,
67.8217,,,,-87.0,,
67.9698,,-83.0,,,,
68.036,,,,-99.0,,
69.26,,,,-93.0,,
69.5992,,-97.0,,,,
69.7956,-98.0,,,,,
69.8171,,-84.0,,,,
69.8533,,,,-87.0,,
70.0042,,-89.0,,,,
70.0606,,,,-97.0,,
71.6417,,-90.0,,,,
71.7012,,,,-92.0,,
71.8594,,-95.0,,,,
71.9007,,,,-97.0,,
72.0531,,-94.0,,,,
72.107,,,,-88.0,,
73.5566,,,,-93.0,,
73.702,,-93.0,,,,
73.9362,,-90.0,,,,
73.9606,,,,-94.0,,
74.1114,,-88.0,,,,
74.1488,,,,-86.0,,
75.5328,,-94.0,,,,
75.7666,,-98.0,,,,
75.7894,,,,-91.0,,
75.9537,,-89.0,,,,
76.0175,,,,-94.0,,
76.1553,,-89.0,,,,
77.6009,,-96.0,,,,
77.8165,,-95.0,,,,
77.8645,,,,-96.0,,
77.9994,,-88.0,,,,
78.0617,,,,-90.0,,
78.8303,,-99.0,,,,
79.4125,,-96.0,,,,
79.6567,,-96.0,,,,
79.6877,,,,-93.0,,
79.8244,,-97.0,,,,
79.8477,,,,,-98.0,
80.1041,,,,-95.0,,
81.7464,,,,-93.0,,
81.8714,,,,,,-95.0
81.9266,,,,-88.0,,
82.0588,,,,,,-101.0
82.077,,,,,-94.0,
82.1259,,,,-91.0,,
83.5221,,,,,-85.0,
83.6918,,-99.0,,,,
83.7108,,,,,-83.0,
83.9436,,,,,-83.0,
83.9545,,,,,,-97.0
84.1239,,-96.0,,,,
84.1473,,,,,-88.0,
85.5623,,,,,,-99.0
85.5989,,,,,-88.0,
85.7202,,-100.0,,,,
85.9537,,,,,,-95.0
85.9937,,,,,-87.0,
86.0296,,,,-96.0,,
86.1638,,,,,,-100.0
87.6771,,,,-91.0,,
87.8653,,,,,-88.0,
87.8891,,,,-99.0,,
87.9662,,-95.0,,,,
88.0323,,,,,,-94.0
88.0926,,,,-97.0,,
88.1726,,-95.0,,,,
89.6089,,-89.0,,,,
89.6884,,,,,-87.0,
89.718,,,,-91.0,,
89.8121,,-92.0,,,,
89.9212,,,,-92.0,,
90.0364,,-89.0,,,,
91.5307,,,,,-94.0,
91.5613,,,,-92.0,,
91.7031,,,,,,-99.0
91.7332,,,,,-97.0,
91.7616,,,,-95.0,,
91.8763,,-92.0,,,,
91.9038,,,,,,-100.0
91.9335,,,,,-94.0,
92.1121,,,,,,-99.0
92.1954,,,,-95.0,,
93.5451,,,,,,-100.0
93.5912,,,,,-87.0,
93.5991,,,,-91.0,,
93.6956,,-93.0,,,,
93.7792,,,,,-95.0,
93.7988,,,,-95.0,,
93.9767,,,,,-88.0,
94.0012,,,,-91.0,,
94.1768,,,,,-95.0,
95.4287,,,,-91.0,,
95.634,,,,-92.0,,
95.7383,,-89.0,,,,
96.0346,,,,,,-98.0
96.0666,,,,-93.0,,
96.1449,,-97.0,,,,
97.5791,,-99.0,,,,
97.6655,,,,,,-97.0
97.7223,,,,-100.0,,
97.8974,,,,-91.0,,
97.9047,,,,,-87.0,
97.9908,,-99.0,,,,
98.0929,,,,-93.0,,
98.1192,,,,,-98.0,
98.2,,-94.0,,,,
99.5304,,,,-92.0,,
99.6398,,-95.0,,,,
99.729,,,,,,-100.0
99.7455,,,,,-89.0,
99.759,,,,-93.0,,
101.609,,,,,,-100.0
101.6387,,,,,-99.0,
101.6863,,-99.0,,,,
101.7658,,,,,-90.0,
101.8783,,-98.0,,,,
102.0928,,-90.0,,,,
102.1677,,,,,-90.0,
103.6216,,,,,-91.0,
103.8229,,,,,-95.0,
103.8434,,,,-93.0,,
103.9222,,-96.0,,,,
104.0198,,,,,-99.0,
104.0372,,,,-101.0,,
105.6613,,,,,-96.0,
105.6693,,,,-92.0,,
105.7667,,-98.0,,,,
105.8606,,,-101.0,,,
106.0007,,-99.0,,,,
106.0705,,,,,-91.0,
106.0817,,,,-97.0,,
107.6096,,-97.0,,,,
107.7109,,,,,,-99.0
107.7255,,,,-91.0,,
107.7309,,,,,-97.0,
107.818,,-100.0,,,,
107.9006,,,,-94.0,,
107.9314,,,,,-92.0,
108.1145,,,,,,-99.0
108.1242,,,,-92.0,,
108.1338,,,,,-94.0,
108.645,,-96.0,,,,
109.2529,,-95.0,,,,
109.5638,,,,,,-99.0
109.5729,,,,,-98.0,
109.7456,,,,-90.0,,
109.8875,,-99.0,,,,
110.1615,,,,-88.0,,
111.5247,,-97.0,,,,
111.6072,,,,,,-97.0
111.6163,,,,-89.0,,
111.6279,,,,,-92.0,
111.8114,,,,,-89.0,
111.9352,,-96.0,,,,
112.0294,,,,-93.0,,
113.5765,,-101.0,,,,
113.6374,,,,,-89.0,
113.8594,,,,,-94.0,
113.876,,,,-93.0,,
114.0697,,,,,-92.0,
115.7124,,,,,-90.0,
115.8241,,-98.0,,,,
115.9051,,,,,,-98.0
115.9102,,,,-89.0,,
116.027,,-93.0,,,,
116.0986,,,,,-96.0,
116.5389,,,,-101.0,,
117.5774,,,,-92.0,,
117.6623,,-88.0,,,,
117.7587,,,,-86.0,,
117.8767,,-90.0,,,,
117.9477,,,,,,-101.0
117.9673,,,,-95.0,,
118.0897,,-94.0,,,,
118.1895,,,,,-94.0,
118.2001,,,,-98.0,,
119.5881,,,,,,-98.0
119.6132,,,,-87.0,,
119.7928,,,,,-99.0,
119.8142,,,,-85.0,,
119.9143,,-87.0,,,,
120.0147,,,,-87.0,,
120.2017,,,,,,-97.0
120.6375,,,,-82.0,,
121.7658,,-89.0,,,,
121.8594,,,,-87.0,,
121.988,,-90.0,,,,
122.0707,,,,-89.0,,
122.8053,,-85.0,,,,
123.634,,-94.0,,,,
123.7236,,,,-86.0,,
123.8412,,-92.0,,,,
123.8868,,,,,-100.0,
123.9099,,,,-87.0,,
124.0462,,-88.0,,,,
124.1059,,,,-81.0,,
124.7338,,,,-96.0,,
125.5438,,,,-86.0,,
125.7078,,-93.0,,,,
125.7512,,,,-89.0,,
125.8836,,-95.0,,,,
125.9484,,,,-89.0,,
126.1115,,-92.0,,,,
126.1695,,,,-90.0,,
127.5453,,-92.0,,,,
127.5967,,,,-93.0,,
127.7304,,-86.0,,,,
127.788,,,,-88.0,,
127.9598,,-80.0,,,,
127.9785,,,-100.0,,,
128.0029,,,,,-101.0,
128.0112,,,,-86.0,,
128.158,,-90.0,,,,
129.5764,,-84.0,,,,
129.6379,,,,-86.0,,
129.7797,,-94.0,,,,
129.974,,-88.0,,,,
130.0646,,,,-88.0,,
131.6155,,-89.0,,,,
131.6939,,,,-88.0,,
131.8264,,-85.0,,,,
131.8867,,,,-86.0,,
132.056,,-84.0,,,,
132.0944,,,,-80.0,,
133.5421,,,,-90.0,,
133.7352,,,,-88.0,,
133.913,,-87.0,,,,
133.9506,,,,-92.0,,
134.0837,,-85.0,,,,
134.1657,,,,-83.0,,
135.1709,,,-100.0,,,
135.5266,,-83.0,,,,
135.5842,,,,-81.0,,
135.7313,,-86.0,,,,
135.7807,,,,-85.0,,
135.9451,,-82.0,,,,
135.9867,,,,-79.0,,
136.1447,,-86.0,,,,
137.5844,,-86.0,,,,
137.6386,,,,-88.0,,
137.7828,,-87.0,,,,
137.8415,,,,-88.0,,
138.0178,,-85.0,,,,
138.8089,,-89.0,,,,
139.6237,,-96.0,,,,
139.6762,,,,-86.0,,
139.8239,,-94.0,,,,
139.8805,,,,-88.0,,
140.0277,,-89.0,,,,
140.0853,,,,-97.0,,
141.0751,,-86.0,,,,
141.509,,,,-91.0,,
141.677,,-86.0,,,,
141.7233,,,,-90.0,,
141.903,,-81.0,,,,
141.9234,,,,-90.0,,
142.0792,,-81.0,,,,
142.1347,,,,-95.0,,
