AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90
0.218,,,-74.0,-82.0,-84.0,-75.0,-71.0,-77.0,-62.0,-81.0,-81.0,,-82.0,,,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2437.0
2.2187,,-59.0,-80.0,-76.0,-82.0,-65.0,-70.0,-69.0,-64.0,,,-78.0,-74.0,,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0
4.2367,,-60.0,-72.0,-73.0,,-71.0,-69.0,-70.0,-67.0,-75.0,-75.0,,-73.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2437.0
6.2392,,-54.0,,-71.0,-73.0,-72.0,-73.0,-69.0,-69.0,-74.0,-74.0,-72.0,,,2417.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,
8.2453,,-59.0,-70.0,-72.0,,-69.0,-74.0,-69.0,-69.0,-75.0,,-73.0,-75.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,2437.0
10.2214,-80.0,-57.0,-76.0,-78.0,,-73.0,-77.0,-73.0,-65.0,,,-73.0,-80.0,2437.0,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0
12.3109,,-58.0,-79.0,-76.0,,-77.0,-76.0,-74.0,-62.0,-73.0,-73.0,-76.0,,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,
14.2554,-78.0,-59.0,-76.0,-76.0,,-68.0,-70.0,-73.0,-64.0,-78.0,-78.0,,,2437.0,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,
16.2181,,-62.0,-78.0,,-77.0,-74.0,-74.0,-75.0,-56.0,-77.0,-77.0,,-77.0,,2417.0,2452.0,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2437.0
18.2081,,-65.0,-80.0,-79.0,-80.0,-70.0,-69.0,-67.0,-68.0,,-79.0,,-76.0,,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,5220.0,,2437.0
