AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90
0.218,,,-74.0,,,-75.0,-71.0,-77.0,-62.0,-81.0,,,,,,2452.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,,,
2.2187,,-59.0,,,,-65.0,-70.0,-69.0,-64.0,,,,-74.0,,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,,,2437.0
4.2367,,-60.0,-72.0,,,-71.0,-69.0,-70.0,-67.0,,,,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,,,
6.2392,,-54.0,,-71.0,,-72.0,,-69.0,-69.0,,,-72.0,,,2417.0,,2462.0,,2427.0,,2422.0,2437.0,,,2462.0,
8.2453,,-59.0,-70.0,-72.0,,-69.0,,-69.0,-69.0,,,,,,2417.0,2452.0,2462.0,,2427.0,,2422.0,2437.0,,,,
10.2214,,-57.0,-76.0,,,-73.0,,-73.0,-65.0,,,-73.0,,,2417.0,2452.0,,,2427.0,,2422.0,2437.0,,,2462.0,
12.3109,,-58.0,,,,,-76.0,-74.0,-62.0,-73.0,-73.0,,,,2417.0,,,,,2437.0,2422.0,2437.0,5220.0,5220.0,,
14.2554,,-59.0,-76.0,,,-68.0,-70.0,-73.0,-64.0,,,,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,,,
16.2181,,-62.0,,,,-74.0,-74.0,-75.0,-56.0,,,,-77.0,,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,,,2437.0
18.2081,,-65.0,,,,-70.0,-69.0,-67.0,-68.0,,,,-76.0,,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,,,2437.0
20.2478,,-61.0,,,,-75.0,-74.0,-71.0,-61.0,,,,-77.0,,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,,,2437.0
22.2132,-73.0,-60.0,,,,-71.0,-71.0,-73.0,-70.0,,,,,2437.0,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,,,
24.2236,-74.0,-59.0,,-73.0,,-73.0,-71.0,,-65.0,,,,,2437.0,2417.0,,2462.0,,2427.0,2437.0,,2437.0,,,,
26.2285,,-53.0,-74.0,,,,-72.0,,-68.0,-75.0,,,-73.0,,2417.0,2452.0,,,,2437.0,,2437.0,5220.0,,,2437.0
28.2015,,-59.0,-69.0,-73.0,,-71.0,,-67.0,-63.0,,,,,,2417.0,2452.0,2462.0,,2427.0,,2422.0,2437.0,,,,
30.2021,,-57.0,-75.0,,,-70.0,-73.0,-69.0,-67.0,,,,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,,,
32.2413,,-63.0,,,,,-69.0,,-67.0,-72.0,-71.0,-69.0,,,2417.0,,,,,2437.0,,2437.0,5220.0,5220.0,2462.0,
34.2142,,-63.0,,,,-73.0,-72.0,-71.0,-71.0,-74.0,,,,,2417.0,,,,2427.0,2437.0,2422.0,2437.0,5220.0,,,
36.2482,,,-70.0,-73.0,,,-73.0,-70.0,-70.0,,,-73.0,,,,2452.0,2462.0,,,2437.0,2422.0,2437.0,,,2462.0,
38.2503,,,,-70.0,,,-70.0,,-72.0,-74.0,-74.0,-70.0,,,,,2462.0,,,2437.0,,2437.0,5220.0,5220.0,2462.0,
40.2197,,-62.0,,-71.0,,-74.0,-72.0,,-72.0,,,-71.0,,,2417.0,,2462.0,,2427.0,2437.0,,2437.0,,,2462.0,
42.2085,,-61.0,,-70.0,,,-73.0,-71.0,-74.0,,,-70.0,,,2417.0,,2462.0,,,2437.0,2422.0,2437.0,,,2462.0,
44.2474,,-59.0,,,-74.0,,-69.0,-71.0,-71.0,,-75.0,,,,2417.0,,,2412.0,,2437.0,2422.0,2437.0,,5220.0,,
46.2225,-75.0,-60.0,,,,-75.0,-68.0,-72.0,-69.0,,,,,2437.0,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,,,
48.2277,,-63.0,,-70.0,,-63.0,-71.0,,-72.0,,,-70.0,,,2417.0,,2462.0,,2427.0,2437.0,,2437.0,,,2462.0,
50.2397,,-58.0,-74.0,,,-74.0,-70.0,-72.0,-68.0,,,,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,,,
52.2724,,-57.0,,-72.0,,-74.0,-71.0,-69.0,-66.0,,,,,,2417.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,,
54.2186,,-60.0,-74.0,,,-69.0,-71.0,-70.0,-69.0,,,,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,,,
56.2252,,-59.0,,-73.0,,-74.0,-70.0,-69.0,-67.0,,,,,,2417.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,,
58.1894,,-57.0,,-71.0,,-69.0,,-70.0,-68.0,,,-71.0,,,2417.0,,2462.0,,2427.0,,2422.0,2437.0,,,2462.0,
60.2248,,-60.0,-75.0,,,-75.0,-71.0,-72.0,-63.0,,,,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,,,
62.2284,,-60.0,,-68.0,,,-72.0,-71.0,-65.0,,,-69.0,,,2417.0,,2462.0,,,2437.0,2422.0,2437.0,,,2462.0,
64.2236,,-51.0,,-72.0,,-70.0,,-66.0,-64.0,,,-71.0,,,2417.0,,2462.0,,2427.0,,2422.0,2437.0,,,2462.0,
66.2424,,-58.0,,,-73.0,-69.0,,-72.0,-60.0,,,-72.0,,,2417.0,,,2412.0,2427.0,,2422.0,2437.0,,,2462.0,
68.2247,,-61.0,-70.0,,,-64.0,,-61.0,-63.0,,,-70.0,,,2417.0,2452.0,,,2427.0,,2422.0,2437.0,,,2462.0,
70.2096,,-63.0,-67.0,,,-69.0,-67.0,,-66.0,,,-70.0,,,2417.0,2452.0,,,2427.0,2437.0,,2437.0,,,2462.0,
72.2051,,-67.0,,-71.0,,,-69.0,-71.0,-53.0,,,,-72.0,,2417.0,,2462.0,,,2437.0,2422.0,2437.0,,,,2437.0
