AppTimestamp(s),MAC,Frequency,RSSI
2.0224,20:23:00:00:00:01,2437,-56
2.0224,20:23:00:00:00:15,2452,-68
2.0224,20:23:00:00:00:55,2427,-70
2.0224,20:23:00:00:00:80,5220,-71
2.0224,20:23:00:00:00:79,5220,-71
2.0224,20:23:00:00:00:82,2462,-72
2.0224,20:23:00:00:00:44,2462,-73
2.0224,20:23:00:00:00:09,5200,-75
2.0224,20:23:00:00:00:45,2412,-76
2.0224,20:23:00:00:00:73,2437,-83
2.0224,20:23:00:00:00:02,2437,-83
2.0224,20:23:00:00:00:38,2457,-84
2.0224,20:23:00:00:03:25,2437,-86
2.0224,20:23:00:00:00:88,2462,-90
2.0224,20:23:00:00:00:24,2462,-92
2.0224,20:23:00:00:00:03,5200,-92
2.0224,20:23:00:00:00:30,2412,-92
3.9702,20:23:00:00:00:01,2437,-66
3.9702,20:23:00:00:00:15,2452,-70
3.9702,20:23:00:00:00:44,2462,-71
3.9702,20:23:00:00:00:45,2412,-72
3.9702,20:23:00:00:00:55,2427,-74
3.9702,20:23:00:00:00:80,5220,-77
3.9702,20:23:00:00:00:79,5220,-77
3.9702,20:23:00:00:00:82,2462,-78
3.9702,20:23:00:00:00:38,2457,-83
3.9702,20:23:00:00:00:73,2437,-84
3.9702,20:23:00:00:00:25,2412,-87
3.9702,20:23:00:00:00:88,2462,-90
5.9216,20:23:00:00:00:01,2437,-60
5.9216,20:23:00:00:00:79,5220,-72
5.9216,20:23:00:00:00:45,2412,-73
5.9216,20:23:00:00:00:80,5220,-73
5.9216,20:23:00:00:00:15,2452,-73
5.9216,20:23:00:00:00:55,2427,-76
5.9216,20:23:00:00:00:38,2457,-80
5.9216,20:23:00:00:00:73,2437,-83
5.9216,20:23:00:00:00:25,2412,-92
5.9216,20:23:00:00:03:25,2437,-94
7.9441,20:23:00:00:00:01,2437,-58
7.9441,20:23:00:00:00:15,2452,-69
7.9441,20:23:00:00:00:80,5220,-72
7.9441,20:23:00:00:00:82,2462,-72
7.9441,20:23:00:00:00:79,5220,-73
7.9441,20:23:00:00:00:55,2427,-74
7.9441,20:23:00:00:00:45,2412,-75
7.9441,20:23:00:00:00:09,5200,-79
7.9441,20:23:00:00:00:38,2457,-81
7.9441,20:23:00:00:00:25,2412,-83
7.9441,20:23:00:00:00:73,2437,-89
7.9441,20:23:00:00:03:11,2462,-89
7.9441,20:23:00:00:03:25,2437,-92
7.9441,20:23:00:00:00:90,2437,-92
9.9169,20:23:00:00:00:01,2437,-61
9.9169,20:23:00:00:00:15,2452,-68
9.9169,20:23:00:00:00:55,2427,-69
9.9169,20:23:00:00:00:44,2462,-70
9.9169,20:23:00:00:00:45,2412,-72
