AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:05,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:05,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25
2.0224,-56.0,,,-75.0,-68.0,,,,-73.0,-76.0,,-70.0,,-83.0,-71.0,-71.0,-72.0,,,,2437.0,,,5200.0,2452.0,,,,2462.0,2412.0,,2427.0,,2437.0,5220.0,5220.0,2462.0,,,
3.9702,-66.0,,,,-70.0,,,-83.0,-71.0,-72.0,,-74.0,,-84.0,-77.0,-77.0,-78.0,,,,2437.0,,,,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,2437.0,5220.0,5220.0,2462.0,,,
5.9216,-60.0,,,,-73.0,,-92.0,-80.0,,-73.0,,-76.0,,-83.0,-72.0,-73.0,,,,-94.0,2437.0,,,,2452.0,,2412.0,2457.0,,2412.0,,2427.0,,2437.0,5220.0,5220.0,,,,2437.0
7.9441,-58.0,,,-79.0,-69.0,,-83.0,-81.0,,-75.0,,-74.0,,,-73.0,-72.0,-72.0,,,,2437.0,,,5200.0,2452.0,,2412.0,2457.0,,2412.0,,2427.0,,,5220.0,5220.0,2462.0,,,
9.9169,-61.0,,,-77.0,-68.0,,,-76.0,-70.0,-72.0,,-69.0,,-85.0,-73.0,-74.0,,,,,2437.0,,,5200.0,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,2437.0,5220.0,5220.0,,,,
11.9232,-69.0,,,-74.0,-70.0,,,-81.0,-78.0,-74.0,,-75.0,,,-69.0,-70.0,-76.0,,,,2437.0,,,5200.0,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,,5220.0,5220.0,2462.0,,,
13.9439,-67.0,,,-76.0,-68.0,,,-82.0,-82.0,-76.0,,-75.0,,,-69.0,-69.0,-82.0,,,,2437.0,,,5200.0,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,,5220.0,5220.0,2462.0,,,
15.9221,-65.0,,,-77.0,-72.0,,,-81.0,-71.0,-77.0,,-68.0,,,-72.0,-72.0,-70.0,,,,2437.0,,,5200.0,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,,5220.0,5220.0,2462.0,,,
17.9333,-60.0,,,-74.0,-67.0,,,,-66.0,-79.0,,-72.0,,-83.0,-72.0,-72.0,-67.0,,,,2437.0,,,5200.0,2452.0,,,,2462.0,2412.0,,2427.0,,2437.0,5220.0,5220.0,2462.0,,,
19.9341,-72.0,,,-73.0,-69.0,,,-78.0,-74.0,-73.0,,-71.0,,,-76.0,-76.0,-74.0,,,,2437.0,,,5200.0,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,,5220.0,5220.0,2462.0,,,
21.9504,-61.0,,,-74.0,-66.0,,,,-76.0,-77.0,,-76.0,,,-72.0,-72.0,-79.0,,-83.0,,2437.0,,,5200.0,2452.0,,,,2462.0,2412.0,,2427.0,,,5220.0,5220.0,2462.0,,2462.0,
23.9396,-70.0,,,-76.0,-76.0,,,-77.0,-76.0,-80.0,,-78.0,,-76.0,-72.0,-72.0,,,,,2437.0,,,5200.0,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,2437.0,5220.0,5220.0,,,,
25.9271,-65.0,,,-78.0,-70.0,,,-76.0,-78.0,,,-75.0,,,-71.0,-72.0,-75.0,,-71.0,,2437.0,,,5200.0,2452.0,,,2457.0,2462.0,,,2427.0,,,5220.0,5220.0,2462.0,,2462.0,
27.9606,-62.0,,,,-76.0,,,,-73.0,-74.0,,-80.0,,-83.0,-73.0,-73.0,-73.0,,-53.0,,2437.0,,,,2452.0,,,,2462.0,2412.0,,2427.0,,2437.0,5220.0,5220.0,2462.0,,2462.0,
30.0961,-62.0,,,-74.0,-71.0,,,,-79.0,-77.0,,-74.0,,,-75.0,-75.0,-78.0,,-63.0,,2437.0,,,5200.0,2452.0,,,,2462.0,2412.0,,2427.0,,,5220.0,5220.0,2462.0,,2462.0,
31.9628,-70.0,,,-74.0,-68.0,,,,-72.0,-75.0,,-77.0,,,-76.0,-76.0,-71.0,,-61.0,,2437.0,,,5200.0,2452.0,,,,2462.0,2412.0,,2427.0,,,5220.0,5220.0,2462.0,,2462.0,
33.9168,-60.0,,,-76.0,-73.0,,,,-75.0,-78.0,,-79.0,,,-76.0,-76.0,-75.0,,-71.0,,2437.0,,,5200.0,2452.0,,,,2462.0,2412.0,,2427.0,,,5220.0,5220.0,2462.0,,2462.0,
35.9579,-66.0,,,,-70.0,,,-85.0,-75.0,-81.0,,-79.0,,-81.0,-74.0,-74.0,,,-72.0,,2437.0,,,,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,2437.0,5220.0,5220.0,,,2462.0,
37.9554,-59.0,,,-77.0,-79.0,,,-88.0,-73.0,-82.0,,-72.0,,,-75.0,-75.0,-72.0,,,,2437.0,,,5200.0,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,,5220.0,5220.0,2462.0,,,
39.9721,-68.0,,,-73.0,-75.0,,,,-71.0,-76.0,,-72.0,,,-75.0,-74.0,-71.0,,-78.0,,2437.0,,,5200.0,2452.0,,,,2462.0,2412.0,,2427.0,,,5220.0,5220.0,2462.0,,2462.0,
41.937,-59.0,,,-75.0,-75.0,,,,-75.0,-77.0,,-72.0,,,-74.0,-74.0,-75.0,,-81.0,,2437.0,,,5200.0,2452.0,,,,2462.0,2412.0,,2427.0,,,5220.0,5220.0,2462.0,,2462.0,
44.059,-61.0,,,,-72.0,,-88.0,-87.0,-73.0,-78.0,,-75.0,,,-74.0,-74.0,,,-85.0,,2437.0,,,,2452.0,,2412.0,2457.0,2462.0,2412.0,,2427.0,,,5220.0,5220.0,,,2462.0,
45.9768,-59.0,,,,-76.0,-88.0,-82.0,-88.0,-72.0,-77.0,,-75.0,,,-74.0,-75.0,,,,,2437.0,,,,2452.0,2462.0,2412.0,2457.0,2462.0,2412.0,,2427.0,,,5220.0,5220.0,,,,
